Text,1: WEEV+,2: WEEV-,3: SLEV+,4: SLEV-,5: WNV+,6: WNV-,7: NAM+,8: NAM-
1,0.859082937,0.865186512,0.86823833,0.865186512,0.901808202,0.895704567,0.869764268,0.865186512
2,0.860608816,0.857557058,0.857557058,0.862134755,0.910963595,0.901808202,0.866712451,0.86823833
3,0.866712451,0.865186512,0.866712451,0.857557058,0.900282264,0.898756385,0.872816026,0.859082937
4,0.863660634,0.862134755,0.860608816,0.865186512,0.907911777,0.897230506,0.86823833,0.872816026
5,0.869764268,0.865186512,0.866712451,0.86823833,0.90486002,0.900282264,0.875867844,0.866712451
6,0.866712451,0.866712451,0.86823833,0.869764268,0.906385899,0.906385899,0.878919661,0.866712451
7,0.863660634,0.869764268,0.866712451,0.872816026,0.906385899,0.898756385,0.875867844,0.871290147
8,0.871290147,0.871290147,0.871290147,0.86823833,0.90486002,0.900282264,0.878919661,0.872816026
9,0.863660634,0.866712451,0.869764268,0.871290147,0.906385899,0.901808202,0.875867844,0.86823833
10,0.872816026,0.866712451,0.869764268,0.86823833,0.909437716,0.907911777,0.872816026,0.874341965
11,0.875867844,0.865186512,0.866712451,0.877393782,0.910963595,0.898756385,0.874341965,0.874341965
12,0.863660634,0.869764268,0.869764268,0.875867844,0.906385899,0.903334081,0.881971478,0.869764268
13,0.863660634,0.863660634,0.869764268,0.875867844,0.906385899,0.898756385,0.875867844,0.866712451
14,0.866712451,0.865186512,0.865186512,0.875867844,0.90486002,0.900282264,0.883497357,0.871290147
15,0.872816026,0.86823833,0.863660634,0.869764268,0.910963595,0.903334081,0.869764268,0.877393782
16,0.865186512,0.866712451,0.86823833,0.871290147,0.907911777,0.907911777,0.88044554,0.875867844
17,0.869764268,0.869764268,0.872816026,0.878919661,0.903334081,0.901808202,0.878919661,0.877393782
18,0.871290147,0.869764268,0.871290147,0.874341965,0.906385899,0.907911777,0.878919661,0.88044554
19,0.86823833,0.874341965,0.871290147,0.88044554,0.90486002,0.900282264,0.877393782,0.875867844
20,0.869764268,0.871290147,0.875867844,0.877393782,0.914015412,0.909437716,0.885023296,0.874341965
21,0.875867844,0.863660634,0.871290147,0.874341965,0.914015412,0.903334081,0.883497357,0.875867844
22,0.874341965,0.866712451,0.869764268,0.878919661,0.914015412,0.910963595,0.877393782,0.883497357
23,0.872816026,0.871290147,0.869764268,0.885023296,0.912489533,0.910963595,0.888075054,0.883497357
24,0.874341965,0.874341965,0.871290147,0.877393782,0.909437716,0.910963595,0.886549175,0.881971478
25,0.872816026,0.871290147,0.874341965,0.878919661,0.91706723,0.910963595,0.883497357,0.885023296
26,0.883497357,0.869764268,0.869764268,0.88044554,0.912489533,0.907911777,0.883497357,0.885023296
27,0.891126871,0.872816026,0.869764268,0.883497357,0.915541291,0.909437716,0.886549175,0.881971478
28,0.885023296,0.86823833,0.869764268,0.888075054,0.912489533,0.915541291,0.886549175,0.881971478
29,0.90486002,0.86823833,0.872816026,0.885023296,0.915541291,0.903334081,0.881971478,0.885023296
30,0.912489533,0.874341965,0.877393782,0.878919661,0.923170805,0.907911777,0.886549175,0.886549175
31,0.923170805,0.878919661,0.877393782,0.88044554,0.923170805,0.915541291,0.895704567,0.888075054
32,0.94148165,0.871290147,0.874341965,0.889600992,0.938429832,0.909437716,0.889600992,0.878919661
33,0.947585285,0.878919661,0.883497357,0.883497357,0.939955771,0.912489533,0.891126871,0.885023296
34,0.955214798,0.875867844,0.881971478,0.889600992,0.952162981,0.906385899,0.898756385,0.881971478
35,0.968947887,0.871290147,0.883497357,0.889600992,0.964370191,0.915541291,0.903334081,0.883497357
36,0.970473766,0.878919661,0.886549175,0.891126871,0.973525584,0.909437716,0.915541291,0.886549175
37,0.979629219,0.88044554,0.894178689,0.888075054,0.981155097,0.910963595,0.923170805,0.891126871
38,0.987258732,0.877393782,0.895704567,0.881971478,0.99031055,0.915541291,0.927748561,0.891126871
39,0.99031055,0.881971478,0.898756385,0.888075054,1.0025177,0.920119047,0.943007529,0.889600992
40,0.988784611,0.881971478,0.900282264,0.888075054,0.993362308,0.918593109,0.956740677,0.891126871
41,1.000991821,0.877393782,0.897230506,0.89265281,1.005569577,0.909437716,0.967422009,0.888075054
42,1.000991821,0.883497357,0.898756385,0.891126871,1.013199091,0.914015412,0.982681036,0.885023296
43,1.007095456,0.885023296,0.900282264,0.897230506,1.011673093,0.912489533,0.984206915,0.889600992
44,1.007095456,0.886549175,0.90486002,0.898756385,1.010147214,0.918593109,0.996414125,0.889600992
45,1.0025177,0.88044554,0.906385899,0.895704567,1.011673093,0.914015412,1.010147214,0.889600992
46,1.004043698,0.888075054,0.90486002,0.89265281,1.01472497,0.920119047,1.008621335,0.895704567
47,1.008621335,0.885023296,0.907911777,0.894178689,1.016250849,0.91706723,1.01472497,0.894178689
48,0.999465942,0.886549175,0.910963595,0.894178689,1.010147214,0.923170805,1.019302607,0.894178689
49,1.005569577,0.889600992,0.914015412,0.889600992,1.01472497,0.921644926,1.029983997,0.888075054
50,1.008621335,0.881971478,0.906385899,0.894178689,1.01472497,0.918593109,1.02693212,0.891126871
