Text,1: Positive Control,2: Negative Control,3: NAM. 18S
1,8.169680595,7.989624023,9.884794235
2,8.142213821,7.960631847,9.883268356
3,8.1437397,7.940794945,9.87869072
4,8.11627388,7.917906284,9.750514984
5,8.079651833,7.87212944,9.703211784
6,8.08270359,7.866025925,9.660487175
7,8.061341286,7.847714901,9.599451065
8,8.058289528,7.840085506,9.556725502
9,8.06897068,7.768368244,9.477378845
10,8.017089844,7.737850189,9.37666893
11,7.983520031,7.718013287,9.216448784
12,7.980468273,7.699702263,9.208819389
13,7.956054211,7.631036758,9.13252449
14,7.951476097,7.617303848,9.060807228
15,7.911802769,7.574578285,8.96467495
16,7.924010277,7.579156399,8.932631493
17,7.895018101,7.542534351,8.816662788
18,7.891966343,7.551690102,8.831921577
19,7.858396053,7.504386902,8.720531464
20,7.837033749,7.473868847,8.670176506
21,7.826352119,7.464713573,8.612192154
22,7.838559628,7.463187695,8.575570107
23,7.817196846,7.423514366,8.467230797
24,7.838559628,7.39452219,8.468757629
25,7.905699253,7.403677464,8.433661461
26,7.992675781,7.374685287,8.358892441
27,8.207827568,7.339589596,8.317692757
28,8.578621864,7.336537838,8.311589241
29,9.092850685,7.299916267,8.244449615
30,9.84969902,7.307545662,8.21850872
31,10.86289787,7.298390388,8.197146416
32,11.99816895,7.289234638,8.140687943
33,13.30281544,7.309071541,8.139162064
34,14.57846928,7.338063717,8.087281227
35,15.90447807,7.403677464,8.062867165
36,17.16792488,7.524223804,8.010986328
37,18.35050011,7.754634857,8.003356934
38,19.52696991,8.174258232,7.969787121
39,20.49591827,8.778514862,7.934691429
40,21.37178612,9.62081337,7.922484398
41,22.15457344,10.62638283,7.879758835
42,22.85801506,11.7875948,7.879758835
43,23.34325218,12.92286587,7.844663143
44,23.75677109,14.08712864,7.837033749
45,24.11688423,15.14305305,7.820248604
46,24.29846573,16.10284615,7.783627033
47,24.46326447,16.95429993,7.782101154
48,24.61280251,17.67910194,7.762264252
49,24.68146706,18.27878189,7.743953705
50,24.72877121,18.79148483,7.721065044
