Raw Data 		Experiment - 20210108 CF07 JW_3 (Run on LightScanner 32 1.0.0.33)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	470-530	470-640	470-705	
1	Sample 1	2	3	1	53850	71.6700	5.4215	1.1841	0.9934
1	Sample 1	2	3	2	87150	72.0900	5.4520	1.1902	1.0010
1	Sample 1	2	3	3	120850	72.1200	5.5039	1.1917	0.9934
1	Sample 1	2	3	4	154550	72.1000	5.5695	1.1963	0.9949
1	Sample 1	2	3	5	188600	72.1100	5.6153	1.2024	1.0010
1	Sample 1	2	3	6	222800	72.1500	5.6718	1.2039	0.9934
1	Sample 1	2	3	7	257250	72.1100	5.7465	1.2085	0.9995
1	Sample 1	2	3	8	291600	72.1200	5.7969	1.2100	0.9995
1	Sample 1	2	3	9	326200	72.0900	5.8671	1.2146	0.9995
1	Sample 1	2	3	10	360650	72.1600	5.8900	1.2131	0.9979
1	Sample 1	2	3	11	395100	71.9900	5.9892	1.2253	1.0086
1	Sample 1	2	3	12	429700	72.1000	5.9739	1.2207	0.9995
1	Sample 1	2	3	13	464300	72.0500	6.0166	1.2238	1.0101
1	Sample 1	2	3	14	499150	72.1200	6.0700	1.2284	1.0040
1	Sample 1	2	3	15	533700	72.1800	6.0838	1.2253	1.0071
1	Sample 1	2	3	16	568400	72.1400	6.1128	1.2284	1.0040
1	Sample 1	2	3	17	603150	72.1300	6.1295	1.2329	1.0132
1	Sample 1	2	3	18	637800	72.1300	6.1845	1.2345	1.0056
1	Sample 1	2	3	19	672550	72.1000	6.2058	1.2360	1.0147
1	Sample 1	2	3	20	707250	72.0800	6.2425	1.2375	1.0132
1	Sample 1	2	3	21	742050	71.9900	6.2852	1.2406	1.0132
1	Sample 1	2	3	22	776800	72.2100	6.2623	1.2421	1.0132
1	Sample 1	2	3	23	811700	72.0800	6.3142	1.2451	1.0163
1	Sample 1	2	3	24	846550	72.0200	6.3294	1.2421	1.0163
1	Sample 1	2	3	25	881450	72.1800	6.3172	1.2467	1.0224
1	Sample 1	2	3	26	916350	72.2400	6.3264	1.2451	1.0117
1	Sample 1	2	3	27	951200	72.1100	6.3981	1.2512	1.0163
1	Sample 1	2	3	28	986450	72.2700	6.3416	1.2497	1.0208
1	Sample 1	2	3	29	1021950	72.0700	6.4118	1.2512	1.0239
