Text,1: Assay1: 0.2uM,2: Assay1: 0.1uM,3: Assay1: neg,4: Assay2: 0.2uM,5: Assay2: 0.1uM,6: Assay2: neg,7: Assay3: 0.2uM,8: Assay3: 0.1uM,9: Assay3: neg
1,3.349355221,3.297474623,3.630121231,3.111314535,2.940413475,3.109788656,2.528419971,2.561989784,3.436331749
2,3.427176237,3.340199947,3.587396145,3.140306711,2.969405651,3.160143375,2.543678999,2.586404324,3.492790222
3,3.398184061,3.327992678,3.578240633,3.128099442,2.952620745,3.155565739,2.539101362,2.586404324,3.486686468
4,3.479057074,3.424124479,3.682002068,3.198291063,3.013656855,3.225757122,2.598611355,2.642862558,3.581292391
5,3.469901562,3.413443089,3.645380259,3.19066143,3.018234491,3.208972216,2.587930202,2.658121586,3.572137117
6,3.501945496,3.459220171,3.671320677,3.224231243,3.050278425,3.248645782,2.627603531,2.693217278,3.6179142
7,3.532463551,3.49584198,3.703364611,3.260853052,3.074692965,3.271534204,2.644388437,2.716105938,3.662165165
8,3.567559242,3.538567066,3.729305029,3.289845228,3.111314535,3.303578138,2.66422534,2.731364965,3.707942247
9,3.584344149,3.587396145,3.739986181,3.311207771,3.131151199,3.334096193,2.679484129,2.740520239,3.759823084
10,3.60570693,3.74151206,3.738460302,3.323415041,3.149462223,3.352407217,2.679484129,2.740520239,3.781185627
11,3.651484013,3.840695858,3.758297205,3.33714819,3.187609673,3.378347397,2.676432371,2.748149872,3.848325253
12,3.773556232,4.174868584,3.787289143,3.363088369,3.259327173,3.421072721,2.693217278,2.749675751,3.927672148
13,3.891050577,4.359502792,3.826962709,3.390554667,3.392080545,3.476005077,2.688639641,2.742046118,4.164186954
14,3.981078863,4.486152649,3.887998819,3.433279991,3.755245209,3.503471375,2.687113762,2.742046118,4.356450558
15,4.068055153,4.548714638,3.962768078,3.471427441,3.845273495,3.523308039,2.688639641,2.740520239,4.397650242
16,4.25421524,4.565499306,4.115358353,3.543144941,3.913938999,3.63164711,2.684062004,2.735942602,4.670786381
17,4.336614132,4.594491482,4.545662403,3.758297205,3.970397472,3.668268919,2.676432371,2.732890844,4.673838615
18,4.469367504,4.65857935,5.157549381,3.819333076,3.958190203,3.707942247,2.673380613,2.725261211,4.663156986
19,4.644846439,4.722667217,5.270466328,3.962768078,4.017700672,3.781185627,2.66422534,2.71305418,4.655527592
20,4.971389294,4.852368832,5.20637846,4.345769405,4.051270485,3.797970533,2.668802977,2.717631817,4.698252678
21,5.523766041,5.087357998,5.212481976,4.591439724,4.122987747,3.830014467,2.66422534,2.705424547,4.715037823
22,6.341649532,5.444418907,5.243000031,5.026321888,4.245059967,3.866636038,2.671854734,2.702372789,4.736400604
23,7.426566124,5.987640381,5.288776875,5.532921314,4.42359066,3.881895065,2.674906492,2.691691399,4.718089581
24,8.73884201,6.70023632,5.3559165,6.375219345,4.690623283,3.923094511,2.705424547,2.714580059,4.727244854
25,10.26016617,7.513542175,5.442893028,7.479972363,5.146868229,3.938353539,2.76188302,2.676432371,4.766918659
26,11.89898491,8.342106819,5.542076588,8.740367889,5.792324543,3.961242199,2.871747971,2.67795825,4.792858601
27,13.53933048,8.96925354,5.702296257,9.791714668,6.533913136,3.978027105,3.083848238,2.671854734,4.789806843
28,15.1796751,9.333943367,5.970855236,10.46158504,7.190051079,4.007019043,3.486686468,2.662699223,4.805066109
29,16.77729416,9.513999939,6.410315037,10.76523972,7.589837551,4.025330067,4.229800701,2.694743156,4.858472347
30,17.99343872,9.62081337,7.038986683,10.96055508,7.859922409,4.071106911,5.496299744,2.723735332,4.870679855
31,18.63889503,9.674220085,7.818722725,11.03837681,7.975890636,4.097047329,7.328908443,2.80003047,4.905775547
32,18.8738842,9.671168327,8.705271721,11.01396179,8.009460449,4.122987747,9.55977726,2.835126162,4.931715965
33,19.01274109,9.687952995,9.643701553,11.05516148,8.061341286,4.139772415,11.65941906,2.954146624,4.966811657
34,19.19127274,9.771877289,10.64164162,11.1223011,8.096437454,4.161135197,12.95796108,3.132677078,4.977492809
35,19.25993729,9.823758125,11.55718327,11.14213753,8.148317337,4.193179131,13.59578896,3.439383507,5.038528919
36,19.25841141,9.810025215,12.37506676,11.08873081,8.128480911,4.223697186,13.78194904,3.849851131,5.052262306
37,19.30113602,9.820706367,13.11665535,11.13755989,8.169680595,4.25421524,13.96505642,4.382390976,5.058365822
38,19.29808426,9.826809883,13.64766884,11.11161995,8.180361748,4.272526264,13.98184204,4.931715965,5.07515049
39,19.2950325,9.816128731,13.98641968,11.09788704,8.181887627,4.306096077,14.09781075,5.363546371,5.110246658
40,19.31181717,9.84969902,14.1771574,11.1299305,8.226139069,4.330510616,14.17563152,5.520714283,5.12245369
