uMelt,DNA-UTAH.ORG,All Rights Reserved
Temp (C), Helicity (%), -dF/dT
60,99.668,0.152
60.5,99.592,0.156
61,99.514,0.16
61.5,99.434,0.164
62,99.352,0.17
62.5,99.267,0.176
63,99.179,0.18
63.5,99.089,0.186
64,98.996,0.19
64.5,98.901,0.198
65,98.802,0.202
65.5,98.701,0.21
66,98.596,0.214
66.5,98.489,0.222
67,98.378,0.23
67.5,98.263,0.236
68,98.145,0.244
68.5,98.023,0.25
69,97.898,0.26
69.5,97.768,0.268
70,97.634,0.278
70.5,97.495,0.286
71,97.352,0.296
71.5,97.204,0.306
72,97.051,0.316
72.5,96.893,0.328
73,96.729,0.34
73.5,96.559,0.354
74,96.382,0.368
74.5,96.198,0.384
75,96.006,0.404
75.5,95.804,0.428
76,95.59,0.462
76.5,95.359,0.51
77,95.104,0.586
77.5,94.811,0.708
78,94.457,0.916
78.5,93.999,1.27
79,93.364,1.886
79.5,92.421,2.936
80,90.953,4.696
80.5,88.605,7.51
81,84.85,11.662
81.5,79.019,17.02
82,70.509,22.486
82.5,59.266,25.994
83,46.269,25.76
83.5,33.389,21.914
84,22.432,16.36
84.5,14.252,11.074
85,8.715,7.018
85.5,5.206,4.27
86,3.071,2.538
86.5,1.802,1.49
87,1.057,0.872
87.5,0.621,0.508
88,0.367,0.3
88.5,0.217,0.174
89,0.13,0.104
89.5,0.078,0.062
90,0.047,0.036
90.5,0.029,0.022
91,0.018,0.014
91.5,0.011,0.008
92,0.007,0.004
92.5,0.005,0.004
93,0.003,0.002
93.5,0.002,0.002
94,0.001,0
94.5,0.001,0
95,0.001,0
95.5,0.001,0.002
96,0,0
96.5,0,0
97,0,0
97.5,0,0
98,0,0
98.5,0,0
99,0,0
99.5,0,0
100,0,undefined
