Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
59.83,70,364,2309,1169,406,167,144,106,48,2096,1
60.03,70,365,2307,1168,406,167,144,105,48,2101,1
60.23,70,364,2291,1157,403,166,143,105,48,2093,1
60.44,69,363,2275,1147,400,165,142,104,47,2085,1
60.64,69,363,2258,1136,396,163,142,104,47,2075,1
60.84,69,361,2242,1126,393,162,141,103,47,2067,1
61.05,68,361,2226,1117,389,161,140,102,46,2059,1
61.24,68,360,2209,1106,386,159,139,102,46,2050,1
61.44,68,360,2193,1096,383,158,139,101,46,2043,1
61.64,67,359,2176,1086,379,157,138,101,45,2034,1
61.85,67,358,2159,1075,376,156,137,100,45,2026,1
62.05,67,357,2143,1065,372,155,136,99,45,2018,1
62.25,66,356,2126,1054,369,153,136,99,44,2010,1
62.45,66,355,2110,1044,366,152,135,98,44,2001,1
62.65,65,354,2093,1034,363,151,134,98,44,1993,1
62.86,65,353,2077,1024,360,150,133,97,44,1986,1
63.05,65,352,2062,1015,356,149,133,97,43,1978,1
63.25,64,351,2047,1005,353,148,132,96,43,1970,1
63.46,64,351,2031,995,350,146,131,95,43,1962,1
63.68,64,350,2015,985,347,145,130,95,42,1954,1
63.88,63,349,2001,977,344,144,130,94,42,1947,1
64.07,63,348,1987,968,341,143,129,94,42,1940,1
64.28,63,347,1972,959,339,142,128,93,42,1933,1
64.49,62,347,1957,950,336,141,128,93,41,1926,1
64.69,62,346,1943,940,334,140,127,92,41,1919,1
64.89,62,345,1928,931,331,139,126,92,41,1911,1
65.11,61,344,1913,922,328,138,126,91,40,1899,1
65.33,61,343,1899,914,325,137,125,91,40,1893,1
65.54,61,342,1885,905,322,136,124,90,40,1886,1
65.73,60,345,1878,901,321,136,125,90,40,1881,1
65.93,60,345,1865,893,318,135,124,89,40,1874,1
66.14,60,345,1852,886,315,134,124,89,39,1867,1
66.33,60,344,1839,878,313,133,123,89,39,1862,1
66.54,59,344,1827,871,310,132,122,88,39,1856,1
66.73,59,343,1814,863,308,131,122,88,39,1850,1
66.98,59,343,1803,856,305,130,121,87,38,1844,1
67.18,59,342,1791,849,303,129,121,87,38,1838,1
67.37,58,342,1780,842,301,128,120,86,38,1833,1
67.57,58,341,1769,835,299,128,120,86,38,1828,1
67.77,58,341,1757,828,296,127,119,86,38,1822,1
67.98,58,340,1746,821,294,126,119,85,37,1816,1
68.17,57,340,1735,814,292,125,118,85,37,1811,1
68.39,57,339,1723,807,289,124,118,84,37,1805,1
68.59,57,339,1712,800,287,123,117,84,37,1800,1
68.82,57,338,1701,793,285,123,116,84,37,1795,1
69.02,56,337,1689,786,283,122,116,83,36,1790,1
69.2,56,337,1679,780,280,121,115,83,36,1786,1
69.4,56,336,1668,773,278,120,115,82,36,1781,1
69.6,56,336,1657,766,276,119,114,82,36,1776,1
69.82,55,335,1646,759,274,119,114,81,36,1770,1
70.02,55,335,1635,753,272,118,113,81,35,1767,1
70.21,55,334,1625,746,269,117,113,81,35,1763,1
70.4,55,333,1614,739,267,116,112,80,35,1758,1
70.61,55,332,1603,733,265,116,112,80,35,1754,1
70.86,54,332,1593,727,263,116,111,80,34,1749,1
71.05,54,331,1583,720,261,115,111,79,34,1744,1
