Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
59.84,114,1597,3210,1489,539,255,284,193,75,3240,0
60.03,114,1595,3187,1475,534,253,283,192,74,3232,0
60.24,114,1594,3165,1461,530,251,282,191,74,3222,0
60.45,113,1592,3143,1448,525,250,281,190,73,3213,0
60.65,113,1591,3121,1434,521,248,280,190,73,3205,0
60.84,112,1589,3100,1421,517,247,279,189,73,3196,0
61.03,112,1587,3078,1407,512,245,278,188,72,3188,0
61.25,111,1586,3054,1392,507,243,277,187,72,3177,0
61.45,111,1584,3033,1379,503,242,276,186,72,3168,0
61.65,110,1583,3010,1365,498,240,275,185,71,3161,0
61.86,110,1582,2988,1351,494,238,274,184,71,3152,0
62.06,109,1581,2965,1337,489,237,273,183,70,3145,0
62.26,109,1580,2942,1323,484,235,272,183,70,3135,0
62.46,108,1579,2920,1309,480,233,271,182,69,3126,0
62.67,108,1578,2897,1295,475,232,270,181,69,3117,0
62.87,107,1576,2875,1282,471,230,269,180,69,3109,0
63.07,107,1576,2853,1269,466,228,268,179,68,3101,0
63.26,106,1574,2830,1256,462,227,267,178,68,3092,0
63.48,106,1575,2811,1244,458,225,266,178,68,3087,0
63.69,105,1574,2792,1232,454,224,265,177,67,3082,0
63.87,105,1573,2772,1220,450,222,265,176,67,3076,0
64.08,105,1571,2752,1208,446,221,264,176,67,3069,0
64.28,104,1570,2734,1197,442,220,263,175,66,3066,0
64.49,104,1568,2715,1184,438,218,262,174,66,3057,0
64.7,103,1567,2696,1173,435,217,261,174,65,3051,0
64.9,103,1567,2678,1162,431,216,260,173,65,3049,0
65.11,103,1564,2660,1151,427,214,259,172,65,3045,0
65.33,102,1561,2642,1140,424,213,258,171,64,3043,0
65.53,102,1559,2625,1130,421,212,258,171,64,3043,0
65.72,101,1558,2609,1120,417,211,257,170,64,3041,0
65.92,101,1555,2592,1110,414,209,256,169,63,3037,0
66.13,102,1554,2576,1100,411,208,255,169,63,3027,0
66.34,100,1553,2559,1090,407,207,254,168,63,3018,0
66.54,100,1553,2543,1080,404,206,254,168,62,3014,0
66.75,100,1552,2528,1070,401,205,253,167,62,3010,0
66.97,99,1551,2512,1061,398,204,252,167,62,3000,0
67.17,99,1550,2498,1052,395,203,252,166,62,2990,0
67.37,99,1549,2484,1044,392,202,251,165,61,2981,0
67.55,98,1548,2470,1035,389,201,250,165,61,2972,0
67.76,99,1547,2454,1026,386,200,250,164,61,2963,0
67.96,99,1546,2440,1018,383,199,249,164,60,2953,0
68.17,99,1545,2424,1008,380,198,248,163,60,2943,0
68.38,98,1545,2409,999,377,197,248,163,60,2935,0
68.59,97,1544,2394,990,374,195,247,162,59,2929,0
68.8,97,1542,2379,980,371,194,246,162,59,2922,0
68.99,97,1542,2367,972,368,194,245,161,59,2917,0
69.18,96,1541,2353,964,365,192,245,160,58,2914,0
69.38,97,1540,2338,955,362,191,244,160,58,2907,0
69.59,96,1539,2325,946,359,190,244,159,58,2901,0
69.8,96,1538,2309,937,356,189,243,159,58,2895,0
70.0,95,1538,2297,929,354,188,242,158,57,2889,0
70.2,96,1537,2283,920,351,188,242,158,57,2886,0
70.41,95,1536,2268,911,348,187,241,157,57,2877,0
70.63,95,1535,2254,903,345,185,240,157,56,2869,0
70.85,95,1535,2240,894,343,184,240,156,56,2861,0
71.05,94,1533,2228,887,341,184,239,156,56,2855,0
71.23,94,1533,2214,879,338,183,239,155,56,2848,0
71.43,94,1532,2202,871,335,182,238,155,55,2841,0
71.65,93,1531,2187,862,332,181,237,154,55,2831,0
71.87,93,1530,2174,854,330,180,236,154,55,2824,0
72.07,93,1529,2162,846,327,179,236,153,54,2816,0
72.25,93,1528,2149,838,325,178,235,153,54,2810,0
72.46,92,1528,2136,830,322,177,235,152,54,2803,0
72.67,92,1527,2123,822,319,176,234,152,53,2794,0
72.88,92,1526,2111,815,317,175,233,151,53,2790,0
73.08,92,1526,2099,808,314,174,233,151,53,2783,0
73.28,91,1525,2087,800,312,173,232,150,53,2776,0
73.49,91,1524,2075,793,309,172,232,150,52,2770,0
73.7,91,1524,2063,785,307,172,231,149,52,2765,0
73.91,91,1523,2051,778,305,171,231,149,52,2762,0
74.11,90,1522,2039,772,302,170,230,149,52,2756,0
74.32,90,1521,2027,764,300,169,230,148,51,2750,0
74.52,90,1521,2016,757,297,168,229,148,51,2744,0
74.72,90,1520,2004,750,295,167,228,147,51,2738,0
74.92,89,1521,1992,743,292,166,228,147,51,2732,0
75.12,89,1520,1980,736,290,166,227,146,50,2727,0
75.34,89,1519,1969,729,288,165,227,146,50,2722,0
75.55,89,1518,1958,722,285,164,226,146,50,2715,0
75.75,88,1517,1947,715,283,163,226,145,49,2707,0
75.96,88,1516,1935,708,281,162,225,145,49,2701,0
76.16,88,1515,1925,702,279,161,225,144,49,2698,0
76.37,88,1514,1914,695,276,161,224,144,49,2692,0
76.56,87,1514,1903,688,274,160,224,143,48,2686,0
76.75,87,1514,1892,681,272,159,223,143,48,2680,0
76.95,87,1513,1880,674,269,158,223,143,48,2675,0
77.17,86,1512,1869,667,267,157,222,142,48,2668,0
77.37,86,1511,1858,661,265,156,222,142,47,2664,0
77.59,86,1511,1847,654,263,156,221,141,47,2660,0
77.8,86,1510,1835,647,260,155,220,141,47,2655,0
77.99,85,1509,1824,640,258,154,220,140,47,2653,0
78.19,85,1508,1811,633,255,153,219,140,46,2645,0
78.4,85,1507,1800,626,253,152,219,139,46,2641,0
78.61,85,1507,1788,619,250,151,218,139,46,2636,0
78.82,84,1506,1777,612,248,151,218,138,46,2631,0
79.02,84,1506,1765,605,246,150,217,138,45,2624,0
79.22,84,1505,1754,598,243,149,217,138,45,2619,0
79.4,83,1504,1742,591,241,148,216,137,45,2613,0
79.62,83,1503,1730,583,238,147,215,137,44,2608,0
79.83,83,1503,1716,575,235,146,215,136,44,2602,0
