Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
59.85,65,563,1641,694,257,119,138,87,32,1645,0
60.06,65,564,1634,689,255,119,138,86,31,1644,0
60.25,64,564,1621,681,253,118,138,86,31,1637,0
60.45,64,563,1608,672,250,117,137,85,31,1630,0
60.64,64,562,1594,664,247,116,136,85,31,1623,0
60.85,63,561,1579,654,244,115,135,84,30,1616,0
61.05,63,561,1565,646,241,114,135,84,30,1609,0
61.26,63,560,1550,636,238,112,134,83,30,1602,0
61.45,62,559,1537,627,235,111,133,82,30,1595,0
61.64,62,558,1522,619,233,110,132,82,29,1589,0
61.86,62,557,1507,610,230,109,132,81,29,1582,0
62.08,61,557,1493,602,227,108,131,81,29,1575,0
62.26,61,556,1479,594,224,107,130,80,29,1569,0
62.46,61,555,1466,586,221,106,130,80,29,1562,0
62.66,61,555,1453,579,219,105,129,79,28,1557,0
62.89,60,554,1440,571,216,104,128,79,28,1550,0
63.1,61,566,1447,573,216,105,128,80,28,1541,0
63.29,61,565,1437,567,214,105,127,79,28,1536,0
63.49,60,565,1426,560,212,104,127,79,28,1531,0
63.68,60,564,1416,554,210,103,126,78,28,1526,0
63.88,60,564,1406,548,208,102,126,78,27,1522,0
64.08,60,563,1396,542,206,102,125,78,27,1516,0
64.29,59,562,1387,536,204,101,125,77,27,1513,0
64.49,59,562,1378,531,202,100,124,77,27,1509,0
64.69,59,561,1368,525,200,100,124,77,27,1504,0
64.91,59,561,1358,519,198,99,123,76,27,1499,0
65.12,59,560,1348,513,196,98,123,76,26,1495,0
65.32,58,559,1339,508,194,97,122,76,26,1490,0
65.5,58,559,1330,502,192,97,122,75,26,1487,0
65.72,58,559,1320,496,190,96,122,75,26,1482,0
65.94,58,558,1311,491,188,95,121,74,26,1478,0
66.15,58,557,1301,485,186,95,121,74,25,1474,0
66.34,57,556,1292,480,185,94,120,74,25,1469,0
66.53,57,555,1284,475,183,93,120,73,25,1464,0
66.75,57,554,1274,469,181,93,119,73,25,1459,0
67.0,57,554,1265,464,179,92,119,73,25,1456,0
67.2,56,553,1257,459,177,91,118,72,25,1452,0
67.37,56,553,1250,454,176,91,118,72,25,1449,0
67.56,56,552,1241,449,174,90,117,72,24,1445,0
67.77,56,551,1233,444,173,90,117,71,24,1441,0
68.0,56,551,1224,439,171,89,117,71,24,1437,0
68.19,55,550,1216,434,169,88,116,71,24,1433,0
68.39,55,549,1208,429,168,88,116,70,24,1429,0
68.6,55,549,1199,424,166,87,115,70,24,1426,0
68.81,55,548,1192,420,164,87,115,70,24,1422,0
69.01,55,548,1184,415,163,86,115,69,23,1418,0
69.2,55,547,1176,411,161,86,114,69,23,1415,0
69.4,54,546,1168,406,160,85,114,69,23,1411,0
69.6,54,546,1161,402,158,85,113,69,23,1408,0
69.83,54,545,1154,397,157,84,113,68,23,1404,0
70.03,54,544,1147,393,155,83,113,68,23,1400,0
70.22,54,544,1139,389,154,83,112,68,23,1396,0
