Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.32,49,491,1139,234,99,72,142,69,28,2075,1
65.19,49,488,1125,223,96,71,140,68,27,2041,1
65.3,49,485,1128,224,97,70,139,68,26,2016,1
65.36,48,480,1130,229,99,70,136,68,26,1987,1
65.31,48,475,1135,230,100,71,135,68,26,1965,1
65.32,48,472,1141,229,100,70,133,68,26,1949,1
65.33,48,467,1142,231,101,71,133,67,25,1931,1
65.32,47,463,1120,219,98,69,132,66,25,1902,1
65.38,46,455,1088,205,93,66,127,65,24,1866,1
65.37,46,456,1090,192,89,64,127,64,24,1900,1
65.32,46,460,1089,190,90,64,126,64,24,1888,1
65.31,46,459,1085,187,89,63,125,64,24,1864,1
65.37,45,458,1081,189,89,63,125,63,24,1873,1
65.4,45,452,1064,190,90,63,127,63,24,1850,1
65.35,45,460,1079,187,89,62,129,64,24,1841,1
65.33,44,461,1076,186,88,62,129,64,24,1833,1
65.41,44,462,1074,184,88,62,129,64,23,1827,1
65.42,44,464,1072,182,87,61,129,64,23,1826,1
65.41,44,464,1071,182,87,61,129,64,23,1820,1
65.42,44,465,1066,181,87,61,128,64,23,1804,1
65.39,44,463,1066,182,87,61,132,64,23,1798,1
65.37,43,464,1066,180,86,61,132,64,23,1779,1
65.46,43,465,1063,180,86,60,132,64,23,1772,1
65.37,43,464,1058,178,85,60,131,63,23,1759,1
65.38,43,463,1058,177,85,60,130,63,23,1747,1
65.4,43,463,1057,180,86,60,131,63,23,1746,1
65.36,43,463,1053,177,85,59,130,63,23,1733,1
65.36,42,459,1049,177,85,59,124,63,23,1717,1
65.36,43,461,1051,179,86,60,125,63,23,1718,1
65.37,42,459,1049,178,85,59,124,63,23,1700,1
65.36,42,460,1054,182,86,60,125,63,23,1701,1
65.38,42,459,1056,183,86,60,125,63,23,1685,1
65.36,42,458,1061,187,88,60,125,63,23,1680,1
65.41,42,459,1075,196,91,61,126,64,23,1682,1
65.39,43,459,1091,205,94,62,127,65,23,1687,1
65.43,43,459,1115,221,99,64,128,65,24,1696,1
65.44,44,452,1136,239,104,66,129,66,24,1689,1
65.38,44,453,1170,260,110,68,130,67,24,1698,1
65.45,45,455,1216,289,119,71,131,68,25,1715,1
65.4,46,456,1269,320,129,75,133,70,26,1730,1
65.4,48,459,1337,361,143,79,136,73,27,1761,1
65.4,49,460,1393,395,154,82,138,74,28,1775,1
65.41,50,462,1466,437,167,87,141,77,29,1805,1
65.46,52,465,1536,477,181,92,144,79,30,1831,1
65.43,55,454,1650,540,201,101,152,83,32,1951,1
