Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.32,50,596,803,216,97,72,96,66,28,2255,0
65.18,50,591,786,205,94,70,94,65,27,2220,0
65.27,49,574,780,199,93,69,92,64,27,2185,0
65.36,48,568,764,191,90,67,91,63,26,2163,0
65.32,48,562,747,178,86,66,90,62,26,2157,0
65.33,48,597,760,174,86,66,91,63,27,2186,0
65.29,48,584,762,176,87,66,90,63,26,2180,0
65.34,47,541,740,177,86,65,89,60,26,2108,0
65.34,47,548,742,175,85,65,89,61,26,2117,0
65.36,47,544,738,173,84,64,88,60,25,2093,0
65.35,47,556,746,175,85,65,89,61,26,2118,0
65.36,47,551,740,174,84,64,89,61,25,2095,0
65.35,47,545,740,174,84,64,88,60,25,2078,0
65.4,47,549,740,173,84,64,88,60,25,2075,0
65.37,47,557,746,174,85,64,89,61,25,2087,0
65.39,47,555,746,173,84,64,89,61,25,2071,0
65.42,47,547,741,173,84,64,88,60,25,2057,0
65.45,46,542,740,171,83,63,88,60,25,2046,0
65.39,47,542,742,173,84,64,88,60,25,2051,0
65.42,46,528,734,173,83,63,88,59,25,2058,0
65.44,46,528,737,174,84,63,88,59,25,2050,0
65.31,46,538,739,173,83,63,88,60,25,2043,0
65.37,46,531,739,173,83,63,87,59,25,2024,0
65.38,46,527,733,172,83,63,87,59,24,2012,0
65.38,46,527,732,172,83,63,87,59,24,2009,0
65.36,46,521,732,172,83,62,86,59,24,1988,0
65.33,46,520,731,173,83,62,86,58,24,1984,0
65.39,46,519,729,171,82,62,85,58,24,1969,0
65.34,46,515,731,173,83,62,86,58,24,1989,0
65.36,46,515,732,174,83,63,86,58,24,1985,0
65.37,46,514,736,175,83,63,86,58,24,1974,0
65.34,46,520,740,177,84,63,86,59,24,1980,0
65.33,46,518,745,180,85,63,86,59,24,1966,0
65.38,46,517,756,186,87,64,87,59,24,1956,0
65.41,46,514,767,193,89,64,87,59,25,1957,0
65.36,47,515,786,203,93,66,88,60,25,1955,0
65.44,47,516,811,217,96,67,89,61,25,1952,0
65.39,48,517,844,235,102,69,91,62,26,1959,0
65.42,48,522,882,254,109,71,92,64,26,1975,0
65.37,49,524,925,278,117,74,94,65,27,1991,0
65.41,50,526,974,302,125,77,96,67,28,2003,0
65.4,51,530,1033,333,136,80,99,69,29,2027,0
65.42,52,532,1091,365,147,84,102,71,30,2048,0
65.42,54,540,1154,400,158,87,106,74,31,2092,0
65.39,55,540,1214,431,169,91,108,76,32,2097,0
