Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
76.84,79,1206,1250,449,176,106,126,94,21,1375,0
77.03,79,1206,1241,444,174,105,125,94,21,1368,0
77.23,79,1205,1234,440,173,105,125,93,21,1364,0
77.42,79,1204,1227,436,171,104,125,93,21,1361,0
77.61,78,1203,1219,432,170,104,124,93,21,1358,0
77.81,78,1202,1212,429,169,103,124,92,21,1355,0
78.0,78,1202,1205,425,167,103,124,92,21,1351,0
78.22,78,1201,1198,421,166,102,123,92,21,1347,0
78.44,78,1200,1190,417,165,102,123,92,20,1343,0
78.66,78,1199,1183,413,164,101,123,91,20,1340,0
78.87,77,1197,1176,409,162,101,122,91,20,1337,0
79.08,77,1197,1169,406,161,100,122,91,20,1334,0
79.29,77,1196,1163,402,160,100,122,90,20,1331,0
79.5,77,1196,1156,398,159,99,121,90,20,1327,0
79.74,77,1196,1149,395,158,99,121,90,20,1323,0
79.94,77,1196,1142,391,156,98,121,90,20,1320,0
80.13,76,1194,1136,388,155,98,120,89,20,1317,0
80.33,76,1193,1129,384,154,98,120,89,19,1315,0
80.55,76,1191,1122,381,153,97,120,89,19,1312,0
80.75,76,1191,1116,377,152,97,119,89,19,1308,0
80.97,76,1188,1109,374,151,96,119,88,19,1305,0
81.18,76,1188,1103,371,150,96,119,88,19,1303,0
81.37,76,1188,1097,367,148,96,118,88,19,1299,0
81.58,75,1187,1091,364,147,95,118,88,19,1296,0
81.77,75,1187,1084,360,146,95,118,87,19,1294,0
82.0,75,1187,1077,356,145,94,117,87,19,1289,0
82.23,75,1187,1071,353,144,94,117,87,18,1286,0
82.45,75,1185,1064,349,142,93,117,87,18,1283,0
82.67,75,1185,1057,345,141,93,116,86,18,1279,0
82.87,75,1185,1050,341,140,92,116,86,18,1277,0
83.06,74,1186,1043,337,139,92,116,86,18,1274,0
83.24,74,1185,1035,333,137,91,115,86,18,1271,0
83.43,74,1184,1027,328,136,91,115,85,18,1266,0
83.64,74,1184,1018,322,134,90,114,85,18,1262,0
83.86,74,1182,1006,316,132,89,114,84,17,1256,0
84.09,73,1181,993,309,129,88,113,84,17,1250,0
84.3,73,1181,980,301,127,88,113,83,17,1245,0
84.5,73,1179,965,293,124,87,112,83,17,1238,0
84.72,72,1177,949,284,121,85,111,82,17,1232,0
84.92,72,1176,931,274,118,84,110,81,16,1224,0
85.14,72,1174,912,263,114,84,109,81,16,1216,0
85.37,71,1173,890,252,110,81,109,80,16,1207,0
85.6,71,1172,867,239,106,81,108,79,15,1197,0
85.82,70,1170,843,225,101,79,106,78,15,1187,0
86.01,70,1168,819,212,97,77,105,77,14,1176,0
86.2,69,1167,795,198,92,76,104,76,14,1166,0
86.38,69,1165,772,184,89,74,103,75,14,1154,0
86.58,68,1164,747,171,84,72,102,75,13,1144,0
86.83,68,1162,720,155,79,71,101,74,13,1132,0
87.07,67,1160,696,141,75,69,100,73,12,1121,0
87.29,67,1159,673,129,71,67,99,72,12,1110,0
87.49,66,1157,651,117,67,66,98,71,12,1100,0
87.68,66,1156,632,107,63,65,97,70,11,1091,0
87.9,65,1155,615,98,60,64,96,70,11,1082,0
88.1,65,1156,600,90,57,63,95,69,11,1075,0
88.32,65,1154,587,83,55,62,95,69,11,1069,0
88.55,64,1154,578,78,53,61,94,68,10,1063,0
88.76,64,1153,570,74,52,61,94,68,10,1060,0
88.98,64,1151,564,72,51,60,94,68,10,1056,0
89.18,64,1151,561,70,50,60,94,68,10,1054,0
89.37,64,1150,559,68,49,60,93,68,10,1053,0
89.56,64,1149,558,67,49,60,93,68,10,1051,0
89.78,64,1149,555,67,49,60,93,67,10,1050,0
89.97,64,1149,556,66,49,60,93,68,10,1049,0
90.19,64,1148,555,66,48,59,93,67,10,1048,0
90.41,64,1147,553,65,48,59,93,67,10,1046,0
90.64,64,1148,553,65,48,59,93,67,10,1046,0
90.86,64,1147,553,65,48,59,93,67,10,1046,0
91.07,64,1147,552,64,48,59,93,67,10,1044,0
91.26,64,1146,551,64,48,59,93,67,10,1044,0
91.45,64,1145,551,64,48,59,92,67,10,1044,0
91.66,64,1143,550,64,47,59,92,67,10,1043,0
91.87,64,1143,550,63,47,59,92,67,10,1042,0
92.1,64,1145,549,63,47,59,92,67,10,1042,0
92.3,64,1142,548,63,47,59,92,67,10,1040,0
92.52,63,1142,547,63,47,59,92,67,10,1040,0
92.75,63,1142,548,62,47,59,92,67,10,1040,0
92.98,63,1142,547,62,47,59,92,67,10,1040,0
93.19,63,1141,547,62,47,59,92,67,10,1038,0
93.41,63,1142,546,61,47,58,92,67,10,1037,0
93.6,63,1139,545,61,46,58,92,67,10,1036,0
93.79,63,1139,545,61,46,58,92,67,10,1034,0
94.0,63,1138,544,61,46,58,92,67,10,1035,0
94.21,63,1138,544,60,46,58,91,67,10,1034,0
94.43,63,1135,543,60,46,58,91,67,10,1033,0
