Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
76.88,79,1201,1410,530,206,116,130,99,23,1373,0
77.05,80,1200,1406,528,205,116,130,99,23,1374,0
77.24,79,1199,1399,524,204,115,129,98,23,1371,0
77.44,79,1197,1391,521,202,115,129,98,23,1368,0
77.64,79,1196,1383,516,201,114,128,98,23,1364,0
77.83,79,1195,1374,512,199,113,128,98,23,1361,0
78.04,79,1194,1365,507,198,113,128,97,23,1358,0
78.26,79,1192,1356,504,196,112,127,97,23,1353,0
78.47,78,1192,1348,499,195,112,127,96,22,1350,0
78.67,78,1190,1339,494,193,111,126,96,22,1346,0
78.87,78,1188,1330,490,192,111,126,96,22,1342,0
79.08,78,1188,1321,485,190,110,126,95,22,1337,0
79.3,78,1188,1313,481,189,109,125,95,22,1334,0
79.52,77,1186,1304,476,187,109,125,95,22,1330,0
79.75,77,1185,1295,471,186,108,124,94,22,1326,0
79.95,77,1184,1286,466,184,108,124,94,21,1322,0
80.17,77,1183,1276,461,182,107,124,94,21,1320,0
80.37,76,1182,1265,454,180,106,123,93,21,1315,0
80.57,76,1179,1252,447,178,105,122,93,21,1309,0
80.77,76,1180,1236,438,175,104,122,92,21,1303,0
81.0,75,1177,1219,429,172,103,121,92,20,1296,0
81.21,75,1176,1201,419,169,102,120,91,20,1289,0
81.41,75,1174,1184,410,166,101,120,90,20,1283,0
81.62,74,1174,1166,401,163,100,119,90,20,1276,0
81.82,74,1172,1148,391,159,99,118,89,19,1269,0
82.02,74,1172,1132,382,156,98,117,88,19,1262,0
82.23,73,1170,1114,373,153,96,116,88,19,1255,0
82.46,73,1168,1098,364,150,95,116,87,19,1247,0
82.68,73,1167,1082,356,148,94,115,87,18,1240,0
82.89,72,1167,1068,349,145,94,114,86,18,1235,0
83.08,72,1165,1055,342,143,93,114,86,18,1229,0
83.29,72,1163,1043,336,140,92,113,85,18,1224,0
83.49,71,1162,1031,329,138,91,113,85,17,1219,0
83.69,71,1162,1020,323,136,90,112,84,17,1213,0
83.91,71,1161,1008,316,134,90,112,84,17,1207,0
84.12,71,1159,995,309,132,89,111,83,17,1203,0
84.32,70,1158,982,302,129,88,110,83,17,1199,0
84.53,70,1156,966,293,126,88,110,82,17,1192,0
84.73,70,1155,950,284,123,87,109,82,16,1185,0
84.95,69,1154,932,274,120,85,108,81,16,1179,0
85.2,69,1151,912,264,116,84,107,80,16,1171,0
85.42,69,1151,892,253,112,83,106,79,15,1163,0
85.64,68,1149,868,240,108,81,105,79,15,1154,0
85.85,68,1147,845,227,104,79,104,78,15,1145,0
86.05,67,1145,822,215,100,78,103,77,14,1136,0
86.27,67,1142,799,202,95,76,102,76,14,1127,0
86.46,66,1141,777,190,92,75,101,75,14,1118,0
86.64,66,1140,756,178,88,73,100,74,13,1109,0
86.86,65,1140,735,166,84,72,99,74,13,1099,0
87.08,65,1138,714,155,81,71,98,73,13,1091,0
87.29,64,1136,694,144,77,69,98,72,12,1081,0
87.5,64,1134,676,135,74,68,97,71,12,1073,0
87.71,64,1132,659,126,71,67,96,71,12,1065,0
87.91,63,1131,645,119,68,66,95,70,12,1059,0
88.14,63,1129,633,113,66,65,95,70,11,1051,0
88.36,63,1127,623,107,64,65,94,70,11,1046,0
88.59,63,1127,615,103,62,64,94,69,11,1042,0
88.8,63,1125,609,100,61,64,93,69,11,1039,0
89.01,62,1124,604,98,60,64,93,69,11,1036,0
89.21,62,1126,602,97,60,63,93,69,11,1035,0
89.4,62,1126,600,95,59,63,93,69,11,1033,0
89.6,62,1125,597,94,59,63,93,69,11,1031,0
89.8,62,1124,595,93,59,63,93,69,11,1029,0
90.02,62,1123,594,92,58,63,93,69,11,1028,0
90.22,62,1120,591,91,58,63,92,68,11,1027,0
90.42,62,1121,590,90,57,62,92,68,11,1025,0
90.66,62,1120,588,89,57,62,92,68,10,1024,0
90.88,62,1119,586,88,57,62,92,68,10,1022,0
91.09,62,1118,584,87,56,62,92,68,10,1021,0
91.29,62,1115,582,86,56,62,92,68,10,1019,0
91.49,62,1118,580,85,56,62,92,68,10,1017,0
91.7,62,1116,577,84,55,61,91,68,10,1016,0
91.9,62,1114,576,83,55,61,91,68,10,1014,0
92.11,62,1114,574,81,54,61,91,68,10,1012,0
92.32,61,1113,572,80,54,61,91,68,10,1010,0
92.5,62,1111,570,79,53,61,91,67,10,1008,0
92.8,61,1110,568,78,53,61,91,67,10,1007,0
93.04,61,1110,566,77,53,60,90,67,10,1005,0
93.26,61,1108,564,76,52,60,90,67,10,1003,0
93.45,61,1108,563,75,52,60,90,67,10,1001,0
93.63,61,1108,561,74,52,60,90,67,10,1000,0
93.82,61,1107,560,73,51,60,90,67,10,999,0
94.01,61,1106,558,72,51,60,90,67,10,997,0
94.24,61,1106,557,72,51,60,90,67,10,996,0
94.47,61,1103,556,71,50,59,90,67,10,994,0
