Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
76.87,86,2336,1653,500,204,145,230,142,26,1989,0
77.07,86,2334,1648,498,203,145,229,142,25,1992,0
77.26,86,2336,1642,494,202,145,229,142,25,1989,0
77.45,86,2338,1635,490,200,144,229,142,25,1984,0
77.67,85,2336,1627,486,199,143,228,141,25,1979,0
77.89,85,2337,1619,482,198,143,228,141,25,1974,0
78.11,85,2337,1612,477,196,142,228,141,25,1969,0
78.32,85,2337,1605,473,195,142,227,141,25,1964,0
78.53,85,2338,1598,469,193,141,227,141,24,1958,0
78.74,85,2336,1590,465,192,141,227,140,24,1953,0
78.94,84,2337,1584,461,191,140,226,140,24,1949,0
79.15,84,2332,1577,457,190,140,226,140,24,1943,0
79.33,84,2331,1569,453,188,139,225,139,24,1939,0
79.51,84,2330,1561,449,187,139,225,139,24,1935,0
79.73,84,2331,1555,445,186,138,225,139,24,1930,0
79.92,84,2331,1549,441,185,138,224,139,24,1926,0
80.2,83,2330,1542,437,183,137,224,138,23,1921,0
80.45,83,2331,1535,433,182,137,224,138,23,1916,0
80.66,83,2330,1528,429,181,136,223,138,23,1911,0
80.85,83,2329,1521,425,179,136,223,137,23,1908,0
81.04,83,2326,1514,421,178,135,222,137,23,1904,0
81.23,83,2330,1510,417,177,135,222,137,23,1899,0
81.44,82,2330,1503,413,176,135,222,137,23,1896,0
81.66,82,2330,1496,410,174,134,221,137,23,1891,0
81.87,82,2330,1490,406,173,134,221,136,22,1887,0
82.04,82,2329,1484,402,172,133,221,136,22,1883,0
82.25,82,2331,1477,399,171,133,221,136,22,1878,0
82.49,82,2328,1470,395,169,132,220,136,22,1871,0
82.73,82,2329,1463,391,168,132,220,135,22,1868,0
82.93,81,2329,1456,387,167,131,219,135,22,1862,0
83.13,81,2328,1449,383,165,131,219,135,22,1858,0
83.3,81,2320,1441,378,164,130,218,134,21,1852,0
83.5,81,2319,1433,373,163,129,218,134,21,1847,0
83.73,81,2319,1423,368,161,129,217,134,21,1841,0
83.94,80,2318,1413,362,159,128,217,133,21,1835,0
84.16,80,2317,1401,355,157,127,216,133,21,1828,0
84.36,80,2317,1389,348,154,126,215,133,20,1820,0
84.57,80,2319,1377,340,152,125,215,132,20,1812,0
84.78,79,2316,1362,331,149,124,214,132,20,1803,0
85.02,79,2314,1345,322,146,123,213,131,20,1796,0
85.24,79,2314,1329,312,143,122,213,130,19,1785,0
85.45,78,2316,1312,301,139,121,212,130,19,1775,0
85.67,78,2316,1293,289,135,119,211,129,18,1763,0
85.86,77,2312,1271,276,131,118,210,128,18,1751,0
86.03,77,2312,1249,263,127,116,209,128,18,1738,0
86.27,76,2312,1223,247,122,114,207,127,17,1724,0
86.51,76,2309,1196,231,116,112,206,126,17,1709,0
86.73,75,2309,1170,215,111,110,205,125,16,1693,0
86.93,75,2305,1143,199,106,108,204,124,16,1678,0
87.12,74,2304,1118,184,101,106,202,123,15,1663,0
87.33,74,2307,1095,170,96,104,201,122,15,1649,0
87.54,73,2305,1072,155,92,103,200,121,14,1634,0
87.71,73,2305,1051,144,88,101,199,121,14,1622,0
87.93,72,2304,1029,131,84,100,198,120,13,1609,0
88.16,72,2304,1010,119,80,98,197,119,13,1597,0
88.41,72,2302,990,108,76,97,196,118,13,1586,0
88.64,71,2304,975,99,73,96,195,118,12,1578,0
88.86,71,2301,962,91,70,95,195,118,12,1569,0
89.06,71,2300,951,86,68,94,194,117,12,1563,0
89.25,70,2302,945,81,67,94,194,117,12,1559,0
89.44,70,2302,939,79,66,93,193,117,12,1556,0
89.65,70,2302,937,77,65,93,193,117,12,1551,0
89.87,70,2300,933,75,65,93,193,116,12,1550,0
90.07,70,2302,933,74,64,93,193,116,12,1547,0
90.27,70,2299,931,74,64,93,193,116,12,1546,0
90.48,70,2300,930,73,64,92,192,116,12,1544,0
90.7,70,2300,929,73,64,92,192,116,12,1542,0
90.94,70,2298,928,72,64,92,192,116,12,1540,0
91.15,70,2298,927,72,64,92,192,116,11,1539,0
91.31,70,2299,928,72,63,92,192,116,11,1538,0
91.49,70,2297,926,71,63,92,191,116,11,1536,0
91.73,70,2295,925,71,63,92,191,116,11,1534,0
91.96,70,2297,925,71,63,92,191,116,11,1532,0
92.18,70,2298,925,70,63,92,191,116,11,1530,0
92.39,70,2296,923,70,63,92,191,116,11,1528,0
92.61,70,2297,923,70,63,92,190,116,11,1527,0
92.84,70,2300,924,70,62,92,190,116,11,1526,0
93.05,70,2300,922,69,62,92,190,116,11,1525,0
93.25,70,2300,921,69,62,92,190,116,11,1522,0
93.45,70,2296,920,69,62,92,190,115,11,1522,0
93.68,70,2297,920,69,62,91,189,115,11,1519,0
93.89,70,2300,921,68,62,91,189,115,11,1518,0
94.1,70,2300,919,68,62,91,189,115,11,1517,0
94.29,70,2296,918,68,62,91,189,115,11,1516,0
94.47,70,2299,919,68,61,91,189,115,11,1514,0
