Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
76.86,67,789,1161,485,182,103,110,77,21,1569,0
77.07,67,787,1152,480,180,102,109,76,21,1564,0
77.25,67,787,1143,475,179,101,109,76,21,1559,0
77.44,67,786,1136,471,177,101,108,76,21,1555,0
77.63,66,785,1128,467,176,100,108,75,21,1551,0
77.84,66,785,1120,462,174,100,108,75,20,1549,0
78.04,66,784,1112,458,173,99,107,75,20,1546,0
78.26,66,783,1104,453,172,99,107,75,20,1541,0
78.48,66,782,1096,449,170,98,106,74,20,1537,0
78.69,65,781,1088,445,169,97,106,74,20,1535,0
78.89,65,780,1081,441,167,97,106,74,20,1531,0
79.09,65,780,1073,437,166,96,105,73,20,1529,0
79.31,65,779,1065,432,165,96,105,73,20,1524,0
79.53,65,777,1057,428,163,95,104,73,20,1521,0
79.76,64,776,1050,423,162,95,104,72,19,1516,0
79.96,64,775,1043,419,161,94,104,72,19,1513,0
80.16,64,774,1035,415,159,94,103,72,19,1510,0
80.35,64,773,1026,410,158,93,103,71,19,1506,0
80.54,64,772,1017,405,156,92,102,71,19,1499,0
80.75,64,771,1006,399,154,92,102,71,19,1494,0
80.98,63,769,995,392,152,91,101,70,19,1489,0
81.2,63,768,984,386,150,90,100,70,18,1485,0
81.43,63,767,972,380,148,89,100,69,18,1480,0
81.64,63,766,960,373,146,89,99,69,18,1475,0
81.84,62,765,949,367,144,88,99,68,18,1471,0
82.04,62,763,938,361,142,87,98,68,18,1466,0
82.24,62,761,926,355,140,86,98,68,18,1460,0
82.46,61,760,915,349,138,85,97,67,17,1456,0
82.69,61,759,904,343,136,86,96,67,17,1451,0
82.9,61,758,894,337,134,84,96,66,17,1447,0
83.1,61,756,884,332,132,84,95,66,17,1441,0
83.29,60,755,874,326,130,84,95,66,17,1437,0
83.48,60,754,864,320,128,83,94,65,17,1433,0
83.69,60,752,853,314,126,82,94,65,17,1428,0
83.92,60,751,842,307,124,81,93,64,16,1423,0
84.13,59,750,828,300,122,80,92,64,16,1417,0
84.33,59,748,815,292,119,79,92,63,16,1412,0
84.54,59,746,800,284,117,78,91,63,16,1407,0
84.75,58,744,784,275,114,77,90,62,16,1399,0
84.96,58,742,766,265,110,76,89,61,15,1392,0
85.17,58,740,747,254,107,75,88,60,15,1384,0
85.41,57,738,725,242,103,73,87,60,15,1376,0
85.64,57,735,703,230,99,71,86,59,14,1366,0
85.84,56,734,681,217,94,70,85,58,14,1357,0
86.03,56,732,660,205,92,68,84,57,14,1348,0
86.21,55,729,638,193,88,67,83,56,14,1339,0
86.39,55,727,618,181,84,65,82,55,13,1329,0
86.61,54,724,596,170,80,64,81,55,13,1319,0
86.83,54,722,576,158,76,63,80,54,13,1310,0
87.05,53,721,556,147,72,61,79,53,12,1301,0
87.27,53,719,538,136,69,60,78,52,12,1292,0
87.48,52,717,521,127,66,59,77,52,12,1284,0
87.68,52,716,505,118,63,58,76,51,11,1276,0
87.91,52,714,490,110,60,57,76,51,11,1268,0
88.13,51,714,478,104,58,56,75,50,11,1262,0
88.36,51,712,470,99,56,55,74,50,11,1257,0
88.59,51,711,463,96,55,55,74,50,11,1252,0
88.79,51,711,459,93,54,55,74,49,11,1249,0
89.0,51,709,455,92,54,54,73,49,11,1246,0
89.2,51,708,453,90,53,54,73,49,11,1242,0
89.4,51,707,451,89,53,54,73,49,11,1240,0
89.59,50,706,449,88,52,54,73,49,11,1238,0
89.79,50,705,447,87,52,54,72,49,11,1237,0
90.02,50,704,445,86,52,53,72,49,11,1235,0
90.24,50,703,443,85,51,53,72,49,10,1232,0
90.45,50,702,441,84,51,53,72,48,10,1230,0
90.67,50,700,439,83,51,53,72,48,10,1227,0
90.87,50,699,437,83,50,53,71,48,10,1224,0
91.07,50,698,435,82,50,52,71,48,10,1223,0
91.27,50,697,433,81,49,52,71,48,10,1221,0
91.47,50,696,431,80,49,52,71,48,10,1219,0
91.69,50,695,429,79,49,52,70,48,10,1216,0
91.89,50,694,427,78,48,52,70,48,10,1214,0
92.12,49,692,425,76,48,52,70,47,10,1212,0
92.33,49,691,423,75,48,51,70,47,10,1211,0
92.58,49,690,421,74,47,51,69,47,10,1207,0
92.8,49,688,419,73,47,51,69,47,10,1205,0
93.01,49,687,417,72,46,51,69,47,10,1202,0
93.21,49,686,415,72,46,51,69,47,10,1201,0
93.4,49,685,414,71,46,50,69,47,10,1200,0
93.58,49,684,412,70,45,50,68,47,10,1198,0
93.78,49,683,410,69,45,50,68,47,10,1196,0
93.99,49,682,409,68,45,50,68,46,10,1194,0
94.21,48,680,407,68,45,50,68,46,10,1193,0
94.44,48,679,406,67,44,50,67,46,10,1191,0
