Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
76.88,64,1149,1633,451,196,130,211,135,28,2382,0
77.08,64,1147,1627,448,195,130,211,135,28,2383,0
77.31,64,1147,1622,445,193,130,211,135,28,2376,0
77.51,64,1146,1615,441,192,129,210,134,28,2371,0
77.71,64,1145,1608,437,191,129,210,134,28,2372,0
77.91,63,1143,1601,434,189,128,210,134,27,2370,0
78.12,63,1143,1594,430,188,128,209,133,27,2365,0
78.32,63,1142,1589,427,187,127,209,133,27,2363,0
78.54,63,1140,1582,423,186,127,209,133,27,2359,0
78.75,63,1141,1576,420,185,126,208,133,27,2354,0
78.96,63,1141,1571,416,183,126,208,133,27,2345,0
79.16,63,1140,1564,413,182,125,208,132,27,2346,0
79.35,62,1139,1559,410,181,125,208,132,27,2345,0
79.57,62,1139,1554,406,180,125,207,132,26,2342,0
79.8,62,1137,1547,402,179,124,207,132,26,2338,0
80.01,62,1136,1540,399,178,124,207,131,26,2333,0
80.23,62,1136,1534,396,176,123,206,131,26,2332,0
80.43,62,1136,1528,392,175,123,206,131,26,2330,0
80.64,62,1136,1523,389,174,122,206,131,26,2330,0
80.88,61,1135,1517,386,173,122,205,131,26,2324,0
81.08,61,1135,1512,382,172,121,205,130,26,2322,0
81.28,61,1133,1506,379,171,121,205,130,26,2319,0
81.5,61,1132,1499,375,169,120,205,130,25,2316,0
81.7,61,1133,1494,372,168,120,204,130,25,2316,0
81.9,61,1132,1489,369,167,120,204,130,25,2310,0
82.1,61,1132,1483,366,166,119,204,129,25,2309,0
82.3,61,1131,1476,362,165,119,203,129,25,2304,0
82.53,60,1130,1471,359,164,118,203,129,25,2302,0
82.75,60,1128,1464,355,162,118,203,129,25,2295,0
82.97,60,1129,1458,352,161,117,203,128,25,2296,0
83.16,60,1129,1452,349,160,117,202,128,25,2291,0
83.35,60,1128,1445,345,159,117,202,128,25,2288,0
83.57,60,1128,1439,341,157,116,202,128,24,2286,0
83.78,60,1127,1431,338,156,115,201,127,24,2280,0
83.99,60,1127,1424,333,154,115,201,127,24,2277,0
84.2,59,1127,1415,327,152,114,200,127,24,2274,0
84.4,59,1125,1404,321,150,113,200,126,24,2268,0
84.62,59,1124,1393,315,148,112,199,126,24,2266,0
84.81,59,1125,1381,308,146,112,199,126,23,2256,0
85.01,58,1123,1368,300,143,111,198,125,23,2256,0
85.22,58,1122,1354,291,140,109,197,125,23,2248,0
85.47,58,1121,1336,281,136,108,197,124,23,2241,0
85.69,57,1120,1318,271,133,107,196,123,22,2230,0
85.9,57,1117,1299,260,129,105,195,123,22,2222,0
86.11,57,1116,1281,248,125,104,194,122,22,2210,0
86.32,56,1115,1258,235,120,102,193,121,21,2204,0
86.53,56,1110,1234,221,116,100,192,120,21,2193,0
86.76,55,1113,1212,207,111,99,191,120,21,2184,0
86.96,55,1111,1189,193,106,97,190,119,20,2174,0
87.16,54,1109,1165,179,101,95,189,118,20,2161,0
87.36,54,1109,1142,166,96,94,187,117,19,2147,0
87.56,53,1106,1119,153,92,92,186,116,19,2135,0
87.78,53,1106,1098,140,87,90,185,116,19,2125,0
87.99,52,1105,1079,129,83,89,185,115,18,2116,0
88.23,52,1104,1060,118,80,88,184,114,18,2105,0
88.44,52,1103,1043,109,76,86,183,114,17,2094,0
88.63,51,1103,1028,101,73,85,182,113,17,2088,0
88.84,51,1101,1017,95,71,84,182,113,17,2081,0
89.07,51,1101,1007,90,69,84,181,113,17,2075,0
89.28,51,1101,999,86,67,83,181,112,16,2071,0
89.48,50,1100,992,83,66,83,180,112,16,2066,0
89.7,50,1100,988,80,65,82,180,112,16,2063,0
89.89,50,1099,986,79,64,82,180,112,16,2062,0
90.1,50,1098,983,78,64,82,180,112,16,2060,0
90.3,50,1095,982,77,64,82,180,112,16,2059,0
90.52,50,1097,981,76,63,82,180,112,16,2056,0
90.75,50,1097,980,76,63,82,180,112,16,2059,0
90.97,50,1096,978,75,63,81,179,111,16,2058,0
91.2,50,1094,976,75,63,81,179,111,16,2056,0
91.41,50,1095,977,75,63,81,179,111,16,2056,0
91.57,50,1096,977,74,62,81,179,111,16,2057,0
91.76,50,1096,977,74,62,81,179,111,16,2055,0
91.96,50,1094,976,74,62,81,179,111,16,2054,0
92.19,50,1094,975,74,62,81,179,111,16,2056,0
92.42,50,1093,975,73,62,81,179,111,16,2054,0
92.76,50,1094,974,73,62,81,179,111,16,2059,0
92.97,50,1095,975,73,62,81,179,111,16,2059,0
93.19,50,1095,974,73,62,81,179,111,16,2058,0
93.39,50,1095,974,72,62,80,179,111,16,2057,0
93.58,50,1094,973,72,61,80,179,111,16,2058,0
93.79,50,1093,973,72,61,80,179,111,16,2060,0
94.0,50,1092,972,72,61,80,179,111,16,2059,0
94.21,50,1093,973,71,61,80,179,111,16,2062,0
94.44,50,1092,972,71,61,80,178,111,16,2064,0
