Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
55.1,91,3746,1515,412,191,151,231,183,26,2031,0
55.33,90,3676,1500,416,193,152,226,181,26,1992,0
55.3,90,3619,1514,423,197,152,224,180,26,1972,0
55.29,90,3595,1509,421,196,151,223,179,25,1961,0
55.3,90,3585,1512,421,196,151,222,178,25,1952,0
55.32,90,3583,1510,421,195,151,222,178,25,1945,0
55.26,90,3573,1497,412,192,150,221,178,25,1936,0
55.29,90,3580,1499,415,193,150,221,178,25,1934,0
55.3,90,3576,1498,414,192,150,220,178,25,1931,0
55.31,90,3566,1494,411,191,149,219,178,24,1923,0
55.28,90,3564,1493,411,191,149,219,178,24,1921,0
55.3,90,3554,1488,408,190,148,218,177,24,1917,0
55.28,90,3550,1486,406,189,148,218,177,24,1911,0
55.3,90,3541,1478,402,188,147,217,177,24,1906,0
55.27,91,3545,1475,401,187,147,217,177,24,1894,0
55.25,90,3535,1470,399,186,147,216,176,24,1891,0
55.28,90,3528,1466,398,186,146,216,176,24,1883,0
55.26,89,3530,1461,395,185,146,215,176,23,1882,0
55.24,90,3526,1461,395,185,146,215,176,23,1874,0
55.25,90,3521,1455,391,183,145,214,175,23,1870,0
55.26,90,3518,1452,391,183,145,214,175,23,1869,0
55.25,89,3520,1451,390,183,145,214,175,23,1865,0
55.24,89,3520,1449,389,182,145,214,175,23,1861,0
55.24,89,3515,1444,386,181,145,213,175,23,1857,0
55.25,89,3514,1440,384,180,144,213,174,23,1851,0
55.27,89,3501,1435,382,180,144,213,174,23,1849,0
55.24,88,3507,1434,380,179,144,213,174,23,1843,0
55.28,90,3508,1437,383,180,144,213,174,23,1841,0
55.25,89,3505,1431,379,178,143,212,174,22,1835,0
55.25,90,3501,1435,381,179,144,212,174,22,1831,0
55.26,88,3509,1442,386,180,144,212,174,23,1839,0
55.27,89,3505,1458,396,184,145,213,175,23,1847,0
55.21,90,3502,1476,406,187,146,214,175,23,1852,0
55.24,90,3510,1514,429,194,149,215,177,24,1872,0
55.26,91,3515,1563,457,203,152,217,178,25,1893,0
55.24,92,3514,1621,492,214,156,219,180,26,1923,0
55.24,93,3513,1691,532,227,161,222,183,27,1959,0
55.27,95,3512,1784,587,245,167,226,186,29,2004,0
55.21,97,3513,1873,639,262,173,229,188,31,2047,0
55.24,99,3518,1981,699,282,180,234,192,32,2096,0
55.24,101,3526,2083,757,301,187,237,196,34,2144,0
55.24,103,3531,2198,821,322,194,242,199,36,2196,0
55.19,105,3533,2305,881,341,201,246,203,38,2247,0
55.25,108,3534,2424,948,363,209,250,207,40,2301,0
55.22,110,3538,2536,1012,384,216,255,210,43,2355,0
