Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
55.2,45,793,1246,390,168,110,176,94,29,2603,0
55.37,44,777,1203,368,159,107,174,91,28,2558,0
55.49,44,778,1213,372,163,108,175,91,28,2539,0
55.48,44,777,1241,397,172,111,177,92,28,2546,0
55.53,44,772,1249,400,174,111,175,92,28,2508,0
55.47,44,776,1261,409,178,112,175,93,28,2472,0
55.45,44,749,1257,410,179,111,174,91,28,2439,0
55.44,43,745,1250,406,179,110,173,91,28,2431,0
55.45,43,745,1236,394,176,108,172,90,27,2422,0
55.45,44,739,1241,406,175,111,173,91,27,2438,0
55.42,44,753,1244,402,175,111,174,91,27,2434,0
55.42,43,754,1233,395,172,110,173,91,27,2421,0
55.46,44,754,1239,398,174,110,174,91,27,2423,0
55.46,43,748,1231,393,172,109,173,91,27,2407,0
55.49,43,742,1226,390,170,108,172,90,27,2377,0
55.51,43,743,1224,387,170,108,172,90,27,2376,0
55.45,43,743,1221,388,170,108,172,90,27,2374,0
55.46,42,741,1212,382,168,107,171,89,26,2363,0
55.48,43,743,1212,385,167,108,172,89,26,2360,0
55.51,42,739,1204,382,166,107,171,89,26,2342,0
55.48,42,735,1196,378,165,106,170,88,26,2333,0
55.52,42,732,1198,379,166,106,171,88,26,2339,0
55.49,42,729,1191,375,164,106,170,88,26,2330,0
55.5,42,732,1186,372,163,105,170,88,26,2322,0
55.5,42,731,1184,372,163,105,170,88,26,2321,0
55.47,41,731,1180,369,162,105,169,87,26,2315,0
55.5,42,741,1184,368,162,105,169,88,26,2353,0
55.5,42,734,1187,371,163,105,169,88,26,2343,0
55.47,41,729,1186,373,163,105,169,87,26,2317,0
55.45,42,732,1199,379,165,106,170,88,26,2318,0
55.47,42,724,1206,385,167,106,169,87,26,2293,0
55.51,42,722,1243,408,175,109,171,88,26,2303,0
55.48,43,723,1279,428,181,111,172,89,27,2310,0
55.5,44,723,1333,458,191,114,174,91,28,2327,0
55.44,45,724,1403,497,205,119,177,93,29,2356,0
55.45,47,729,1473,537,218,124,180,95,30,2384,0
55.5,48,730,1566,589,235,130,183,98,31,2415,0
55.43,50,731,1656,638,252,135,186,101,33,2443,0
55.48,52,744,1759,696,269,143,191,105,34,2484,0
55.5,54,749,1851,748,287,149,195,107,36,2520,0
55.48,56,754,1958,804,307,155,199,110,38,2594,0
55.5,58,756,2054,855,324,161,203,113,39,2637,0
55.43,60,760,2137,900,339,167,206,116,40,2665,0
55.66,61,760,2224,950,354,173,209,118,42,2691,0
55.45,63,771,2323,1004,373,179,214,122,43,2742,0
