Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
55.25,63,1245,1306,252,128,116,218,131,31,3033,0
55.29,63,1221,1288,243,126,115,214,129,31,3072,0
55.27,62,1205,1284,247,127,115,213,129,31,3069,0
55.25,62,1190,1286,255,130,116,213,128,31,3044,0
55.26,60,1168,1282,263,133,116,211,127,29,3061,0
55.24,60,1152,1278,268,134,116,209,126,29,3023,0
55.23,59,1141,1274,267,134,115,208,125,28,2952,0
55.23,59,1132,1281,273,137,116,207,125,29,2937,0
55.25,59,1121,1275,271,136,116,205,124,28,2776,0
55.25,58,1119,1266,264,134,115,205,123,28,2761,0
55.25,58,1109,1263,264,133,114,204,122,28,2761,0
55.26,58,1110,1263,261,132,113,203,122,28,2755,0
55.25,58,1114,1264,258,131,113,203,122,28,2772,0
55.23,58,1114,1264,256,131,113,203,123,28,2774,0
55.22,58,1109,1262,254,130,113,202,122,28,2784,0
55.21,58,1105,1260,254,130,113,202,121,28,2778,0
55.2,58,1102,1251,251,129,112,201,121,28,2771,0
55.19,58,1099,1250,250,128,112,201,121,28,2776,0
55.21,58,1098,1250,248,127,111,201,121,28,2770,0
55.2,57,1097,1248,247,127,111,200,120,28,2742,0
55.2,58,1098,1245,247,127,111,199,120,28,2737,0
55.21,57,1094,1241,243,125,111,199,120,27,2726,0
55.22,58,1094,1242,243,125,111,199,120,28,2734,0
55.22,58,1093,1239,241,124,110,199,120,27,2725,0
55.21,58,1091,1235,242,124,110,199,120,27,2725,0
55.2,57,1088,1237,240,124,110,198,119,27,2711,0
55.19,57,1090,1240,241,124,110,198,119,27,2715,0
55.21,57,1088,1240,245,125,110,197,119,27,2683,0
55.2,58,1091,1247,249,126,111,198,120,27,2700,0
55.2,58,1090,1259,257,128,112,198,120,27,2701,0
55.21,58,1092,1276,265,131,113,199,121,28,2703,0
55.21,59,1093,1309,286,137,116,201,122,29,2726,0
55.21,60,1096,1356,312,145,119,203,124,29,2777,0
55.19,61,1100,1403,339,154,122,205,125,30,2796,0
55.19,63,1105,1465,380,166,127,208,128,31,2824,0
55.19,65,1123,1555,434,182,133,215,132,33,2886,0
55.17,67,1130,1638,483,198,138,219,135,35,2919,0
55.19,68,1134,1722,533,213,144,222,138,36,2957,0
55.17,70,1142,1806,583,228,150,226,141,38,3012,0
55.18,72,1151,1893,631,244,156,230,144,39,3060,0
55.21,74,1157,1980,683,260,163,233,147,41,3102,0
55.19,76,1150,2107,752,287,171,240,149,43,3277,0
55.17,77,1147,2165,786,298,175,242,151,44,3233,0
55.17,79,1147,2254,845,316,182,246,153,45,3279,0
55.16,81,1153,2338,891,331,188,249,156,47,3341,0
