Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
55.13,63,1105,1580,493,217,143,217,128,30,2286,0
55.26,61,1085,1520,460,207,138,214,125,29,2266,0
55.25,61,1080,1507,449,203,136,213,125,28,2263,0
55.22,62,1095,1528,456,204,137,214,126,28,2296,0
55.2,61,1096,1519,446,202,135,213,126,28,2306,0
55.24,61,1096,1517,442,201,134,213,126,28,2311,0
55.24,61,1101,1505,432,196,132,212,126,27,2296,0
55.24,61,1099,1507,431,196,132,211,126,27,2307,0
55.24,61,1099,1504,427,194,131,211,126,27,2285,0
55.23,61,1106,1509,426,194,131,211,127,27,2292,0
55.21,61,1111,1512,424,193,130,211,128,27,2292,0
55.25,61,1111,1511,420,192,129,210,128,27,2296,0
55.23,61,1116,1513,419,191,130,210,128,27,2293,0
55.23,61,1118,1518,420,191,129,210,129,26,2306,0
55.22,61,1123,1517,414,189,128,210,130,26,2302,0
55.24,61,1124,1520,412,189,129,210,130,26,2301,0
55.26,61,1121,1516,411,188,128,210,129,26,2304,0
55.25,61,1120,1514,411,188,128,210,129,26,2300,0
55.21,60,1120,1505,406,186,128,209,129,26,2295,0
55.24,60,1121,1503,404,186,127,209,129,26,2288,0
55.23,60,1121,1500,402,185,126,209,129,26,2293,0
55.22,60,1123,1496,399,184,126,208,129,25,2286,0
55.19,60,1121,1488,395,182,126,208,129,25,2287,0
55.23,60,1120,1487,394,182,125,208,129,25,2288,0
55.26,60,1121,1490,396,183,126,208,129,25,2296,0
55.19,60,1118,1485,394,182,125,208,128,25,2297,0
55.25,60,1119,1483,393,181,125,208,128,25,2296,0
55.24,60,1117,1481,391,180,125,208,128,25,2298,0
55.22,60,1119,1481,390,180,125,208,128,25,2301,0
55.21,60,1129,1501,390,182,125,207,131,26,2299,0
55.19,59,1128,1500,388,181,124,207,131,26,2301,0
55.2,60,1129,1506,393,183,125,208,131,26,2312,0
55.18,60,1131,1516,398,184,126,208,131,26,2319,0
55.2,60,1133,1535,408,188,127,209,132,26,2329,0
55.24,61,1135,1569,426,194,129,210,133,27,2351,0
55.24,62,1135,1607,450,202,131,212,134,27,2372,0
55.19,63,1142,1673,487,214,135,215,137,29,2398,0
55.21,65,1145,1744,526,227,140,218,139,30,2432,0
55.21,66,1148,1825,575,244,145,222,142,31,2471,0
55.24,69,1155,1937,632,264,153,226,145,33,2529,0
55.22,71,1162,2051,697,285,161,231,149,35,2584,0
55.2,73,1167,2155,755,305,167,235,152,37,2635,0
55.19,75,1172,2265,816,325,174,240,156,39,2697,0
55.21,78,1179,2376,878,346,182,245,159,41,2746,0
55.23,80,1184,2498,947,369,190,250,163,43,2803,0
