consumableId,415,445,480,515,555,590,630,680,NIR,CLR,DARK,
01793407-6af3-4147-844b-1ba2140a0005,34,-104,1675,1030,324,119,70,62,30,658,0,
04112c17-5d30-472d-9817-066f872fa7fd,20,53,839,534,176,60,43,35,15,382,0,
0acb66d1-40e8-4c39-9e45-7ad656529d9e,27,86,1308,737,239,84,54,52,20,463,0,
1497dca5-33de-4a34-be5a-091bd4d65422,26,-86,1404,778,257,88,60,55,22,541,0,
2120c92a-8922-49cf-bfd2-c53072dc7ddb,23,77,1077,563,179,64,46,41,18,425,0,
223ed35c-70ef-4eac-8447-e18cdcdc15b3,27,65,1238,715,222,84,54,46,23,646,0,
27279278-db8d-47e4-95f5-b137f22b6dae,16,59,764,458,147,53,33,29,14,299,0,
28bcebd4-8800-4212-921e-c1fccf1cc5c2,28,57,1309,775,239,91,58,46,24,685,0,
29f7a75f-7d15-4977-80f6-43bc3092c260,27,63,1216,725,235,84,50,42,23,574,0,
37e4b4c9-010f-4a46-a64b-7315d5ae08ac,26,51,1223,721,232,82,57,41,21,531,0,
3d60e99b-9213-472a-a855-29a1b0d6adb9,52,262,2489,1619,511,179,119,105,50,1121,0,
47dd2c37-fc9b-418b-8741-575de809a487,24,75,1105,597,190,67,48,43,19,525,0,
4db3519d-6a33-4c27-be92-fdeb2881bf32,20,36,922,521,169,59,40,31,16,391,0,
54d6262c-d950-4b38-82d1-0c252daa3591,26,74,1175,675,221,78,48,40,20,511,0,
6b756b3f-e5c7-4977-9dac-c7b9a3aa92e8,29,60,1404,789,259,91,60,48,22,608,0,
6d10e62f-4a91-4824-a47f-2ab63db06729,47,427,2244,1419,451,159,107,97,43,976,0,
72557edd-9fa7-483f-885a-db11f8ef79cd,27,67,1231,720,222,84,57,43,22,669,0,
74b09b9a-ed0a-4fe0-8a9c-6a2bb980b523,22,64,1047,615,208,69,47,43,18,459,0,
750a2c23-f2e6-488c-9f2d-64847d5d881a,21,-69,1033,585,186,71,42,36,19,569,0,
783688f4-1c4f-485d-8dae-eba90d334d2d,22,51,993,617,196,71,42,35,20,546,0,
7c1ea47c-2970-4f14-85f1-6c26d90f2dcf,25,160,1338,678,235,79,53,53,21,493,0,
7f016dde-389d-46c8-b40b-dd156bf5fe8c,19,54,859,497,172,57,40,34,15,372,0,
8e8ae301-31b1-4045-ad3a-d97b53f6aca7,36,100,1727,1041,334,121,74,64,33,767,0,
8ffda590-63eb-4523-8525-4253d61ac8c3,51,186,2477,1571,500,173,113,101,48,1080,0,
a173a7ef-000f-494c-9ef6-b08e33fa47ad,26,134,1356,797,260,93,64,51,28,643,0,
a647050f-fb07-4384-b735-4e71d6cff9f0,47,175,2159,1577,468,172,115,93,48,1179,0,
a82b8a44-a8be-4cdc-ad33-d4b6354dadca,35,267,1612,839,287,98,73,66,25,745,0,
ae481235-7540-4077-b61f-755779b045cf,23,75,1230,640,211,73,51,47,21,465,0,
afe0e555-ba5b-4f98-b529-93a7fa4a7f6c,21,72,971,513,175,63,43,36,17,464,0,
b472d391-961b-428a-8204-4291f65e0949,36,125,1781,1044,346,121,75,67,33,730,0,
bbf53361-434e-4d56-8125-b555425321fe,20,42,896,516,171,61,37,31,17,426,0,
c3301970-3343-4077-a230-acca81c5d52a,20,52,930,519,171,62,39,32,16,389,0,
c386ccc2-5357-49b1-ae98-bc7d6382f037,22,68,979,591,198,66,47,40,18,442,0,
d2efbfad-a339-4879-abfd-e6aa02aa64f4,31,65,1479,851,274,95,65,50,26,678,0,
e899e3a4-a518-4d0c-8c25-5df0c48ad169,27,99,1326,709,226,80,57,50,22,543,0,
ec7d317c-2176-466a-bcea-3cc2e5f5bb5a,32,95,1590,866,276,95,70,62,24,583,0,
f32b3d00-036c-4a21-9d81-8a864d8dd701,26,82,1201,737,225,86,57,44,22,638,0,
c129e3f7-93c2-4791-b4b6-a6229d7e8524,23,71,1044,649,214,71,50,44,19,475,0,
a23e333e-e27e-486f-8180-9e27c9149afe,32,171,1574,812,269,96,64,61,23,648,0,
da3bbbf1-9e30-4c15-b374-54b78855d9c1,52,258,2555,1637,524,180,122,106,49,1112,0,
