cons,inst,lot
6e407f9b-ef30-4b9e-9add-c82b9c833591,608,TKM-3868
6f716a69-7767-42ea-8290-d7a9bdd4b151,608,TKM-3868
76dcb2e1-aa73-4cd5-9253-7f8dddaafbf8,608,TKM-3868
44ace279-579e-42f1-b969-39c7c20b92f0,608,TKM-3868
8d09cabb-f174-4b9e-ad44-0d515b4c6b6f,608,TKM-3868
b5779e2b-83fc-466c-8e2e-f3b1b41f30c1,608,TKM-3868
c58cf3b5-45db-4c31-b71d-1b9fc882de2f,608,TKM-3868
e6c62671-8ad2-440a-996b-7cf2ac95aded,608,TKM-3868
4779896b-7f8d-45a0-9ffa-02ddd563c67d,609,TKM-3868
84e7df43-8a53-4f01-bb23-3b98121cb070,609,TKM-3868
8e911ae1-34d9-47fe-b9d3-ff8aebf5dbe9,609,TKM-3868
a3feb697-86b3-4baa-91e5-f5e3ac2345b2,609,TKM-3868
a88f163c-e0bb-4596-9801-260e84bbbd31,609,TKM-3868
be52ced9-f0f7-44ec-92b6-50f60aee356e,609,TKM-3868
11b45de9-0f8d-4566-a5cc-11b7d1fdbe70,609,TKM-3868
da2db87b-1c71-439b-94b6-d1e307c1fe02,609,TKM-3868
6318071f-895d-4850-9b32-390e554ef8c5,610,TKM-3868
6d8551fd-c9dc-45d3-aac8-dbffd57295d9,610,TKM-3868
6dcc44f9-cc7b-4109-a3d1-13e712ca5e1c,610,TKM-3868
747b352c-4641-470e-8763-bfe8b74e1db4,610,TKM-3868
985e721b-8ed0-4ec2-afca-81f4a257a909,610,TKM-3868
a27166bb-7fca-4935-bab7-39382e774886,610,TKM-3868
bf6c0486-58fc-48a4-852b-1c23d4f79450,610,TKM-3868
0343fb81-e51a-4b6c-b961-d41ac23a14ca,610,TKM-3868
2e94ef4e-f4dc-4602-8342-27f504a0a804,619,TKM-3868
2c0b9969-38ca-449e-bd67-d8b64fccf8af,619,TKM-3868
aa23a216-373b-40c7-93e7-1a93be711c83,619,TKM-3868
c956c809-77ad-4f25-a0d2-ec008668a312,619,TKM-3868
f2256a57-1ca5-4b77-b335-69c6e6c78541,619,TKM-3868
060a67bc-781e-4f90-909a-4bfdce79d412,619,TKM-3868
fd745539-205b-4a31-9823-9e4b33d5d27b,619,TKM-3868
6ddd0e24-af29-49b5-87af-55112362a3b0,625,TKM-3868
7ba34296-0112-4858-8d36-46b8d5025f9c,625,TKM-3868
7bd68323-3250-4c1c-b04a-acbf91f4680f,625,TKM-3868
901b6b33-a463-4eba-aff4-ae0718de36d1,625,TKM-3868
a7bf8902-65f9-4dab-86e9-bb272afdd99d,625,TKM-3868
e4925b72-9123-4913-80a2-a9f692fae79e,625,TKM-3868
e6e241f6-27e5-4e93-ab6a-340b23643f36,625,TKM-3868
f9a421dc-8336-4646-99e6-856503d87c9c,625,TKM-3868
