Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
76.85,30,594,760,310,128,74,78,61,16,637,0
77.05,30,596,756,307,127,73,78,61,16,635,0
77.26,29,596,752,304,127,73,78,60,16,633,0
77.45,29,597,748,302,126,72,78,60,15,630,0
77.64,29,597,744,299,125,73,78,60,15,629,0
77.83,29,597,740,297,124,72,77,60,15,626,0
78.03,29,597,735,294,123,72,77,60,15,624,0
78.25,29,597,731,292,122,72,77,60,15,621,0
78.46,29,597,727,291,121,72,77,59,15,619,0
78.66,29,597,723,288,121,71,77,59,15,617,0
78.87,29,597,719,286,120,71,76,59,15,615,0
79.07,29,597,715,283,119,71,76,59,15,612,0
79.28,28,598,710,281,118,70,76,59,15,609,0
79.5,28,597,706,278,117,70,76,59,14,607,0
79.71,28,597,702,276,117,70,76,58,14,605,0
79.92,28,597,697,274,116,69,75,58,14,602,0
80.13,28,598,694,271,115,69,75,58,14,600,0
80.32,28,597,689,269,114,69,75,58,14,597,0
80.54,28,596,683,266,113,68,75,58,14,594,0
80.76,28,596,677,262,112,68,74,57,14,591,0
80.99,27,595,672,259,111,67,74,57,14,588,0
81.19,27,595,666,256,110,67,74,57,14,586,0
81.39,27,595,660,252,108,67,74,57,13,583,0
81.6,27,595,655,249,107,66,73,57,13,579,0
81.82,27,595,649,245,106,66,73,56,13,575,0
82.02,27,595,643,242,105,65,73,56,13,572,0
82.23,27,595,637,239,104,65,72,56,13,568,0
82.45,26,594,630,235,103,64,72,56,13,565,0
82.67,26,594,625,232,101,64,72,55,13,561,0
82.87,26,594,619,228,100,63,72,55,13,558,0
83.06,26,593,613,225,99,63,71,55,12,555,0
83.25,26,593,607,222,99,63,71,55,12,551,0
83.45,26,593,601,219,98,62,71,54,12,549,0
83.65,26,592,596,215,97,62,70,54,12,546,0
83.88,25,592,591,212,96,61,70,54,12,542,0
84.1,25,592,585,209,94,61,70,54,12,539,0
84.3,25,592,579,205,93,60,69,53,12,536,0
84.52,25,591,573,201,92,60,69,53,12,533,0
84.72,25,591,566,197,91,59,69,53,11,529,0
84.92,25,591,558,193,89,59,68,53,11,525,0
85.14,24,590,549,188,87,58,68,52,11,520,0
85.37,24,590,540,182,86,57,68,52,11,515,0
85.6,24,590,529,176,84,57,67,52,11,509,0
85.8,24,589,519,170,81,56,67,51,10,504,0
86.0,23,589,508,164,79,55,66,51,10,498,0
86.19,23,589,497,158,77,54,66,50,10,492,0
86.38,23,588,486,151,75,53,65,50,10,486,0
86.58,23,588,474,144,73,52,64,49,9,479,0
86.83,22,588,462,137,70,51,64,49,9,472,0
87.06,22,587,448,129,67,50,63,49,9,465,0
87.29,22,586,437,123,65,50,63,48,9,458,0
87.48,21,585,425,116,63,49,62,47,8,452,0
87.66,21,585,414,110,61,48,62,48,8,446,0
87.84,21,584,404,104,59,47,61,46,8,440,0
88.05,21,587,395,99,57,47,62,46,8,435,0
88.28,21,587,387,94,55,46,61,47,7,430,0
88.53,20,587,380,90,54,45,61,46,7,426,0
88.76,20,586,374,87,52,45,60,45,7,422,0
88.97,20,585,369,84,52,45,60,45,7,420,0
89.16,20,585,366,82,51,44,60,45,7,418,0
89.37,20,585,363,81,50,44,60,45,7,417,0
89.57,20,586,362,80,50,44,60,46,7,415,0
89.78,20,585,360,79,50,44,60,46,7,414,0
89.99,20,585,359,78,49,44,59,45,7,414,0
90.19,20,585,358,77,49,44,59,45,7,413,0
90.4,20,585,356,76,49,43,59,46,7,412,0
90.61,20,585,354,75,48,43,59,45,7,412,0
90.83,20,585,353,75,48,43,59,45,7,411,0
91.04,20,585,353,74,48,43,59,45,7,411,0
91.23,20,585,352,73,48,43,59,44,7,410,0
91.43,20,585,351,72,47,43,59,45,7,411,0
91.67,20,585,350,72,47,43,59,45,7,412,0
91.89,20,585,348,71,47,43,59,45,7,411,0
92.11,20,585,346,70,46,42,59,45,7,411,0
92.33,19,585,346,69,46,42,59,45,7,410,0
92.53,19,584,345,68,46,42,59,45,6,409,0
92.73,19,584,343,68,46,42,58,45,6,409,0
92.94,19,584,342,67,45,42,58,44,6,408,0
93.15,19,584,341,66,45,42,58,45,6,407,0
93.36,19,585,340,66,45,42,58,45,6,407,0
93.56,19,584,338,65,45,42,58,45,6,406,0
93.8,19,583,337,64,44,42,58,45,6,405,0
93.99,19,583,336,63,44,41,58,45,6,405,0
94.19,19,583,335,63,44,41,58,44,6,404,0
94.42,19,583,334,62,43,41,58,44,6,403,0
