Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
76.87,29,531,732,309,123,71,69,57,15,627,0
77.07,28,532,729,307,122,70,69,57,15,625,0
77.27,28,532,725,304,122,70,69,57,15,623,0
77.47,28,532,721,302,121,70,69,57,15,621,0
77.67,28,532,717,299,120,70,68,57,15,619,0
77.86,28,532,713,297,119,69,68,57,15,617,0
78.06,28,533,709,294,118,69,68,56,14,615,0
78.26,28,532,705,292,118,69,68,56,14,613,0
78.5,28,532,701,291,117,68,68,56,14,610,0
78.7,28,533,697,289,116,68,68,56,14,607,0
78.9,28,532,693,286,115,68,67,56,14,605,0
79.11,27,532,689,284,115,67,67,56,14,603,0
79.33,27,532,684,281,114,67,67,55,14,601,0
79.54,27,531,680,279,113,67,67,55,14,599,0
79.76,27,531,676,276,112,66,66,55,14,596,0
79.96,27,531,672,274,111,66,66,55,14,594,0
80.15,27,532,667,271,110,66,66,55,14,591,0
80.34,27,531,662,268,109,65,66,55,13,589,0
80.58,27,529,655,265,108,65,65,54,13,586,0
80.81,27,530,649,261,107,64,65,54,13,582,0
81.03,26,530,642,256,105,64,65,54,13,579,0
81.24,26,530,635,252,104,63,64,53,13,575,0
81.43,26,529,627,248,103,63,64,53,13,571,0
81.63,26,528,619,243,101,62,64,53,13,566,0
81.84,26,527,612,239,101,62,63,52,12,563,0
82.05,25,526,604,235,98,61,63,52,12,559,0
82.27,25,526,597,230,98,60,63,52,12,555,0
82.48,25,526,589,225,96,60,62,51,12,550,0
82.7,25,526,581,221,95,59,62,51,12,546,0
82.91,25,525,574,216,93,59,61,51,12,542,0
83.11,24,525,566,212,92,58,61,50,11,538,0
83.3,24,525,560,208,90,58,61,50,11,534,0
83.5,24,525,553,205,89,57,60,50,11,531,0
83.71,24,524,547,201,88,57,60,50,11,528,0
83.92,24,524,541,198,87,56,60,49,11,525,0
84.13,24,523,535,194,86,56,59,49,11,522,0
84.33,24,522,530,191,85,55,59,49,11,519,0
84.53,23,523,524,187,83,55,59,49,10,516,0
84.74,23,522,517,183,82,54,58,48,10,512,0
84.95,23,522,509,179,81,54,58,48,10,508,0
85.18,23,521,501,174,79,53,58,48,10,504,0
85.41,23,521,492,169,77,52,57,47,10,499,0
85.64,22,520,482,163,75,52,57,47,10,494,0
85.85,22,519,472,157,73,51,56,47,9,489,0
86.04,22,519,463,151,71,50,56,46,9,484,0
86.23,22,518,452,145,69,49,55,47,9,479,0
86.42,21,518,443,139,67,49,55,45,9,475,0
86.62,21,518,432,133,65,48,54,46,9,469,0
86.85,21,517,422,127,63,47,54,46,8,464,0
87.06,21,517,411,121,61,46,53,45,8,458,0
87.3,20,515,399,114,59,45,52,44,8,451,0
87.5,20,515,389,108,57,44,52,43,8,445,0
87.69,20,515,380,102,55,44,51,44,7,440,0
87.89,20,514,371,97,53,43,51,43,7,435,0
88.12,19,513,363,92,52,42,51,42,7,431,0
88.34,19,513,355,88,50,42,50,43,7,427,0
88.58,19,513,349,85,49,41,50,43,7,423,0
88.8,19,514,347,82,48,41,50,42,7,426,0
89.0,19,514,342,80,47,41,50,42,7,423,0
89.19,19,513,339,78,47,41,49,42,6,421,0
89.39,19,512,337,77,46,40,49,42,6,419,0
89.6,19,512,335,75,46,40,49,42,6,418,0
89.81,19,512,333,75,45,40,49,42,6,417,0
90.01,19,511,332,74,45,40,49,42,6,416,0
90.23,19,511,330,73,45,40,49,42,6,415,0
90.47,19,511,329,72,44,40,49,42,6,415,0
90.68,19,510,328,71,44,39,49,41,6,414,0
90.89,19,510,326,71,44,39,48,41,6,413,0
91.09,18,510,325,70,44,39,48,41,6,413,0
91.28,18,509,324,69,43,39,48,41,6,413,0
91.48,18,509,323,68,43,39,48,41,6,412,0
91.7,18,508,321,68,43,39,48,41,6,411,0
91.91,18,508,320,67,42,39,48,41,6,410,0
92.12,18,508,318,66,42,39,48,41,6,410,0
92.32,18,507,317,65,42,38,48,41,6,409,0
92.54,18,507,316,65,42,38,48,41,6,409,0
92.78,18,507,315,64,41,38,48,41,6,408,0
93.0,18,507,313,63,41,38,47,41,6,407,0
93.21,18,507,312,62,41,38,47,40,6,406,0
93.4,18,507,310,62,41,38,47,40,6,406,0
93.59,18,506,309,61,40,38,47,40,6,405,0
93.78,18,505,307,60,40,38,47,40,6,405,0
94.0,18,505,306,60,40,37,47,40,6,404,0
94.22,18,505,305,59,39,37,47,40,6,403,0
94.45,18,505,304,58,39,37,47,40,6,403,0
