Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
76.87,31,531,782,344,136,76,76,60,17,657,0
77.06,31,531,777,341,135,75,76,60,17,655,0
77.25,30,532,772,338,134,75,76,60,17,652,0
77.44,30,532,768,335,133,76,76,60,17,650,0
77.63,30,532,763,332,132,74,76,60,17,647,0
77.82,30,532,759,330,131,74,75,59,16,644,0
78.03,30,531,754,327,130,74,75,59,16,642,0
78.24,30,531,749,324,129,73,75,59,16,639,0
78.46,30,531,744,321,128,73,75,59,16,636,0
78.67,30,531,740,319,127,73,74,59,16,633,0
78.86,30,530,735,316,127,72,74,58,16,630,0
79.07,29,531,731,313,126,72,74,58,16,628,0
79.31,29,531,726,311,125,73,74,58,16,625,0
79.54,29,530,721,308,124,71,73,58,16,621,0
79.76,29,530,716,305,123,71,73,58,16,619,0
79.97,29,530,711,302,122,71,73,58,15,616,0
80.16,29,530,706,299,121,70,73,57,15,613,0
80.34,29,529,700,295,120,71,72,57,15,609,0
80.55,28,528,692,291,118,70,72,57,15,605,0
80.77,28,528,685,288,117,69,72,56,15,601,0
80.99,28,528,677,283,115,69,71,56,15,596,0
81.19,28,527,668,278,114,68,71,56,14,592,0
81.39,28,527,660,273,112,68,70,55,14,587,0
81.59,27,526,651,267,110,67,70,55,14,582,0
81.8,27,526,643,262,109,66,70,55,14,577,0
82.01,27,526,634,257,107,66,69,54,14,572,0
82.23,27,525,624,251,105,65,69,54,13,566,0
82.46,27,525,615,246,103,64,68,54,13,561,0
82.67,26,524,606,241,101,64,68,53,13,556,0
82.89,26,523,598,236,100,63,67,53,13,551,0
83.07,26,523,591,231,98,62,67,53,13,546,0
83.27,26,522,583,227,98,62,67,52,13,542,0
83.46,26,523,576,223,96,61,66,52,12,538,0
83.67,25,522,570,219,95,61,66,52,12,534,0
83.88,25,522,563,215,94,60,66,51,12,530,0
84.1,25,521,557,211,93,60,65,51,12,526,0
84.31,25,520,550,207,91,59,65,51,12,522,0
84.51,25,520,543,203,90,59,65,51,12,518,0
84.7,25,519,535,198,88,58,64,50,11,514,0
84.9,24,519,526,193,86,58,64,50,11,509,0
85.13,24,518,517,187,85,57,63,49,11,503,0
85.38,24,517,506,181,82,56,63,49,11,497,0
85.6,24,517,494,174,80,55,62,49,11,491,0
85.81,23,516,483,167,78,54,62,48,10,484,0
86.01,23,516,472,160,76,53,61,48,10,478,0
86.19,23,515,460,153,73,53,60,47,10,471,0
86.38,23,514,449,146,71,52,60,47,9,464,0
86.57,22,514,437,139,69,51,59,46,9,458,0
86.8,22,513,425,132,66,50,59,46,9,451,0
87.06,22,512,412,124,64,49,58,45,9,442,0
87.28,21,512,401,117,61,48,57,45,8,435,0
87.47,21,511,390,111,59,47,57,44,8,429,0
87.67,21,510,380,105,57,46,56,45,8,423,0
87.88,21,510,371,99,55,46,56,43,8,419,0
88.1,20,509,362,94,54,45,56,44,8,413,0
88.34,20,509,355,90,52,45,55,44,7,409,0
88.55,20,509,350,87,51,44,55,44,7,406,0
88.76,20,508,345,84,50,44,55,43,7,403,0
88.98,20,507,341,82,49,44,54,43,7,401,0
89.19,20,508,339,81,49,44,54,42,7,399,0
89.38,20,508,337,80,48,43,54,43,7,397,0
89.58,20,507,336,79,48,43,54,43,7,396,0
89.77,20,507,334,78,48,43,54,43,7,395,0
89.98,20,507,332,77,48,43,54,43,7,393,0
90.18,20,506,331,77,47,43,54,43,7,393,0
90.39,19,506,330,76,47,43,54,43,7,391,0
90.63,19,506,328,75,47,43,54,43,7,390,0
90.85,19,505,327,74,46,42,53,42,7,389,0
91.07,19,506,326,74,46,42,53,42,7,388,0
91.27,19,505,324,73,46,42,53,42,7,387,0
91.48,19,504,323,72,46,42,53,42,7,387,0
91.67,19,504,321,71,45,42,53,42,7,385,0
91.88,19,504,320,71,45,42,53,42,7,385,0
92.08,19,504,319,70,45,42,53,42,7,384,0
92.29,19,503,317,69,45,42,53,42,7,384,0
92.52,19,503,316,68,44,42,53,42,6,383,0
92.75,19,503,315,68,44,41,53,42,6,382,0
92.99,19,503,313,67,44,41,53,42,6,381,0
93.19,19,502,311,66,43,41,52,42,6,380,0
93.39,19,502,310,65,43,41,52,42,6,379,0
93.57,19,501,309,65,43,41,52,41,6,378,0
93.78,19,500,307,64,43,41,52,41,6,377,0
93.97,19,501,306,63,42,41,52,41,6,376,0
94.19,19,500,305,63,42,41,52,41,6,375,0
94.41,19,500,304,62,42,40,52,41,6,374,0
