Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
76.87,27,312,671,351,140,73,62,50,21,825,0
77.03,27,312,666,348,139,73,62,50,21,822,0
77.22,27,312,660,345,138,72,61,50,20,819,0
77.42,27,312,655,342,137,72,61,50,20,816,0
77.64,27,312,650,339,136,73,61,49,20,813,0
77.87,27,312,645,336,135,72,61,49,20,810,0
78.08,27,312,640,333,134,72,60,49,20,807,0
78.29,27,311,635,330,133,71,60,49,20,804,0
78.5,27,311,630,327,132,71,60,48,20,801,0
78.7,27,310,625,326,131,71,60,48,20,797,0
78.89,26,310,621,322,130,70,60,48,19,794,0
79.1,26,311,616,320,129,70,59,48,19,791,0
79.31,26,310,611,317,128,70,59,48,19,788,0
79.51,26,310,606,315,127,68,59,47,19,785,0
79.73,26,310,601,312,126,69,59,47,19,781,0
79.95,26,310,596,309,125,69,58,47,19,777,0
80.16,26,309,592,306,124,68,58,47,19,775,0
80.37,26,309,586,302,123,68,58,47,19,771,0
80.57,26,309,580,299,122,68,58,46,18,767,0
80.78,25,308,573,295,120,67,57,46,18,763,0
80.99,25,308,566,291,119,67,57,46,18,758,0
81.2,25,308,558,286,118,66,57,45,18,753,0
81.41,25,307,550,282,116,66,56,45,18,748,0
81.62,25,307,542,277,115,65,56,45,18,742,0
81.83,25,306,533,272,113,64,56,44,17,737,0
82.04,24,306,525,267,112,64,55,44,17,732,0
82.24,24,306,517,263,110,63,55,44,17,726,0
82.47,24,305,509,258,108,63,54,43,17,721,0
82.69,24,305,500,253,107,62,54,43,17,714,0
82.89,24,304,492,248,105,61,54,43,16,710,0
83.08,24,304,483,243,103,61,53,42,16,705,0
83.28,23,303,476,239,102,60,53,42,16,700,0
83.48,23,303,468,235,100,60,53,42,16,695,0
83.7,23,302,461,230,99,59,52,41,16,690,0
83.92,23,302,454,227,97,59,52,41,16,686,0
84.13,23,302,447,223,96,58,52,41,15,681,0
84.33,23,301,440,219,94,58,51,40,15,677,0
84.54,23,301,432,214,93,57,51,40,15,672,0
84.75,22,300,424,209,91,57,51,40,15,667,0
84.97,22,300,416,204,89,56,50,39,15,661,0
85.17,22,300,406,198,87,55,50,39,14,655,0
85.39,22,299,395,192,85,55,49,38,14,648,0
85.62,22,298,384,185,83,54,49,38,14,640,0
85.85,21,297,372,178,80,53,48,37,14,633,0
86.05,21,297,359,171,78,52,47,37,13,625,0
86.22,21,296,346,163,75,51,47,36,13,617,0
86.41,21,295,334,156,72,50,46,36,13,609,0
86.61,20,295,321,148,69,49,46,35,12,601,0
86.92,20,292,303,137,66,48,45,34,12,588,0
87.15,20,292,290,129,63,47,44,34,12,580,0
87.36,19,291,277,121,60,46,44,33,11,572,0
87.57,19,291,264,114,58,45,43,33,11,564,0
87.77,19,290,252,107,55,44,42,32,11,557,0
87.96,19,289,240,100,53,43,42,32,11,549,0
88.18,18,289,229,94,51,43,41,31,10,542,0
88.39,18,288,219,88,49,42,41,31,10,536,0
88.61,18,287,211,83,47,41,41,31,10,531,0
88.83,18,287,204,79,45,41,40,30,10,527,0
89.05,18,287,199,77,44,41,40,30,10,523,0
89.26,18,287,196,75,44,40,40,30,10,521,0
89.46,18,287,193,74,43,40,40,30,9,519,0
89.66,18,287,191,73,43,40,40,30,9,517,0
89.85,17,286,189,72,42,40,39,30,9,516,0
90.09,17,286,188,71,42,40,39,30,9,515,0
90.31,17,286,187,70,42,40,39,30,9,514,0
90.54,17,286,186,69,41,39,39,29,9,514,0
90.75,17,286,185,69,41,39,39,29,9,513,0
90.96,17,286,184,68,41,39,39,29,9,512,0
91.17,17,286,182,67,41,39,39,29,9,511,0
91.36,17,286,181,67,41,39,39,29,9,511,0
91.55,17,285,180,66,40,39,39,29,9,509,0
91.76,17,286,179,65,40,39,39,29,9,507,0
91.97,17,286,178,65,40,39,39,29,9,506,0
92.18,17,285,177,64,39,39,39,29,9,505,0
92.41,17,285,175,63,39,39,39,29,9,505,0
92.63,17,285,174,62,39,38,38,29,9,503,0
92.83,17,285,173,62,39,38,38,29,9,502,0
93.05,17,285,172,61,38,38,38,29,9,502,0
93.26,17,285,171,60,38,38,38,29,9,500,0
93.47,17,284,170,60,38,38,38,29,9,500,0
93.68,17,284,168,59,38,38,38,29,9,498,0
93.89,17,284,167,58,37,38,38,29,9,498,0
94.11,17,284,166,57,37,38,38,28,9,497,0
94.32,17,284,165,57,37,38,38,28,9,496,0
