Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
76.87,29,310,714,363,142,76,62,52,21,820,0
77.05,29,309,710,361,141,75,62,52,21,817,0
77.23,29,309,705,358,140,75,62,52,21,813,0
77.43,29,308,699,355,139,75,61,52,21,810,0
77.63,29,308,694,352,138,74,61,51,20,807,0
77.85,29,308,688,349,137,74,61,51,20,803,0
78.08,29,307,683,346,136,74,61,51,20,799,0
78.3,29,307,677,343,135,73,60,51,20,796,0
78.51,28,307,672,339,134,73,60,50,20,792,0
78.71,28,306,666,336,133,72,60,50,20,788,0
78.91,28,306,661,333,132,73,60,50,20,785,0
79.11,28,306,655,330,131,73,59,50,20,781,0
79.31,28,306,650,327,129,71,59,49,19,778,0
79.52,28,305,644,325,128,72,59,49,19,774,0
79.73,28,305,638,321,127,71,59,49,19,770,0
79.94,28,304,631,317,126,71,58,49,19,765,0
80.16,27,304,623,313,124,69,58,48,19,760,0
80.37,27,304,614,308,123,70,58,48,19,755,0
80.58,27,303,605,303,121,69,57,47,18,749,0
80.79,27,302,594,296,119,68,57,47,18,742,0
81.0,27,302,582,290,117,67,56,47,18,734,0
81.21,26,301,570,282,115,67,56,46,18,726,0
81.42,26,300,557,275,112,66,55,45,17,718,0
81.64,26,299,543,267,110,65,55,45,17,709,0
81.86,25,298,530,260,107,64,54,44,17,701,0
82.07,25,298,517,252,104,63,53,44,16,693,0
82.28,25,297,503,245,102,62,53,43,16,684,0
82.49,25,296,490,238,99,61,52,43,16,676,0
82.7,24,296,477,231,97,60,52,42,15,668,0
82.9,24,295,465,224,94,59,51,42,15,660,0
83.09,24,294,454,217,92,59,51,41,15,652,0
83.3,24,293,443,212,90,58,50,41,15,646,0
83.51,23,293,434,207,88,57,50,40,14,640,0
83.72,23,292,426,202,87,57,49,40,14,635,0
83.94,23,292,419,198,85,56,49,40,14,630,0
84.16,23,291,411,193,84,56,49,39,14,625,0
84.37,23,291,403,189,82,55,48,39,14,620,0
84.56,23,290,395,184,81,54,48,39,14,616,0
84.76,22,290,386,179,79,54,48,38,13,610,0
84.96,22,289,377,174,77,53,47,38,13,605,0
85.17,22,288,366,167,75,52,47,37,13,598,0
85.39,22,288,354,161,72,51,46,37,13,590,0
85.63,22,287,342,153,70,51,46,36,12,582,0
85.86,21,286,328,146,67,50,45,36,12,574,0
86.07,21,285,315,138,64,49,44,35,12,565,0
86.25,21,284,302,130,62,48,44,35,11,557,0
86.44,20,284,288,123,59,47,43,34,11,548,0
86.64,20,283,275,115,56,46,43,34,11,539,0
86.84,20,282,261,107,54,45,42,33,11,531,0
87.06,20,282,248,99,51,44,41,32,10,522,0
87.28,19,281,235,92,48,43,41,32,10,513,0
87.49,19,280,223,85,46,42,40,31,10,505,0
87.69,19,279,211,78,44,41,40,31,9,497,0
87.9,18,278,200,73,41,40,39,30,9,490,0
88.1,18,278,190,67,40,40,39,30,9,483,0
88.35,18,277,181,62,38,39,38,30,9,477,0
88.56,18,276,174,58,36,39,38,29,8,472,0
88.79,18,276,170,56,35,38,38,29,8,469,0
89.01,18,276,166,54,35,38,38,29,8,466,0
89.22,18,275,164,52,34,38,38,29,8,465,0
89.43,18,275,162,51,34,38,38,29,8,463,0
89.63,18,275,161,50,34,37,38,29,8,462,0
89.84,18,275,160,50,33,37,37,29,8,462,0
90.04,18,275,159,49,33,37,37,29,8,461,0
90.26,18,275,159,49,33,37,37,29,8,460,0
90.46,18,275,158,49,33,37,37,29,8,459,0
90.68,18,274,158,48,33,37,37,29,8,459,0
90.9,18,274,157,48,33,37,37,28,8,458,0
91.12,18,274,157,48,33,37,37,28,8,458,0
91.33,18,274,156,48,33,37,37,28,8,457,0
91.53,18,273,155,47,32,37,37,28,8,457,0
91.72,17,273,155,47,32,37,37,28,8,456,0
91.92,17,273,155,47,32,37,37,28,8,456,0
92.13,17,273,154,47,32,37,37,28,8,455,0
92.32,17,273,154,46,32,37,37,28,8,455,0
92.55,17,273,154,46,32,37,37,28,8,454,0
92.8,17,273,153,46,32,37,37,28,8,454,0
93.04,17,273,152,45,32,36,37,28,8,453,0
93.24,17,273,152,45,32,36,37,28,8,453,0
93.45,17,273,152,45,31,36,37,28,8,452,0
93.63,17,272,151,45,31,36,37,28,8,452,0
93.8,17,273,151,44,31,36,37,28,8,452,0
94.0,17,272,151,44,31,36,37,28,8,451,0
94.21,17,272,150,44,31,36,37,28,8,451,0
94.44,17,271,150,44,31,36,36,28,8,450,0
