Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
76.87,24,276,701,347,141,69,62,46,17,553,0
77.06,24,276,695,344,140,68,62,46,17,550,0
77.25,24,276,690,341,139,68,62,46,17,548,0
77.45,24,276,685,338,138,68,61,46,17,545,0
77.66,24,276,680,335,137,67,61,45,17,543,0
77.87,24,276,675,332,136,67,61,45,17,540,0
78.08,24,276,670,329,135,67,61,45,17,537,0
78.27,23,276,665,326,134,66,60,45,17,534,0
78.47,23,275,660,323,133,66,60,45,16,531,0
78.67,23,275,656,320,132,65,60,45,16,529,0
78.89,23,275,651,317,131,65,60,44,16,526,0
79.12,23,275,645,314,130,65,60,44,16,523,0
79.32,23,275,640,312,129,64,59,44,16,520,0
79.54,23,274,637,310,128,64,59,44,16,519,0
79.76,23,274,632,306,127,64,59,44,16,516,0
79.97,23,274,626,303,126,63,59,43,16,513,0
80.18,22,273,621,300,125,63,58,43,16,510,0
80.36,22,273,615,297,123,62,58,43,15,506,0
80.53,22,273,608,293,122,62,58,43,15,503,0
80.76,22,272,600,288,120,61,57,42,15,498,0
80.99,22,272,592,283,119,61,57,42,15,493,0
81.19,22,272,583,278,117,60,57,42,15,488,0
81.39,21,271,574,272,115,59,56,41,15,483,0
81.64,21,271,564,266,113,59,56,41,14,478,0
81.85,21,270,555,261,111,58,55,41,14,473,0
82.05,21,270,546,256,109,57,55,40,14,468,0
82.27,20,269,537,251,107,57,54,40,14,463,0
82.52,20,269,529,245,105,56,54,40,14,458,0
82.73,20,269,522,241,104,55,54,40,13,453,0
82.9,20,268,514,236,102,55,53,39,13,449,0
83.08,20,268,507,232,101,54,53,39,13,445,0
83.28,20,267,500,228,99,54,53,39,13,440,0
83.47,20,267,493,224,98,53,52,39,13,436,0
83.71,19,267,486,220,96,53,52,38,13,432,0
83.94,19,266,478,215,94,52,51,38,12,428,0
84.16,19,266,470,210,93,52,51,38,12,423,0
84.35,19,265,462,205,91,51,51,37,12,418,0
84.55,19,264,453,200,89,50,50,37,12,413,0
84.76,18,263,443,194,87,50,50,37,11,407,0
84.97,18,263,432,187,84,49,49,36,11,401,0
85.21,18,262,420,180,82,48,49,36,11,395,0
85.45,18,261,407,172,79,47,48,35,11,388,0
85.67,17,260,395,165,76,46,47,35,10,381,0
85.84,17,260,382,157,74,45,47,34,10,374,0
86.03,17,258,369,149,71,44,46,34,10,366,0
86.22,16,258,355,141,68,43,46,33,10,358,0
86.42,16,257,342,133,65,42,45,33,9,350,0
86.64,16,256,328,125,62,41,44,32,9,344,0
86.87,15,256,315,117,59,40,44,32,9,336,0
87.08,15,255,303,109,57,39,43,31,8,329,0
87.29,15,254,291,103,54,38,43,31,8,322,0
87.49,15,253,282,96,52,37,42,31,8,316,0
87.69,14,252,273,91,50,37,42,30,8,310,0
87.9,14,252,265,86,48,36,41,30,8,305,0
88.08,14,252,258,82,47,36,41,30,7,301,0
88.36,14,251,251,78,45,35,40,29,7,296,0
88.63,14,250,246,75,45,35,40,29,7,293,0
88.84,14,250,243,73,44,35,40,29,7,291,0
89.03,14,250,241,73,43,34,40,29,7,290,0
89.2,14,250,239,71,43,34,40,29,7,289,0
89.4,14,250,238,70,43,34,40,29,7,288,0
89.64,14,249,236,69,42,34,40,29,7,287,0
89.85,14,249,235,69,42,34,40,29,7,286,0
90.07,14,249,234,69,42,34,40,29,7,285,0
90.27,13,249,233,68,42,34,40,29,7,284,0
90.49,13,248,231,68,41,34,39,29,7,284,0
90.71,13,248,230,67,41,33,39,29,7,283,0
90.92,13,248,229,66,41,33,39,29,7,282,0
91.11,13,248,228,66,40,33,39,29,7,281,0
91.31,13,248,227,65,40,33,39,29,7,280,0
91.52,13,248,226,64,40,33,39,28,7,280,0
91.73,13,247,224,63,40,33,39,28,6,279,0
91.95,13,248,223,63,39,33,39,28,6,278,0
92.16,13,248,222,62,39,33,39,28,6,277,0
92.38,13,248,221,61,39,33,39,28,6,276,0
92.61,13,247,219,60,38,32,39,28,6,275,0
92.81,13,247,218,60,38,32,39,28,6,275,0
93.02,13,247,217,59,39,32,39,28,6,274,0
93.22,13,247,216,58,39,32,38,28,6,273,0
93.43,13,246,215,57,37,32,38,28,6,273,0
93.62,13,246,214,57,38,32,38,28,6,272,0
93.83,13,246,213,56,38,32,38,28,6,271,0
94.02,13,246,212,56,38,32,38,28,6,271,0
94.23,13,246,211,55,36,32,38,28,6,270,0
94.45,13,245,210,55,37,32,38,28,6,270,0
