Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
55.13,24,230,555,309,126,71,58,46,20,852,0
55.35,23,228,527,292,120,70,57,45,19,813,0
55.35,23,232,524,289,120,69,56,44,19,802,0
55.31,23,230,530,291,120,70,56,45,19,797,0
55.33,23,231,534,292,121,69,56,45,19,792,0
55.36,23,231,533,291,121,70,56,45,19,787,0
55.28,23,233,534,291,121,69,56,45,19,783,0
55.28,23,233,530,289,120,69,56,45,19,780,0
55.28,23,233,527,287,120,69,55,44,19,774,0
55.3,23,236,528,286,119,69,55,44,19,770,0
55.26,23,237,521,282,118,69,55,44,18,765,0
55.31,23,236,528,285,119,69,55,44,18,766,0
55.3,23,237,521,281,118,69,55,44,18,761,0
55.29,23,238,522,281,118,68,55,44,18,759,0
55.3,23,239,520,279,117,69,55,44,18,755,0
55.31,23,239,518,277,117,68,55,44,18,751,0
55.31,23,240,516,276,116,68,55,44,18,746,0
55.26,23,242,515,275,117,68,55,44,18,744,0
55.29,23,242,514,274,117,68,54,44,18,740,0
55.29,23,242,511,272,116,68,54,44,18,737,0
55.3,23,243,511,271,115,68,54,44,18,732,0
55.31,23,244,507,269,115,67,54,44,17,729,0
55.29,23,244,506,269,115,67,54,44,17,727,0
55.28,23,244,505,268,113,67,54,44,17,724,0
55.28,23,244,502,266,114,67,54,44,17,721,0
55.3,23,244,502,265,114,67,54,44,17,719,0
55.3,23,245,499,263,113,67,54,43,17,716,0
55.31,23,244,501,264,113,67,54,44,17,714,0
55.3,23,243,498,262,113,67,53,43,17,711,0
55.28,23,243,499,262,113,67,53,43,17,710,0
55.29,23,244,501,263,113,67,53,44,17,710,0
55.25,23,245,505,265,113,67,54,44,17,712,0
55.25,23,245,515,270,115,68,54,44,17,716,0
55.29,24,246,531,279,118,69,54,45,18,725,0
55.28,25,250,553,290,121,70,55,46,18,741,0
55.31,25,252,587,309,127,71,57,47,19,760,0
55.27,26,254,622,328,134,74,58,49,20,780,0
55.3,27,259,682,358,144,77,60,51,21,829,0
55.29,28,263,732,385,154,81,62,53,22,856,0
55.31,30,268,791,417,164,84,64,56,24,889,0
55.33,31,275,849,449,175,88,67,58,25,927,0
55.3,32,276,917,486,187,92,69,61,27,964,0
55.26,34,280,984,523,200,97,72,64,28,1004,0
55.3,35,285,1053,560,212,101,75,66,30,1045,0
55.27,37,289,1124,599,225,106,77,69,31,1087,0
