Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
55.22,22,268,624,328,139,70,63,46,18,579,0
55.31,21,264,585,301,129,67,60,44,17,543,0
55.3,21,263,589,301,130,67,60,44,17,543,0
55.3,21,268,588,299,129,66,60,44,17,537,0
55.36,21,266,586,296,129,66,60,44,16,530,0
55.34,21,265,582,294,127,66,60,44,16,525,0
55.31,21,265,580,292,126,65,59,44,16,521,0
55.32,21,265,582,293,126,65,60,44,16,519,0
55.34,21,267,587,294,128,65,60,44,17,534,0
55.33,21,267,584,291,126,65,59,44,16,528,0
55.34,21,265,579,291,125,65,59,44,16,523,0
55.34,21,264,578,289,125,65,59,43,16,520,0
55.31,21,264,576,289,125,65,59,43,16,517,0
55.34,21,265,575,288,124,64,59,43,16,515,0
55.33,21,266,570,284,123,64,59,43,16,514,0
55.31,21,265,571,285,123,64,59,43,16,512,0
55.33,21,265,566,283,122,64,59,43,16,509,0
55.35,21,271,578,285,124,65,59,44,16,511,0
55.29,21,271,573,282,123,64,59,44,16,509,0
55.29,21,270,573,282,123,64,59,44,16,513,0
55.27,22,271,575,282,123,64,59,44,16,513,0
55.29,21,271,568,278,121,64,59,43,16,507,0
55.26,21,272,566,276,121,64,59,43,15,504,0
55.29,21,274,570,278,122,64,59,43,16,511,0
55.23,21,274,566,277,121,64,59,43,16,507,0
55.23,21,274,561,274,120,63,59,43,15,504,0
55.35,21,274,563,275,120,63,59,43,15,503,0
55.31,21,273,563,274,120,63,59,43,15,502,0
55.38,21,274,567,276,121,63,59,43,15,503,0
55.3,22,273,571,278,121,64,59,43,16,506,0
55.34,22,274,580,284,123,64,60,44,16,509,0
55.31,22,274,591,290,125,65,60,44,16,517,0
55.33,23,276,615,305,130,67,61,45,17,532,0
55.3,23,277,646,322,136,69,63,46,17,547,0
55.33,24,280,686,346,144,72,64,48,18,569,0
55.31,25,283,735,375,154,75,67,49,19,595,0
55.28,26,285,789,407,165,79,69,51,20,627,0
55.35,28,290,859,444,179,83,72,54,22,669,0
55.2,29,293,917,476,189,87,74,55,23,704,0
55.31,31,296,978,514,202,91,77,58,24,735,0
55.32,32,303,1054,555,217,97,80,61,26,782,0
55.32,34,305,1119,593,230,101,83,63,28,816,0
55.31,35,308,1183,630,242,105,86,65,29,849,0
55.21,37,312,1247,669,255,110,89,67,29,878,0
55.33,38,317,1315,707,268,114,92,69,31,916,0
