Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
76.86,67,1234,1677,446,196,133,225,140,30,2819,0
77.05,66,1232,1672,443,195,133,225,139,30,2827,0
77.25,66,1232,1665,440,194,132,225,139,30,2819,0
77.44,66,1231,1659,436,193,132,224,139,30,2824,0
77.66,66,1229,1652,432,192,132,224,138,30,2815,0
77.88,66,1229,1645,429,190,130,224,138,30,2801,0
78.07,66,1228,1639,425,189,131,223,138,29,2810,0
78.28,66,1227,1632,422,188,131,223,138,29,2804,0
78.5,65,1225,1625,418,186,130,223,137,29,2802,0
78.71,65,1222,1618,415,185,130,222,137,29,2795,0
78.9,65,1223,1613,411,184,129,222,137,29,2792,0
79.11,65,1223,1606,408,183,129,222,137,29,2786,0
79.31,65,1223,1602,404,182,128,221,137,29,2785,0
79.54,65,1222,1596,401,180,128,221,136,29,2781,0
79.78,65,1222,1590,397,179,127,221,136,29,2785,0
79.98,65,1221,1584,394,178,127,220,136,28,2777,0
80.19,64,1220,1578,391,177,127,220,136,28,2770,0
80.39,64,1220,1572,388,176,126,220,135,28,2763,0
80.6,64,1219,1567,384,175,126,220,135,28,2762,0
80.82,64,1220,1561,381,174,125,219,135,28,2758,0
81.02,64,1218,1556,378,172,125,219,135,28,2757,0
81.21,64,1218,1550,375,171,125,219,135,28,2752,0
81.42,64,1215,1544,371,170,124,218,134,28,2745,0
81.66,64,1216,1537,368,169,124,218,134,28,2738,0
81.87,63,1215,1532,364,168,123,218,134,27,2738,0
82.06,63,1214,1527,361,167,123,217,134,27,2735,0
82.29,63,1214,1521,358,166,122,217,133,27,2726,0
82.51,63,1213,1515,354,164,122,217,133,27,2710,0
82.73,63,1214,1510,351,163,121,217,133,27,2719,0
82.92,63,1213,1504,348,162,121,216,133,27,2714,0
83.1,63,1213,1499,344,161,121,216,133,27,2709,0
83.3,63,1210,1491,341,160,120,216,132,27,2707,0
83.51,62,1209,1484,338,158,120,215,132,27,2697,0
83.75,62,1212,1478,333,157,119,215,132,26,2692,0
83.97,62,1211,1470,329,155,118,215,132,26,2690,0
84.18,62,1210,1461,323,153,118,214,131,26,2687,0
84.4,62,1210,1452,317,151,117,214,131,26,2681,0
84.6,62,1209,1442,311,149,116,214,131,26,2673,0
84.79,61,1207,1430,304,147,115,213,130,26,2670,0
85.01,61,1207,1417,296,144,114,212,130,25,2655,0
85.25,61,1206,1403,287,141,113,212,129,25,2637,0
85.47,60,1206,1388,278,138,112,211,129,25,2642,0
85.67,60,1203,1371,269,134,111,210,128,25,2633,0
85.89,60,1203,1355,258,131,110,209,127,24,2615,0
86.08,59,1203,1336,247,127,108,209,127,24,2616,0
86.26,59,1202,1316,235,123,107,208,126,23,2607,0
86.47,59,1199,1294,222,118,105,206,125,23,2591,0
86.68,58,1198,1273,209,114,103,205,124,23,2577,0
86.89,58,1196,1250,195,109,102,204,124,22,2568,0
87.11,57,1195,1226,181,104,100,203,123,22,2552,0
87.32,57,1194,1204,168,100,98,202,122,21,2541,0
87.52,56,1194,1183,155,95,97,201,122,21,2529,0
87.76,56,1193,1159,141,90,95,200,121,21,2515,0
87.98,55,1191,1139,130,86,94,199,120,20,2505,0
88.23,55,1191,1121,120,83,92,199,119,20,2498,0
88.45,55,1191,1105,111,79,91,198,119,19,2479,0
88.63,54,1192,1092,103,76,90,197,119,19,2477,0
88.81,54,1190,1079,97,74,90,197,118,19,2473,0
89.04,54,1189,1069,93,72,89,196,118,19,2459,0
89.26,54,1188,1061,89,71,88,196,117,19,2456,0
89.49,54,1188,1057,86,69,88,196,117,18,2456,0
89.69,54,1188,1054,83,68,88,195,117,18,2454,0
89.89,54,1188,1049,82,68,87,195,117,18,2452,0
90.09,53,1186,1048,81,67,87,195,117,18,2440,0
90.3,53,1189,1048,80,67,87,195,117,18,2452,0
90.52,54,1188,1047,79,67,87,195,117,18,2451,0
90.76,53,1186,1045,79,67,87,195,117,18,2451,0
90.97,53,1185,1045,79,67,87,195,117,18,2449,0
91.16,53,1186,1045,78,66,87,195,117,18,2443,0
91.35,53,1187,1045,78,66,87,195,117,18,2447,0
91.54,53,1187,1045,78,66,87,195,117,18,2446,0
91.74,53,1187,1045,77,66,87,195,117,18,2451,0
91.95,54,1187,1045,77,66,87,195,117,18,2446,0
92.19,53,1187,1045,77,66,87,195,117,18,2445,0
92.44,53,1184,1044,76,66,86,195,116,18,2449,0
92.68,53,1185,1041,76,66,86,195,117,18,2446,0
92.89,53,1187,1043,76,66,86,195,117,18,2450,0
93.09,53,1186,1043,76,65,86,195,117,18,2457,0
93.26,53,1186,1044,76,65,86,195,116,18,2457,0
93.44,53,1186,1042,75,65,86,195,117,18,2456,0
93.65,53,1185,1044,75,65,86,195,116,18,2462,0
93.88,53,1184,1042,75,65,86,195,116,18,2455,0
94.13,54,1186,1043,75,65,86,195,116,18,2463,0
94.35,54,1187,1042,74,65,86,195,117,18,2465,0
