Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
76.87,33,606,839,358,140,81,82,66,18,686,0
77.07,33,607,835,355,139,81,82,66,18,684,0
77.26,33,607,831,352,138,81,82,66,18,681,0
77.45,33,608,827,349,137,80,81,66,17,679,0
77.64,33,608,822,347,136,80,81,66,17,676,0
77.83,33,608,817,344,136,80,81,65,17,674,0
78.02,33,608,813,341,135,79,81,65,17,671,0
78.25,32,608,808,338,134,79,81,65,17,668,0
78.47,32,608,804,335,133,78,80,65,17,665,0
78.7,32,607,798,332,132,78,80,65,17,662,0
78.91,32,607,793,329,131,78,80,64,17,659,0
79.11,32,607,789,326,130,77,80,64,17,656,0
79.32,32,608,784,324,129,77,79,64,16,653,0
79.52,32,608,780,321,128,77,79,64,16,651,0
79.73,32,607,775,318,127,76,79,64,16,648,0
79.93,32,606,770,315,126,76,79,63,16,645,0
80.13,31,607,766,312,125,76,78,63,16,641,0
80.35,31,607,761,310,124,75,78,63,16,639,0
80.59,31,606,756,306,123,75,78,63,16,636,0
80.81,31,606,750,303,122,74,78,63,16,632,0
81.02,31,606,744,300,121,75,77,62,16,629,0
81.22,31,606,739,297,120,74,77,62,15,626,0
81.42,31,606,733,293,119,73,77,62,15,623,0
81.6,30,605,728,291,118,73,77,62,15,620,0
81.81,30,605,722,287,117,73,76,62,15,616,0
82.03,30,605,716,284,116,73,76,61,15,613,0
82.25,30,605,710,280,115,72,76,61,15,609,0
82.46,30,605,704,277,113,72,75,61,15,606,0
82.68,30,605,698,273,112,72,75,61,15,603,0
82.87,30,604,692,270,111,71,75,60,14,599,0
83.07,29,603,685,266,110,71,75,60,14,596,0
83.26,29,603,680,263,109,70,74,60,14,592,0
83.47,29,603,673,259,108,70,74,60,14,589,0
83.68,29,602,666,255,106,69,74,59,14,586,0
83.91,29,602,659,251,105,69,73,59,14,581,0
84.13,29,602,652,246,103,68,73,59,14,577,0
84.33,28,602,644,241,102,67,73,58,13,572,0
84.54,28,602,635,236,100,67,72,58,13,568,0
84.75,28,601,625,230,99,66,72,58,13,562,0
84.95,28,601,615,224,97,65,71,57,13,556,0
85.17,27,600,603,217,95,64,70,57,12,550,0
85.4,27,599,591,209,92,63,70,56,12,544,0
85.62,27,598,578,201,90,62,69,55,12,536,0
85.83,27,598,565,193,87,61,69,55,12,529,0
86.03,26,598,551,184,84,60,68,55,11,521,0
86.22,26,598,537,176,82,59,67,54,11,513,0
86.42,26,597,523,168,79,58,67,53,11,505,0
86.62,25,596,508,159,76,57,66,53,10,496,0
86.82,25,596,494,151,73,56,65,52,10,488,0
87.07,24,595,479,142,70,55,64,52,10,479,0
87.29,24,594,465,134,68,54,64,51,9,471,0
87.49,24,593,452,126,65,53,63,50,9,463,0
87.7,24,593,441,118,63,52,62,50,9,456,0
87.89,23,593,430,112,60,51,62,50,9,450,0
88.09,23,592,420,106,59,50,62,49,8,444,0
88.32,23,591,412,102,57,50,61,49,8,439,0
88.54,23,591,405,98,56,49,61,49,8,435,0
88.77,22,591,400,95,55,49,61,48,8,431,0
89.0,22,591,396,92,54,48,60,48,8,429,0
89.2,22,590,393,91,53,48,60,48,8,427,0
89.39,22,590,391,89,53,48,60,48,8,425,0
89.59,22,590,389,88,52,48,60,48,8,424,0
89.79,22,591,387,87,52,48,60,48,7,423,0
89.98,22,591,386,86,52,48,60,48,7,422,0
90.18,22,590,385,85,51,47,60,48,7,421,0
90.39,22,591,383,85,51,47,59,48,7,421,0
90.62,22,590,382,84,51,47,59,48,7,420,0
90.85,22,590,380,83,50,47,59,48,7,419,0
91.06,22,591,379,82,50,47,59,48,7,418,0
91.28,22,590,377,81,50,47,59,47,7,417,0
91.46,22,590,376,80,50,47,59,47,7,416,0
91.66,22,590,374,79,49,47,59,47,7,415,0
91.86,22,589,372,78,49,46,59,47,7,415,0
92.07,22,590,371,77,48,46,59,47,7,414,0
92.29,22,590,369,76,48,46,59,47,7,413,0
92.52,22,590,368,75,48,46,59,47,7,411,0
92.76,22,590,366,74,47,46,58,47,7,410,0
92.98,22,590,364,73,47,46,58,48,7,410,0
93.19,22,590,363,72,47,46,58,48,7,408,0
93.39,21,590,362,71,46,45,58,47,7,407,0
93.6,21,590,360,71,46,45,58,47,7,406,0
93.8,21,589,359,70,46,45,58,46,7,405,0
93.99,21,589,357,69,46,45,58,46,7,404,0
94.2,21,590,356,68,45,45,58,46,7,403,0
94.43,21,590,355,68,45,45,58,46,7,402,0
