Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
76.86,48,1093,734,336,135,78,84,64,19,955,0
77.06,48,1091,729,333,134,77,83,64,19,951,0
77.27,48,1091,724,330,133,77,83,64,19,949,0
77.49,48,1092,719,327,132,76,83,64,19,946,0
77.69,48,1092,714,324,131,76,83,63,19,943,0
77.88,48,1093,709,321,130,76,82,63,19,941,0
78.07,48,1093,704,318,129,75,82,63,19,937,0
78.3,47,1092,698,315,128,75,82,63,19,934,0
78.52,47,1093,694,312,128,75,82,63,19,931,0
78.72,47,1091,688,309,127,74,82,62,19,929,0
78.94,47,1092,683,306,126,74,81,62,18,926,0
79.13,47,1091,678,304,125,74,81,62,18,924,0
79.33,47,1090,673,301,124,73,81,62,18,921,0
79.55,47,1091,668,298,123,73,81,62,18,918,0
79.77,47,1091,663,295,122,73,80,61,18,915,0
79.97,47,1089,658,293,121,72,80,61,18,913,0
80.17,46,1090,653,290,120,72,80,61,18,911,0
80.4,46,1088,648,287,119,72,80,61,18,908,0
80.61,46,1088,643,284,118,71,79,61,18,905,0
80.84,46,1088,637,281,117,71,79,60,18,902,0
81.06,46,1088,632,278,116,70,79,60,17,900,0
81.26,46,1087,626,275,115,70,78,60,17,896,0
81.45,46,1088,621,272,114,70,78,60,17,893,0
81.66,46,1086,615,268,113,69,78,60,17,891,0
81.87,46,1087,609,265,112,69,78,59,17,887,0
82.07,45,1087,603,262,111,68,77,59,17,884,0
82.29,45,1087,598,259,110,68,77,59,17,881,0
82.51,45,1087,592,256,109,68,77,59,17,878,0
82.75,45,1086,586,252,109,67,77,59,16,876,0
82.95,45,1086,580,249,107,67,76,58,16,873,0
83.13,45,1085,575,246,107,66,76,58,16,870,0
83.31,45,1085,569,243,106,66,76,58,16,867,0
83.51,45,1085,563,239,105,65,75,58,16,863,0
83.73,44,1084,555,235,104,65,75,57,16,859,0
83.96,44,1083,547,230,102,64,75,57,16,855,0
84.18,44,1083,539,224,100,64,74,57,15,850,0
84.38,44,1082,529,219,98,63,74,56,15,845,0
84.58,44,1082,518,213,96,62,73,56,15,839,0
84.78,44,1081,507,206,94,61,73,55,15,833,0
85.0,43,1081,494,198,92,60,72,55,15,826,0
85.25,43,1080,480,190,89,59,71,54,14,819,0
85.49,43,1079,464,182,86,58,71,54,14,811,0
85.71,42,1078,449,173,84,57,70,53,14,803,0
85.9,42,1077,434,164,81,56,69,53,13,794,0
86.08,42,1076,419,156,78,55,68,52,13,787,0
86.27,43,1120,415,152,77,55,69,53,13,831,0
86.46,41,1073,390,140,73,53,67,51,13,780,0
86.66,41,1071,375,132,70,52,66,51,12,771,0
86.91,41,1070,359,123,67,51,66,50,12,761,0
87.13,40,1069,345,115,65,50,65,49,12,752,0
87.34,40,1068,332,109,62,49,64,49,11,745,0
87.54,40,1068,321,102,60,48,64,49,11,738,0
87.74,40,1067,310,96,58,48,63,48,11,732,0
87.94,39,1066,302,92,57,47,63,48,11,726,0
88.15,39,1065,296,88,55,47,63,48,11,723,0
88.41,39,1066,292,85,55,46,62,47,11,720,0
88.66,39,1066,289,84,54,46,62,47,11,718,0
88.88,39,1065,286,82,54,46,62,47,11,717,0
89.07,39,1065,285,81,53,46,62,47,10,717,0
89.25,39,1064,283,81,53,46,62,47,10,716,0
89.44,39,1065,282,80,53,46,62,47,10,715,0
89.64,39,1064,281,79,52,45,62,47,10,715,0
89.86,39,1065,280,78,52,45,61,47,10,715,0
90.06,39,1064,278,78,52,45,61,47,10,716,0
90.26,39,1063,277,77,52,45,61,47,10,715,0
90.48,39,1065,276,76,51,45,61,47,10,716,0
90.74,39,1065,275,75,51,45,61,47,10,716,0
90.97,39,1064,273,75,51,45,61,47,10,717,0
91.17,39,1064,272,74,51,45,61,47,10,717,0
91.35,39,1065,271,73,50,45,61,47,10,717,0
91.54,39,1065,270,73,50,45,61,46,10,718,0
91.74,39,1065,269,72,50,44,60,46,10,717,0
91.95,39,1065,267,71,50,44,60,46,10,717,0
92.17,39,1065,266,70,49,44,60,46,10,718,0
92.39,39,1065,264,69,49,44,60,46,10,717,0
92.63,38,1064,263,69,49,44,60,46,10,717,0
92.86,38,1064,262,68,49,44,60,46,10,717,0
93.09,38,1064,261,67,48,44,60,46,10,715,0
93.29,38,1063,259,67,48,44,59,46,10,716,0
93.49,38,1062,258,66,48,43,59,46,10,716,0
93.66,38,1063,257,65,48,43,59,46,10,716,0
93.86,38,1063,256,65,47,43,59,46,10,716,0
94.08,38,1062,255,64,47,43,59,46,10,714,0
94.31,38,1063,254,64,47,43,59,46,10,714,0
