Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
55.23,16,229,380,174,81,49,47,35,11,377,0
55.34,16,223,364,165,78,47,46,34,10,374,0
55.32,16,222,372,169,80,48,47,34,11,379,0
55.34,16,219,364,164,78,47,46,34,10,369,0
55.36,16,219,362,162,77,47,46,34,10,366,0
55.28,16,219,366,164,78,47,46,34,11,364,0
55.3,16,216,361,161,77,47,45,34,10,350,0
55.25,16,218,363,160,76,47,46,34,10,350,0
55.35,16,215,364,162,77,47,46,34,10,348,0
55.35,16,214,359,158,76,46,46,34,10,344,0
55.33,16,215,359,157,76,46,45,34,10,339,0
55.34,16,213,357,157,75,46,45,33,10,339,0
55.32,16,215,359,159,76,46,45,34,10,361,0
55.32,16,216,357,158,75,46,46,34,10,358,0
55.36,16,216,356,157,75,46,45,34,10,355,0
55.35,16,214,355,156,74,46,45,33,10,355,0
55.32,16,216,354,155,74,45,45,33,10,353,0
55.34,16,215,355,155,74,45,45,33,10,353,0
55.33,16,216,354,154,74,45,45,33,10,352,0
55.36,16,216,356,156,74,46,45,34,10,356,0
55.32,17,226,370,160,77,47,47,35,11,363,0
55.4,17,224,367,158,76,47,47,34,10,355,0
55.32,17,224,364,155,75,46,46,34,10,356,0
55.35,17,223,363,155,75,46,46,34,10,353,0
55.34,17,223,361,154,75,46,46,34,10,351,0
55.38,17,223,365,155,75,46,46,34,10,352,0
55.35,17,223,363,154,74,46,46,34,10,356,0
55.35,17,223,363,154,74,46,46,34,10,356,0
55.35,17,229,373,161,77,47,47,35,10,363,0
55.25,17,228,375,161,77,47,47,35,10,362,0
55.26,17,229,384,167,79,47,47,35,10,367,0
55.27,18,231,404,178,83,49,48,36,11,375,0
55.28,18,232,430,194,88,51,49,37,11,389,0
55.31,19,235,459,210,94,53,51,38,12,406,0
55.27,20,237,500,235,102,55,52,39,13,430,0
55.26,21,239,550,265,112,59,55,41,14,458,0
55.27,22,240,603,296,123,63,57,43,15,483,0
55.31,23,246,660,329,134,67,59,45,16,499,0
55.31,25,248,721,366,146,71,62,47,17,529,0
55.29,26,251,776,399,157,75,64,49,18,560,0
55.3,27,253,832,432,169,78,67,51,20,587,0
55.27,29,258,902,472,184,83,70,53,22,649,0
55.26,30,260,955,501,193,87,72,55,23,668,0
55.27,31,263,1003,529,203,90,74,57,24,691,0
55.3,32,265,1056,560,214,94,77,59,25,715,0
