Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
55.1,22,297,373,192,87,60,53,40,17,732,0
55.37,22,301,347,173,81,58,52,39,16,708,0
55.31,22,300,346,171,81,58,51,39,16,696,0
55.3,22,290,344,172,81,57,51,39,16,684,0
55.34,22,294,344,171,80,57,50,39,16,686,0
55.3,22,296,346,171,80,57,50,39,16,684,0
55.38,22,300,348,172,80,58,51,39,16,692,0
55.33,22,300,351,174,81,58,50,39,15,683,0
55.28,22,312,348,171,80,58,50,39,15,698,0
55.28,22,308,346,170,80,57,50,39,15,693,0
55.28,22,308,345,169,79,57,50,39,15,686,0
55.28,22,299,344,170,79,57,50,39,15,675,0
55.29,22,303,343,169,79,57,50,39,15,678,0
55.28,22,302,342,168,78,57,50,39,15,674,0
55.31,22,302,340,168,78,57,50,39,15,671,0
55.28,22,316,342,167,78,57,50,39,15,692,0
55.27,22,310,341,167,78,57,50,39,15,680,0
55.27,22,305,340,167,78,57,50,39,15,675,0
55.28,22,305,339,166,77,57,49,39,15,672,0
55.29,22,305,339,166,77,57,49,39,15,672,0
55.32,22,304,339,166,77,57,49,39,15,669,0
55.29,22,301,336,165,77,57,49,39,15,664,0
55.29,22,295,336,165,77,56,49,38,15,660,0
55.27,22,298,336,164,77,56,49,38,15,663,0
55.29,22,298,336,165,77,57,49,38,15,666,0
55.27,22,299,335,164,77,56,49,38,15,664,0
55.28,22,299,336,165,77,56,49,38,15,664,0
55.28,22,300,338,166,77,56,49,38,15,668,0
55.24,22,302,340,167,77,56,49,38,15,671,0
55.26,22,301,348,172,79,57,50,39,15,676,0
55.29,22,303,360,179,81,58,50,39,15,685,0
55.32,23,304,380,190,85,59,51,40,15,695,0
55.32,23,304,405,206,89,61,52,41,16,713,0
55.3,24,306,441,226,96,63,54,43,17,737,0
55.29,25,309,485,252,104,66,55,44,18,763,0
55.29,26,311,543,285,115,69,58,47,19,799,0
55.3,27,315,597,318,125,73,60,49,21,838,0
55.32,29,319,663,355,137,77,63,52,22,876,0
55.29,30,323,726,391,148,81,65,54,23,919,0
55.31,31,326,790,427,160,85,68,57,25,957,0
55.3,33,329,847,461,171,89,70,59,26,995,0
55.33,34,334,909,497,183,93,73,62,28,1033,0
55.3,35,336,967,530,193,97,75,64,29,1065,0
55.32,36,340,1022,561,203,101,78,66,30,1100,0
55.33,37,342,1079,593,214,104,80,69,31,1135,0
