Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
76.85,78,2896,1422,447,193,133,181,145,22,1703,0
77.05,78,2894,1415,443,191,133,181,145,22,1698,0
77.2,78,2893,1408,439,190,132,180,145,22,1693,0
77.38,77,2892,1402,435,188,132,180,145,22,1690,0
77.58,77,2891,1395,431,187,131,179,145,22,1685,0
77.8,77,2892,1388,427,186,131,179,144,22,1683,0
78.01,77,2888,1381,424,184,130,179,144,22,1678,0
78.23,77,2889,1374,420,183,130,179,144,22,1674,0
78.45,77,2888,1367,416,182,129,178,144,21,1670,0
78.67,77,2887,1361,412,180,129,178,143,21,1668,0
78.85,76,2885,1354,409,179,128,178,143,21,1665,0
79.04,76,2883,1348,405,178,128,177,143,21,1661,0
79.27,76,2883,1341,401,177,128,177,142,21,1656,0
79.5,76,2882,1336,398,175,127,177,142,21,1655,0
79.71,76,2873,1327,395,174,126,176,142,21,1651,0
79.91,76,2872,1321,391,173,126,176,141,21,1649,0
80.12,76,2877,1316,387,172,126,176,142,21,1644,0
80.31,76,2877,1310,384,171,125,175,141,20,1640,0
80.52,75,2874,1303,380,169,125,175,141,20,1635,0
80.72,75,2869,1294,376,168,124,174,141,20,1630,0
80.95,75,2871,1288,371,166,124,174,140,20,1626,0
81.16,75,2868,1278,366,165,123,174,140,20,1623,0
81.4,75,2866,1268,360,162,122,173,140,20,1616,0
81.6,74,2864,1258,354,160,121,173,139,19,1613,0
81.81,74,2868,1248,348,158,121,172,139,19,1607,0
82.01,74,2864,1237,341,156,120,172,138,19,1601,0
82.21,74,2863,1226,334,154,119,171,138,19,1595,0
82.45,73,2862,1215,328,152,118,171,138,19,1588,0
82.69,73,2858,1203,321,149,117,170,137,18,1582,0
82.87,73,2856,1192,315,147,117,169,137,18,1577,0
83.06,73,2856,1182,309,145,116,169,136,18,1572,0
83.26,73,2856,1171,304,143,115,168,136,18,1565,0
83.44,72,2854,1160,298,141,114,168,136,18,1561,0
83.64,72,2850,1151,293,139,114,167,135,18,1555,0
83.86,72,2846,1141,288,137,113,167,135,17,1550,0
84.08,72,2840,1131,283,136,112,167,134,17,1545,0
84.3,72,2840,1121,278,134,112,166,134,17,1540,0
84.51,71,2838,1112,273,132,111,166,134,17,1536,0
84.72,71,2841,1104,267,130,110,165,134,17,1531,0
84.93,71,2841,1094,261,128,110,165,133,16,1527,0
85.15,71,2836,1083,255,126,109,164,133,16,1521,0
85.37,71,2839,1072,248,124,108,163,132,16,1514,0
85.61,70,2833,1059,241,121,107,163,132,16,1509,0
85.82,70,2834,1048,233,119,106,162,131,16,1503,0
86.01,70,2833,1034,225,116,105,162,131,15,1495,0
86.18,70,2833,1020,217,113,104,161,130,15,1489,0
86.38,69,2828,1004,208,110,103,160,130,15,1480,0
86.59,69,2825,988,198,107,102,159,129,15,1471,0
86.83,68,2819,970,188,103,100,159,128,14,1460,0
87.03,68,2819,954,178,100,99,158,128,14,1453,0
87.23,68,2821,938,168,96,98,157,127,14,1445,0
87.46,67,2811,918,158,93,97,156,126,13,1435,0
87.66,67,2814,904,149,91,95,155,126,13,1428,0
87.87,67,2814,889,141,88,94,155,125,13,1419,0
88.09,66,2809,874,132,85,93,154,125,12,1412,0
88.33,66,2811,862,125,82,92,153,124,12,1404,0
88.56,66,2809,849,119,80,92,153,124,12,1398,0
88.79,66,2802,838,114,78,91,152,123,12,1393,0
89.0,66,2805,830,109,76,90,152,123,12,1387,0
89.17,65,2799,823,106,75,90,151,123,12,1386,0
89.37,65,2799,818,103,74,89,151,123,11,1383,0
89.6,65,2796,814,101,73,89,151,122,11,1380,0
89.81,65,2796,811,99,72,89,151,122,11,1378,0
89.99,65,2795,809,98,72,89,151,122,11,1374,0
90.18,65,2791,806,97,71,89,150,122,11,1374,0
90.4,65,2789,804,96,71,88,150,122,11,1373,0
90.62,65,2787,802,95,71,88,150,122,11,1371,0
90.87,65,2785,800,94,70,88,150,122,11,1369,0
91.1,65,2783,799,93,70,88,150,122,11,1369,0
91.33,65,2780,798,92,70,88,149,121,11,1368,0
91.53,65,2779,796,91,69,88,149,121,11,1367,0
91.72,65,2776,794,90,69,87,149,121,11,1366,0
91.91,65,2773,792,90,69,87,149,121,11,1365,0
92.09,65,2768,790,89,68,87,149,121,11,1364,0
92.26,65,2768,789,88,68,87,149,121,11,1362,0
92.47,64,2768,786,87,67,87,148,121,11,1361,0
92.71,64,2763,784,86,67,86,148,121,11,1360,0
92.96,64,2762,783,84,67,86,148,120,11,1359,0
93.19,64,2759,780,83,66,86,148,120,11,1357,0
93.41,64,2757,779,82,66,86,148,120,11,1356,0
93.61,64,2753,776,81,66,86,147,120,11,1352,0
93.83,64,2751,774,81,65,86,147,120,11,1353,0
94.03,64,2747,773,80,65,86,147,120,11,1352,0
94.2,64,2750,772,79,64,85,147,120,10,1351,0
94.39,64,2745,770,78,64,85,147,120,10,1349,0
