Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
76.87,66,1188,1619,409,187,126,218,138,31,2939,0
77.07,66,1187,1614,408,187,126,218,138,31,2939,0
77.27,66,1187,1610,405,186,125,219,138,31,2939,0
77.48,66,1187,1603,402,185,125,218,138,31,2935,0
77.67,66,1185,1598,399,183,125,218,137,31,2927,0
77.88,66,1185,1591,395,182,124,217,137,31,2926,0
78.08,65,1184,1585,392,181,124,217,137,31,2921,0
78.31,65,1184,1580,389,180,123,217,137,31,2924,0
78.51,65,1183,1574,386,178,123,216,137,31,2914,0
78.72,65,1183,1569,382,177,122,216,136,30,2912,0
78.92,65,1183,1563,379,176,122,216,136,30,2912,0
79.12,65,1183,1558,376,175,122,216,136,30,2906,0
79.34,64,1182,1552,372,174,121,215,136,30,2902,0
79.55,65,1182,1546,369,173,121,215,136,30,2898,0
79.78,64,1180,1540,366,171,120,215,135,30,2897,0
79.97,64,1181,1535,362,170,120,214,135,30,2892,0
80.18,64,1180,1529,359,169,119,214,135,30,2891,0
80.41,64,1179,1523,355,168,119,214,135,30,2884,0
80.62,64,1178,1517,352,166,118,214,135,29,2881,0
80.84,64,1178,1511,348,165,118,213,134,29,2876,0
81.04,64,1177,1504,343,164,117,214,134,29,2876,0
81.26,64,1177,1497,340,162,117,213,134,29,2871,0
81.45,63,1176,1488,335,160,116,213,134,29,2869,0
81.66,63,1175,1480,329,159,115,213,133,29,2865,0
81.86,63,1175,1470,324,156,115,212,133,29,2860,0
82.1,63,1174,1460,317,154,114,212,133,28,2856,0
82.32,62,1174,1451,311,152,113,211,132,28,2848,0
82.53,62,1173,1440,306,150,112,211,132,28,2841,0
82.73,62,1175,1431,300,148,112,210,132,28,2844,0
82.94,62,1173,1420,294,146,111,210,132,28,2836,0
83.14,62,1174,1411,288,144,110,210,131,28,2835,0
83.34,62,1173,1402,283,142,110,209,131,27,2828,0
83.54,61,1171,1393,278,140,109,209,131,27,2825,0
83.75,61,1171,1383,273,138,108,208,130,27,2820,0
83.95,61,1170,1373,268,136,107,208,130,27,2812,0
84.16,61,1169,1365,263,135,107,207,130,27,2805,0
84.37,61,1168,1356,259,133,106,207,129,27,2807,0
84.59,60,1166,1348,254,131,106,207,129,26,2803,0
84.81,60,1166,1341,249,130,105,206,129,26,2802,0
85.02,60,1164,1333,244,128,104,206,128,26,2798,0
85.25,60,1163,1323,238,126,104,206,128,26,2797,0
85.46,60,1161,1314,232,124,103,205,128,26,2795,0
85.68,59,1162,1304,226,122,102,205,127,26,2793,0
85.9,59,1165,1295,220,120,102,205,127,25,2801,0
86.09,59,1164,1284,213,117,101,204,127,25,2796,0
86.28,59,1162,1272,205,115,100,204,126,25,2788,0
86.47,59,1160,1258,197,112,99,203,126,25,2781,0
86.68,58,1160,1244,188,109,98,202,125,25,2781,0
86.9,58,1159,1229,178,105,96,201,125,24,2772,0
87.12,58,1158,1212,169,102,95,201,124,24,2769,0
87.35,57,1158,1197,160,99,94,201,124,24,2761,0
87.56,57,1156,1181,151,95,93,200,123,23,2759,0
87.76,57,1158,1169,143,93,92,200,123,23,2754,0
87.95,57,1156,1156,135,90,91,199,123,23,2742,0
88.15,56,1155,1142,128,87,90,198,122,23,2734,0
88.39,56,1155,1130,121,84,89,198,122,22,2731,0
88.64,56,1154,1120,115,82,89,197,122,22,2726,0
88.84,56,1152,1109,110,80,88,197,121,22,2725,0
89.04,56,1151,1101,106,78,87,197,121,22,2721,0
89.24,55,1150,1094,102,77,87,197,121,22,2718,0
89.47,55,1150,1089,100,76,86,196,121,22,2717,0
89.7,55,1150,1085,97,75,86,196,120,21,2714,0
89.88,55,1149,1082,96,74,86,196,120,21,2716,0
90.08,55,1149,1079,94,74,85,195,120,21,2718,0
90.26,55,1147,1076,94,73,85,195,120,21,2714,0
90.47,55,1145,1074,93,72,85,195,120,21,2708,0
90.75,55,1144,1074,92,72,85,194,120,21,2709,0
90.96,55,1146,1072,91,72,85,194,119,21,2709,0
91.16,55,1145,1071,90,72,84,194,119,21,2703,0
91.37,55,1142,1070,90,71,84,194,119,21,2711,0
91.56,55,1144,1069,89,71,84,194,119,21,2710,0
91.74,55,1144,1068,88,71,84,194,119,21,2715,0
91.95,55,1142,1065,87,70,84,194,119,21,2710,0
92.16,54,1142,1064,86,70,83,194,119,21,2716,0
92.38,55,1142,1063,86,70,83,194,119,21,2716,0
92.62,54,1140,1062,85,69,83,194,119,21,2718,0
92.83,54,1140,1060,84,69,83,194,118,21,2721,0
93.02,54,1138,1058,83,69,82,194,118,21,2714,0
93.26,54,1140,1058,82,68,82,193,118,21,2715,0
93.5,54,1141,1059,81,68,82,193,118,21,2714,0
93.73,54,1139,1058,80,68,82,193,118,21,2719,0
93.91,54,1139,1057,80,67,82,193,118,21,2722,0
94.1,54,1139,1057,79,67,82,193,118,21,2722,0
94.29,54,1140,1056,78,67,81,193,118,21,2722,0
