Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
76.86,64,1148,1662,481,207,130,206,134,28,2287,0
77.05,64,1147,1654,476,206,129,206,134,28,2281,0
77.26,64,1144,1646,472,204,129,205,134,28,2276,0
77.46,63,1146,1640,467,203,129,205,133,28,2270,0
77.67,63,1144,1631,463,201,128,205,133,27,2268,0
77.87,63,1144,1625,459,200,127,204,133,27,2264,0
78.09,63,1142,1617,455,198,127,204,132,27,2259,0
78.32,63,1139,1608,451,197,126,204,132,27,2255,0
78.53,63,1139,1602,447,195,126,203,132,27,2251,0
78.72,62,1140,1596,444,194,125,203,132,27,2249,0
78.92,62,1138,1589,440,193,125,203,131,27,2244,0
79.13,62,1137,1581,436,192,124,202,131,27,2241,0
79.35,62,1138,1575,432,190,124,202,131,26,2240,0
79.56,62,1138,1569,428,189,123,202,131,26,2235,0
79.78,62,1138,1563,424,188,123,201,130,26,2230,0
79.98,62,1137,1555,420,186,122,201,130,26,2226,0
80.18,61,1135,1548,416,185,122,201,130,26,2223,0
80.38,61,1136,1540,412,183,121,200,129,26,2218,0
80.58,61,1135,1532,407,181,121,200,129,26,2211,0
80.82,61,1133,1521,401,179,120,199,129,25,2209,0
81.08,61,1131,1510,394,177,119,199,128,25,2205,0
81.29,60,1130,1498,387,175,118,198,128,25,2199,0
81.47,60,1131,1484,379,172,117,198,127,25,2193,0
81.64,60,1129,1469,370,169,116,197,127,25,2186,0
81.85,59,1128,1451,360,165,115,196,126,24,2178,0
82.06,59,1127,1435,350,162,113,195,126,24,2169,0
82.28,59,1126,1417,341,158,112,195,125,24,2162,0
82.52,58,1124,1399,330,155,111,194,124,23,2154,0
82.72,58,1126,1382,321,151,110,193,124,23,2145,0
82.91,57,1125,1365,311,148,108,192,123,23,2136,0
83.1,57,1124,1350,303,145,107,192,123,22,2129,0
83.32,57,1122,1336,295,142,106,191,122,22,2122,0
83.53,57,1121,1323,288,140,105,190,122,22,2114,0
83.75,56,1121,1311,281,137,105,190,121,22,2107,0
83.98,56,1121,1301,276,135,104,189,121,22,2101,0
84.19,56,1120,1291,270,133,103,189,121,21,2095,0
84.38,56,1119,1282,265,131,102,189,120,21,2089,0
84.57,56,1119,1274,261,130,102,188,120,21,2087,0
84.78,55,1117,1265,256,128,101,188,120,21,2081,0
84.99,55,1116,1256,250,126,100,187,119,21,2076,0
85.24,55,1116,1247,245,124,100,187,119,21,2074,0
85.48,55,1115,1237,239,122,99,186,119,20,2068,0
85.72,55,1115,1226,233,120,98,186,118,20,2064,0
85.89,54,1115,1216,227,118,97,185,118,20,2059,0
86.06,54,1114,1205,220,116,96,185,117,20,2052,0
86.25,54,1112,1191,213,113,96,184,117,20,2045,0
86.45,54,1111,1177,204,110,94,184,116,19,2041,0
86.67,53,1110,1161,195,107,93,183,116,19,2034,0
86.92,53,1110,1145,186,104,92,182,115,19,2028,0
87.15,53,1109,1130,176,100,91,181,115,19,2020,0
87.34,52,1106,1114,168,97,90,180,114,18,2011,0
87.56,52,1101,1096,159,94,89,180,113,18,2002,0
87.76,52,1100,1084,152,92,88,179,113,18,1992,0
87.95,51,1101,1071,144,89,86,178,112,17,1988,0
88.16,51,1101,1061,137,86,86,178,112,17,1979,0
88.38,51,1102,1050,130,84,85,177,112,17,1973,0
88.61,51,1101,1040,125,82,84,177,111,17,1967,0
88.84,50,1101,1031,120,80,83,177,111,17,1963,0
89.04,50,1100,1025,116,79,83,176,111,16,1962,0
89.22,50,1100,1017,113,78,82,176,110,16,1957,0
89.42,50,1097,1013,111,77,82,176,110,16,1954,0
89.64,50,1101,1010,109,76,82,176,110,16,1950,0
89.88,50,1100,1006,107,75,81,176,110,16,1948,0
90.08,50,1096,1004,106,75,81,175,110,16,1947,0
90.29,50,1099,1003,104,74,81,175,110,16,1946,0
90.51,50,1099,1001,103,74,81,175,110,16,1945,0
90.73,50,1100,999,102,73,81,175,110,16,1944,0
90.94,50,1098,997,101,73,80,175,110,16,1942,0
91.15,50,1098,995,100,73,80,175,109,16,1940,0
91.35,49,1096,994,99,72,80,175,109,16,1941,0
91.55,49,1097,992,98,72,80,175,109,16,1940,0
91.73,49,1097,990,97,72,80,175,109,16,1939,0
91.93,49,1096,989,97,71,79,174,109,16,1936,0
92.16,49,1094,986,95,71,79,174,109,16,1940,0
92.38,49,1096,985,95,70,79,174,109,16,1943,0
92.61,49,1096,983,93,70,79,174,109,16,1936,0
92.87,49,1095,980,92,69,79,174,109,16,1936,0
93.09,49,1096,979,91,69,78,174,108,16,1939,0
93.3,49,1095,977,90,68,78,174,108,16,1938,0
93.49,49,1096,975,89,68,78,174,108,15,1938,0
93.68,49,1094,973,88,68,78,173,108,15,1935,0
93.86,49,1094,972,87,67,77,174,108,15,1936,0
94.07,49,1094,970,86,67,77,173,108,15,1935,0
94.26,49,1094,968,84,66,77,173,108,15,1934,0
94.48,49,1093,966,83,66,77,173,108,15,1934,0
