Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
76.9,86,2153,1849,610,240,157,231,147,29,1948,0
77.05,86,2154,1845,608,239,157,231,147,29,1949,0
77.26,86,2154,1837,604,238,157,231,146,29,1946,0
77.47,86,2152,1829,599,236,156,230,146,28,1942,0
77.65,86,2150,1820,595,234,155,230,146,28,1938,0
77.83,86,2150,1811,590,233,155,230,145,28,1932,0
78.04,85,2151,1803,584,231,154,229,145,28,1925,0
78.25,85,2151,1794,579,229,154,229,145,28,1919,0
78.49,85,2150,1784,574,228,153,229,144,28,1913,0
78.71,85,2147,1775,568,226,152,228,144,27,1907,0
78.94,85,2145,1766,563,224,152,227,144,27,1902,0
79.14,84,2147,1757,558,223,151,227,143,27,1897,0
79.32,84,2146,1749,554,221,151,227,143,27,1892,0
79.52,84,2145,1740,549,220,150,226,143,27,1885,0
79.76,84,2144,1731,543,218,149,226,142,27,1879,0
79.98,84,2142,1721,538,216,149,226,142,26,1874,0
80.17,83,2140,1710,532,214,148,225,141,26,1867,0
80.37,83,2141,1700,526,213,147,225,141,26,1861,0
80.58,83,2140,1690,519,210,146,224,141,26,1853,0
80.79,83,2140,1677,512,208,145,224,140,26,1846,0
80.99,82,2139,1663,503,206,144,223,140,25,1838,0
81.2,82,2138,1647,494,203,143,222,139,25,1828,0
81.41,82,2138,1630,484,199,142,221,138,25,1817,0
81.62,81,2136,1612,473,196,141,220,138,24,1806,0
81.82,81,2136,1595,463,193,140,220,137,24,1795,0
82.04,81,2135,1576,452,189,138,219,137,23,1785,0
82.26,80,2133,1559,441,186,137,218,136,23,1774,0
82.48,80,2132,1541,431,183,136,217,135,23,1765,0
82.71,80,2131,1523,421,179,135,216,135,23,1756,0
82.92,79,2129,1507,411,176,133,215,134,22,1746,0
83.09,79,2126,1490,402,173,132,215,133,22,1737,0
83.29,79,2129,1475,395,170,131,214,133,22,1729,0
83.51,78,2129,1462,387,168,130,213,132,21,1721,0
83.72,78,2125,1448,379,165,129,213,132,21,1713,0
83.92,78,2123,1435,372,163,128,212,131,21,1707,0
84.14,77,2122,1422,365,161,128,212,131,21,1699,0
84.34,77,2119,1410,358,159,127,211,130,20,1694,0
84.55,77,2118,1399,351,156,126,210,130,20,1687,0
84.75,77,2119,1385,342,154,125,210,129,20,1677,0
84.94,76,2119,1371,334,151,124,209,129,20,1670,0
85.16,76,2119,1355,324,148,123,208,128,19,1660,0
85.4,76,2117,1338,313,144,121,208,128,19,1649,0
85.65,75,2116,1316,302,140,120,207,127,19,1639,0
85.87,75,2113,1296,289,136,118,206,126,18,1627,0
86.03,74,2109,1274,276,132,117,205,125,18,1615,0
86.23,74,2111,1251,262,128,115,204,125,17,1602,0
86.46,74,2110,1226,247,123,113,202,124,17,1588,0
86.71,73,2109,1201,232,118,111,201,123,16,1574,0
86.93,72,2108,1177,218,114,109,200,122,16,1563,0
87.16,72,2107,1152,204,109,108,199,121,15,1549,0
87.34,71,2103,1131,191,105,106,198,120,15,1537,0
87.52,71,2105,1111,179,101,105,197,120,15,1524,0
87.71,71,2104,1091,167,97,103,196,119,14,1514,0
87.89,70,2105,1073,158,94,102,195,118,14,1503,0
88.12,70,2102,1055,148,90,101,194,118,14,1494,0
88.37,69,2098,1039,139,87,100,194,117,13,1484,0
88.6,69,2098,1025,131,85,99,193,117,13,1478,0
88.82,69,2100,1015,125,83,98,193,116,13,1471,0
89.02,69,2096,1006,120,81,97,192,116,13,1467,0
89.24,69,2096,999,117,80,97,192,116,13,1463,0
89.45,68,2095,994,114,79,97,191,115,13,1458,0
89.65,68,2095,992,112,78,96,191,115,12,1456,0
89.84,68,2097,989,111,78,96,191,115,12,1452,0
90.02,68,2098,987,109,77,96,190,115,12,1450,0
90.21,68,2097,984,108,77,96,190,115,12,1447,0
90.42,68,2095,982,107,76,96,190,115,12,1445,0
90.66,68,2096,980,106,76,95,190,115,12,1442,0
90.93,68,2096,978,105,76,95,190,115,12,1440,0
91.13,68,2095,976,103,75,95,189,115,12,1438,0
91.34,68,2093,973,102,75,95,189,114,12,1437,0
91.52,68,2093,971,101,74,95,189,114,12,1435,0
91.71,68,2093,969,100,74,95,189,114,12,1432,0
91.92,68,2094,967,99,74,95,188,114,12,1430,0
92.13,68,2094,965,97,73,94,188,114,12,1427,0
92.38,68,2093,963,96,73,94,188,114,12,1425,0
92.61,68,2093,960,95,72,94,188,114,12,1422,0
92.83,68,2093,958,94,72,94,188,114,12,1421,0
93.03,67,2092,956,92,71,94,187,114,12,1418,0
93.23,67,2090,954,91,71,93,187,114,12,1415,0
93.4,67,2090,951,90,70,93,187,113,12,1414,0
93.62,67,2091,950,89,70,93,186,113,12,1412,0
93.85,67,2090,947,88,70,93,186,113,12,1411,0
94.06,67,2089,945,87,69,93,186,113,12,1409,0
94.29,67,2088,943,85,69,93,185,113,11,1407,0
94.49,67,2087,940,84,68,92,185,113,11,1402,0
