Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
55.13,70,1373,968,316,137,94,146,88,22,1938,0
55.28,69,1350,926,292,131,91,142,87,21,1875,0
55.35,69,1342,925,291,131,91,140,86,21,1839,0
55.31,69,1342,922,291,130,90,139,86,21,1800,0
55.27,68,1343,919,285,128,90,139,86,21,1833,0
55.3,68,1337,921,288,129,90,138,86,20,1831,0
55.3,68,1329,918,289,129,90,137,86,20,1815,0
55.26,68,1327,910,284,127,89,136,85,20,1811,0
55.24,68,1321,908,284,127,89,136,85,20,1808,0
55.26,68,1321,908,283,126,88,135,85,20,1795,0
55.28,67,1321,902,279,125,88,135,84,20,1792,0
55.28,67,1317,898,278,124,88,135,84,19,1784,0
55.32,67,1314,899,278,124,88,134,84,19,1780,0
55.27,67,1314,895,275,123,88,134,84,19,1773,0
55.3,67,1312,897,277,124,88,134,84,19,1784,0
55.31,67,1309,892,273,122,87,133,84,19,1785,0
55.29,67,1304,891,274,122,87,133,84,19,1782,0
55.29,67,1306,887,271,121,88,133,83,19,1779,0
55.29,66,1300,884,270,121,87,132,83,19,1783,0
55.31,66,1299,883,269,120,86,132,83,19,1777,0
55.29,66,1293,881,269,120,86,131,83,19,1663,0
55.29,66,1288,879,269,120,86,131,83,19,1677,0
55.3,66,1284,879,266,119,86,130,83,19,1674,0
55.31,66,1284,876,266,119,86,130,83,19,1676,0
55.31,66,1279,873,266,118,86,130,82,19,1669,0
55.28,66,1281,874,265,119,85,130,82,18,1670,0
55.27,66,1294,891,269,121,86,132,83,19,1693,0
55.31,67,1292,893,272,121,87,132,83,19,1712,0
55.32,67,1291,899,276,122,87,133,84,19,1713,0
55.28,67,1290,905,280,123,87,133,84,19,1709,0
55.22,67,1284,926,293,127,89,133,84,19,1708,0
55.3,67,1278,951,310,132,90,134,85,20,1724,0
55.3,68,1282,997,336,139,93,135,87,21,1747,0
55.31,69,1284,1048,366,148,97,138,89,21,1775,0
55.32,72,1293,1128,410,162,102,142,92,23,1830,0
55.32,74,1297,1217,461,177,108,145,95,25,1869,0
55.31,75,1299,1314,517,194,114,149,99,26,1897,0
55.31,77,1301,1421,578,212,121,153,102,28,1938,0
55.29,79,1301,1530,640,231,128,157,106,29,1979,0
55.3,82,1306,1641,704,249,135,162,110,31,2031,0
55.29,84,1313,1769,774,271,143,167,115,33,2084,0
55.29,87,1317,1891,843,292,151,172,119,35,2136,0
55.14,88,1322,2011,910,312,158,176,123,36,2192,0
55.31,92,1328,2141,984,333,166,181,128,38,2248,0
55.29,93,1335,2268,1055,354,175,187,133,41,2303,0
