Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
55.1,83,2109,1555,461,196,142,225,138,28,2064,0
55.38,82,2113,1478,420,184,137,219,136,26,1949,0
55.35,82,2118,1474,417,183,137,217,136,25,1917,0
55.3,82,2123,1484,425,185,138,217,135,25,1915,0
55.32,81,2126,1482,422,184,137,216,135,25,1889,0
55.31,81,2129,1482,426,185,137,215,135,25,1880,0
55.34,81,2126,1478,424,184,137,214,135,25,1870,0
55.35,81,2129,1475,422,184,137,213,135,25,1861,0
55.32,81,2130,1472,421,183,137,213,135,25,1857,0
55.36,81,2139,1470,420,183,137,212,135,25,1848,0
55.31,81,2138,1466,418,182,137,212,134,24,1841,0
55.3,80,2142,1458,412,181,136,211,134,24,1831,0
55.35,80,2142,1462,416,182,137,211,134,24,1834,0
55.37,80,2150,1460,415,181,137,211,135,24,1830,0
55.34,80,2147,1454,412,180,136,210,134,24,1825,0
55.34,81,2151,1455,413,181,137,210,134,24,1826,0
55.36,80,2151,1450,412,180,136,209,134,24,1818,0
55.35,80,2143,1446,411,180,136,209,133,24,1794,0
55.35,80,2140,1440,408,179,136,208,133,24,1790,0
55.36,80,2144,1436,405,178,135,208,133,24,1782,0
55.35,80,2137,1435,410,179,136,209,132,24,1783,0
55.31,79,2136,1425,404,177,135,208,132,23,1772,0
55.33,79,2138,1427,406,178,136,209,132,23,1772,0
55.31,79,2138,1422,404,177,135,208,132,23,1765,0
55.33,79,2139,1423,403,177,135,208,132,23,1767,0
55.36,79,2136,1419,401,177,135,208,132,23,1762,0
55.31,79,2133,1416,400,176,135,208,131,23,1760,0
55.36,79,2135,1417,401,176,135,208,132,23,1757,0
55.35,80,2135,1422,403,177,135,208,132,23,1756,0
55.35,80,2137,1428,407,178,136,208,132,23,1755,0
55.31,80,2145,1436,412,179,137,208,132,23,1760,0
55.33,81,2149,1465,427,184,139,210,133,24,1780,0
55.31,81,2155,1493,442,189,140,211,135,24,1791,0
55.32,82,2158,1541,472,198,144,213,136,25,1819,0
55.34,83,2141,1591,507,208,147,213,137,26,1837,0
55.35,84,2145,1667,551,222,152,216,140,28,1876,0
55.35,86,2148,1755,602,237,158,220,143,29,1923,0
55.32,88,2152,1856,660,256,165,224,146,31,1979,0
55.34,90,2155,1959,719,274,172,228,149,33,2032,0
55.34,92,2163,2066,781,292,179,232,153,35,2087,0
55.32,94,2165,2173,843,311,186,236,156,37,2143,0
55.33,96,2172,2279,902,330,193,240,159,39,2198,0
55.33,99,2177,2396,971,351,201,245,163,41,2259,0
55.33,101,2180,2507,1034,371,208,249,166,43,2314,0
55.35,103,2185,2617,1099,390,215,253,170,45,2376,0
