Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
55.23,51,764,1286,437,180,115,194,96,32,2533,0
55.43,48,756,1217,398,168,110,191,93,30,2498,0
55.45,48,753,1214,397,169,110,191,93,30,2468,0
55.45,48,749,1215,396,168,110,191,93,29,2452,0
55.44,47,749,1210,391,166,109,190,93,29,2417,0
55.44,47,748,1212,394,167,110,191,93,29,2417,0
55.44,47,746,1211,394,167,110,191,93,29,2400,0
55.46,47,744,1206,389,165,109,190,93,28,2377,0
55.45,46,744,1200,384,163,109,190,93,28,2368,0
55.45,46,740,1199,383,163,109,189,93,28,2359,0
55.43,47,741,1205,386,164,109,190,93,28,2364,0
55.45,46,739,1199,379,161,109,189,93,28,2335,0
55.5,46,740,1204,378,161,109,189,93,28,2330,0
55.53,46,741,1206,378,161,109,189,94,28,2326,0
55.48,46,739,1213,380,162,109,189,94,28,2316,0
55.49,46,737,1210,378,161,109,189,94,28,2314,0
55.51,46,739,1211,374,160,109,189,95,27,2299,0
55.49,46,740,1218,375,160,109,189,95,27,2313,0
55.51,46,742,1226,375,160,109,189,96,27,2316,0
55.46,46,742,1229,371,159,109,189,97,27,2320,0
55.5,46,744,1228,368,158,109,189,97,27,2312,0
55.47,46,742,1229,368,158,108,188,97,27,2316,0
55.5,46,745,1229,366,157,108,188,98,27,2316,0
55.47,46,745,1228,364,157,108,188,98,27,2316,0
55.47,46,743,1227,362,156,108,188,98,27,2313,0
55.51,46,744,1230,361,156,108,188,98,27,2314,0
55.48,45,744,1222,358,155,107,187,98,27,2292,0
55.5,46,743,1230,360,156,107,187,98,27,2295,0
55.5,46,744,1234,361,156,107,187,98,27,2298,0
55.49,46,740,1234,363,156,108,187,98,27,2303,0
55.52,46,743,1244,368,158,108,188,98,27,2303,0
55.47,46,743,1262,379,161,110,189,99,27,2314,0
55.5,47,743,1287,394,166,111,190,100,28,2332,0
55.47,47,744,1321,415,173,114,191,101,28,2351,0
55.5,48,748,1374,445,182,117,193,102,29,2364,0
55.47,49,750,1437,482,194,121,196,104,30,2386,0
55.51,51,747,1500,521,207,126,198,105,31,2413,0
55.49,52,754,1590,573,224,132,202,109,33,2460,0
55.52,54,757,1664,615,237,137,205,110,34,2496,0
55.5,55,760,1757,670,255,143,208,113,36,2503,0
55.51,57,765,1842,719,271,149,212,116,38,2546,0
55.48,59,769,1929,768,287,154,215,119,39,2591,0
55.49,61,773,2023,823,305,161,219,122,41,2643,0
55.51,63,778,2119,876,322,167,223,125,43,2687,0
55.48,65,782,2209,928,339,173,226,128,44,2730,0
