Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
55.1,84,1034,1223,476,186,115,125,93,24,1788,0
55.32,82,1006,1170,452,178,113,121,90,22,1700,0
55.33,82,1002,1178,458,181,114,121,91,22,1683,0
55.3,82,1002,1175,453,180,113,121,90,22,1678,0
55.33,82,993,1176,455,180,113,120,90,22,1663,0
55.29,82,987,1169,450,179,113,119,90,22,1649,0
55.25,83,1038,1218,458,184,115,123,95,22,1655,0
55.29,83,1050,1206,451,181,114,122,94,22,1673,0
55.29,83,1048,1200,448,180,113,122,94,22,1649,0
55.34,83,1048,1190,442,178,113,122,94,22,1638,0
55.28,83,1050,1185,439,177,112,121,93,22,1619,0
55.29,83,1052,1184,438,177,112,121,93,21,1611,0
55.28,83,1038,1177,434,176,112,122,93,21,1609,0
55.28,82,1034,1173,432,175,112,121,92,21,1601,0
55.29,82,1033,1163,428,173,111,121,92,21,1587,0
55.29,82,1033,1161,427,172,111,121,92,21,1583,0
55.29,82,1041,1159,425,172,110,120,92,21,1575,0
55.3,82,1043,1154,421,171,110,120,91,21,1577,0
55.29,82,1035,1155,422,171,110,120,92,21,1576,0
55.33,82,1033,1147,418,170,110,120,91,21,1568,0
55.28,82,1029,1143,417,169,109,120,91,21,1559,0
55.29,82,1030,1137,413,168,109,120,91,20,1550,0
55.29,81,1025,1133,411,167,109,119,91,20,1548,0
55.29,81,1029,1133,410,167,108,119,91,20,1547,0
55.28,81,1031,1128,408,166,108,119,91,20,1539,0
55.27,81,1029,1129,407,166,108,119,91,20,1564,0
55.27,81,1028,1132,408,166,108,119,91,20,1563,0
55.28,81,1029,1136,410,167,109,119,91,20,1562,0
55.3,82,1031,1146,416,169,109,120,91,20,1565,0
55.31,82,1038,1165,426,172,110,120,92,21,1567,0
55.28,83,1040,1199,444,178,112,122,93,21,1585,0
55.3,83,1038,1244,470,186,115,124,95,22,1599,0
55.34,85,1047,1312,505,198,119,126,98,23,1625,0
55.29,86,1050,1381,543,209,124,129,100,24,1654,0
55.29,87,1056,1477,596,226,130,133,104,25,1691,0
55.31,90,1066,1581,653,244,136,137,107,27,1731,0
55.29,91,1071,1687,711,263,143,142,111,28,1774,0
55.29,94,1071,1797,771,282,150,146,115,30,1817,0
55.3,96,1078,1911,834,302,157,150,119,32,1864,0
55.29,98,1084,2014,889,319,163,155,123,33,1934,0
55.3,100,1088,2133,954,340,170,160,127,35,1978,0
55.31,102,1094,2243,1013,358,177,164,131,36,2018,0
55.28,104,1102,2346,1069,376,183,168,135,37,2059,0
55.3,107,1108,2464,1133,396,191,173,139,39,2105,0
55.3,109,1118,2566,1189,413,197,177,143,40,2144,0
