Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
55.1,76,1397,2033,750,308,184,260,167,36,2509,0
55.27,73,1366,1931,684,288,174,253,163,34,2405,0
55.26,73,1359,1940,691,290,175,253,162,34,2402,0
55.25,72,1351,1925,673,287,173,251,161,33,2378,0
55.25,71,1339,1895,650,281,168,248,159,33,2350,0
55.25,71,1335,1870,633,276,166,247,158,32,2333,0
55.24,71,1338,1875,632,277,166,247,158,32,2392,0
55.21,70,1342,1857,615,271,164,246,157,32,2363,0
55.23,70,1343,1848,608,268,163,246,157,31,2358,0
55.23,70,1343,1837,605,267,162,246,156,31,2356,0
55.23,70,1344,1828,595,264,161,245,156,31,2350,0
55.2,70,1339,1817,590,261,160,245,155,31,2345,0
55.24,70,1337,1815,588,261,160,244,155,31,2348,0
55.18,69,1334,1797,577,256,158,243,154,30,2332,0
55.23,69,1330,1799,576,256,158,243,154,30,2336,0
55.23,69,1328,1795,574,255,158,243,154,30,2332,0
55.18,69,1323,1787,568,253,157,242,153,30,2337,0
55.2,69,1323,1780,563,251,156,242,153,30,2332,0
55.22,69,1332,1785,560,252,156,242,154,30,2391,0
55.23,69,1326,1776,558,250,155,241,153,30,2386,0
55.23,69,1323,1766,552,248,155,241,153,30,2382,0
55.18,69,1323,1767,551,247,154,241,153,30,2384,0
55.19,69,1319,1761,549,246,154,240,152,29,2380,0
55.2,68,1321,1755,543,245,153,240,152,29,2377,0
55.2,69,1318,1750,540,243,154,239,152,29,2392,0
55.22,68,1317,1746,537,242,153,239,152,29,2377,0
55.25,68,1319,1747,537,242,153,239,152,29,2381,0
55.22,68,1317,1742,534,241,152,239,152,29,2377,0
55.22,68,1316,1740,533,240,152,239,152,29,2374,0
55.22,68,1313,1741,532,240,152,239,151,29,2379,0
55.23,68,1311,1742,533,240,152,239,151,29,2381,0
55.21,68,1312,1750,539,242,152,239,151,29,2388,0
55.22,68,1309,1757,541,243,153,239,152,29,2390,0
55.23,69,1312,1778,553,246,154,240,152,30,2400,0
55.2,70,1312,1814,574,253,156,242,153,30,2421,0
55.26,71,1308,1858,598,262,159,243,154,31,2442,0
55.24,72,1310,1918,633,273,163,246,156,32,2480,0
55.23,74,1318,2000,674,288,168,249,159,34,2524,0
55.23,75,1319,2074,718,302,173,253,161,35,2557,0
55.24,77,1322,2161,769,319,179,257,164,37,2610,0
55.2,79,1327,2264,828,338,186,261,167,39,2662,0
55.25,81,1334,2370,885,358,193,265,171,40,2710,0
55.26,83,1339,2477,947,377,200,270,174,42,2766,0
55.21,85,1345,2586,1007,398,207,274,178,44,2827,0
55.23,87,1349,2683,1061,416,213,278,181,46,2866,0
