Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
76.88,30,385,736,372,145,73,65,47,16,489,0
77.08,30,384,732,370,144,73,64,47,16,486,0
77.28,30,383,727,367,143,72,64,46,16,484,0
77.49,30,384,722,365,142,72,64,46,16,481,0
77.68,30,383,716,361,141,72,64,46,16,478,0
77.88,30,383,711,359,140,71,63,46,16,475,0
78.09,30,383,706,356,139,71,63,46,16,472,0
78.3,30,383,700,353,138,71,63,46,16,469,0
78.51,29,383,695,350,137,70,63,45,16,466,0
78.72,29,382,689,347,136,70,62,45,16,463,0
78.92,29,382,684,344,135,69,62,45,15,461,0
79.12,29,382,678,341,134,69,62,45,15,458,0
79.34,29,381,673,338,133,69,62,45,15,454,0
79.56,29,381,667,335,132,68,61,44,15,451,0
79.77,29,380,661,331,131,68,61,44,15,449,0
79.97,29,380,655,328,130,67,61,44,15,445,0
80.17,29,380,648,324,128,67,60,44,15,442,0
80.38,28,379,641,320,127,67,60,43,15,438,0
80.62,28,378,632,315,126,66,60,43,14,434,0
80.83,28,378,623,310,124,65,59,43,14,429,0
81.04,28,377,612,304,122,64,59,42,14,423,0
81.25,28,376,600,297,119,64,58,42,14,417,0
81.45,27,375,588,290,117,63,58,41,14,411,0
81.66,27,373,575,283,115,62,57,41,13,404,0
81.86,27,373,562,275,112,61,57,40,13,397,0
82.06,26,373,549,268,110,60,56,40,13,390,0
82.28,26,372,537,261,107,59,55,40,13,382,0
82.51,26,371,523,253,105,58,55,39,12,375,0
82.73,26,371,511,246,102,58,54,39,12,368,0
82.95,25,371,499,239,100,57,54,38,12,362,0
83.15,25,370,488,233,98,56,53,38,12,356,0
83.33,25,369,477,227,96,56,53,38,11,350,0
83.51,25,368,468,222,94,55,52,37,11,345,0
83.74,25,368,460,218,93,55,52,37,11,341,0
83.96,24,368,452,213,92,55,52,37,11,336,0
84.17,24,367,445,209,90,53,51,36,11,333,0
84.38,24,366,438,205,90,54,51,36,11,329,0
84.59,24,366,430,201,88,53,51,36,11,325,0
84.79,24,365,423,197,87,53,50,35,10,321,0
84.99,24,365,415,192,85,52,50,35,10,317,0
85.19,23,364,406,187,83,51,49,35,10,312,0
85.44,23,364,395,181,81,51,49,35,10,307,0
85.67,23,363,384,175,79,50,48,34,10,302,0
85.88,23,363,373,168,77,49,48,34,10,296,0
86.07,22,362,361,161,75,48,47,33,9,290,0
86.26,22,361,349,154,72,47,47,33,9,284,0
86.45,22,360,337,147,70,46,46,32,9,277,0
86.66,22,359,325,140,68,46,46,32,9,271,0
86.88,21,358,312,133,65,45,45,31,8,264,0
87.15,21,357,298,125,63,44,44,31,8,256,0
87.36,21,355,286,119,60,43,44,30,8,249,0
87.57,21,356,276,113,58,42,43,30,8,243,0
87.77,20,356,266,107,56,41,43,30,7,237,0
87.97,20,355,256,102,54,41,42,29,7,231,0
88.17,20,355,247,97,53,40,42,29,7,226,0
88.37,20,354,240,93,51,40,43,29,7,222,0
88.61,20,353,234,89,50,39,42,29,7,218,0
88.84,20,353,229,86,49,39,42,28,7,215,0
89.05,20,352,225,84,48,39,42,28,7,213,0
89.27,19,352,222,82,48,38,42,28,7,211,0
89.47,19,352,219,81,47,38,42,28,6,210,0
89.67,19,351,217,80,47,38,41,28,6,209,0
89.88,19,351,216,79,46,38,41,28,6,208,0
90.1,19,351,214,78,46,38,41,28,6,207,0
90.31,19,351,213,77,46,38,41,28,6,206,0
90.52,19,350,212,76,45,38,41,28,6,205,0
90.72,19,350,211,76,45,37,41,28,6,204,0
90.93,19,350,209,75,45,37,41,28,6,204,0
91.15,19,350,208,74,45,37,41,28,6,203,0
91.35,19,349,206,73,44,37,41,28,6,202,0
91.56,19,349,205,73,44,37,41,28,6,201,0
91.77,19,349,204,72,44,37,41,27,6,200,0
91.97,19,348,202,71,43,37,41,27,6,200,0
92.16,19,348,201,70,43,37,40,27,6,199,0
92.38,19,348,199,69,43,36,40,27,6,198,0
92.6,19,348,198,68,42,36,40,27,6,197,0
92.83,19,348,196,67,42,36,40,27,6,196,0
93.05,19,347,195,66,42,36,40,27,6,195,0
93.26,19,347,193,65,41,36,40,27,6,194,0
93.45,19,346,192,65,41,36,40,27,6,194,0
93.67,19,346,190,64,41,36,40,27,6,193,0
93.93,19,345,188,63,40,36,40,27,6,192,0
94.16,19,345,187,62,40,35,40,27,6,191,0
94.4,19,344,185,61,40,35,39,27,6,190,0
