Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
76.87,53,1233,893,405,160,92,84,76,20,858,0
77.08,53,1231,887,402,159,92,83,75,20,854,0
77.29,53,1230,881,399,158,91,83,75,20,851,0
77.5,53,1230,874,395,157,91,83,75,20,847,0
77.69,53,1230,868,392,156,90,83,75,20,844,0
77.88,53,1229,862,389,155,90,82,74,20,841,0
78.08,52,1229,855,385,154,90,82,74,20,837,0
78.3,52,1229,849,382,152,89,82,74,19,834,0
78.55,52,1228,842,378,151,89,81,74,19,830,0
78.76,52,1228,836,375,150,88,81,74,19,827,0
78.97,52,1226,830,371,149,88,81,73,19,824,0
79.17,52,1227,824,368,148,88,80,73,19,820,0
79.38,52,1227,818,365,147,87,80,73,19,817,0
79.59,52,1226,812,362,146,87,80,73,19,814,0
79.79,51,1226,806,359,145,86,80,72,19,811,0
79.99,51,1225,800,356,143,86,79,72,18,807,0
80.18,51,1225,793,352,142,86,79,72,18,804,0
80.36,51,1224,787,349,141,85,79,72,18,800,0
80.56,51,1224,779,344,139,84,78,71,18,797,0
80.82,51,1222,768,338,138,84,78,71,18,791,0
81.06,50,1221,757,332,136,83,77,71,18,785,0
81.29,50,1220,746,326,134,82,77,70,17,779,0
81.49,50,1219,735,321,132,82,76,70,17,774,0
81.68,50,1217,724,315,130,81,76,69,17,768,0
81.88,50,1216,713,309,128,80,75,69,17,763,0
82.09,49,1214,701,303,126,79,75,69,17,757,0
82.31,49,1213,690,297,124,79,74,68,16,750,0
82.54,49,1212,679,290,122,78,74,68,16,744,0
82.75,49,1211,667,284,120,77,73,67,16,739,0
82.95,48,1211,657,279,118,77,73,67,16,732,0
83.14,48,1209,646,273,116,76,72,67,16,727,0
83.33,48,1207,637,268,114,75,72,66,15,721,0
83.53,48,1207,627,263,113,75,72,66,15,716,0
83.76,48,1206,618,258,111,74,71,66,15,712,0
83.97,48,1204,609,253,109,73,71,65,15,706,0
84.18,47,1204,600,248,108,73,70,65,15,701,0
84.38,47,1202,591,243,107,72,70,64,14,696,0
84.58,47,1201,580,237,105,71,69,64,14,690,0
84.79,47,1200,569,231,103,71,69,64,14,684,0
85.02,47,1199,557,224,100,70,68,63,14,678,0
85.25,46,1198,545,217,98,69,68,63,14,671,0
85.47,46,1197,530,209,95,68,67,62,13,664,0
85.73,46,1195,516,201,93,67,66,62,13,656,0
85.93,45,1193,500,192,90,66,66,61,13,648,0
86.11,45,1192,485,184,87,65,65,61,12,640,0
86.28,45,1191,470,176,84,64,64,60,12,632,0
86.47,44,1189,454,167,81,63,63,59,12,625,0
86.66,44,1187,438,158,79,62,63,59,12,616,0
86.89,44,1186,422,150,76,61,62,58,11,607,0
87.12,43,1183,406,141,73,60,61,58,11,598,0
87.36,43,1180,389,132,69,58,61,57,11,588,0
87.56,43,1180,374,124,67,57,60,56,10,580,0
87.75,42,1179,361,116,64,57,59,56,10,572,0
87.96,42,1177,348,111,62,56,59,55,10,565,0
88.18,42,1175,337,105,60,55,58,55,10,559,0
88.41,42,1174,328,100,58,54,58,55,9,554,0
88.63,42,1173,320,95,57,54,57,55,9,550,0
88.83,41,1172,314,92,56,53,57,54,9,547,0
89.04,41,1171,310,90,55,53,57,54,9,544,0
89.23,41,1170,307,88,54,53,57,54,9,542,0
89.44,41,1167,304,87,54,53,57,54,9,541,0
89.67,41,1166,302,86,53,53,56,54,9,540,0
89.87,41,1166,301,85,53,52,56,54,9,539,0
90.07,41,1165,299,84,53,52,56,54,9,538,0
90.28,41,1163,299,83,53,52,56,54,9,537,0
90.5,41,1163,297,82,52,52,56,54,9,536,0
90.75,41,1161,296,81,52,52,56,54,9,535,0
90.98,41,1160,294,80,52,52,56,53,9,534,0
91.17,41,1158,292,80,51,52,56,53,9,532,0
91.36,41,1157,291,79,51,52,56,53,8,532,0
91.55,41,1156,289,78,51,51,56,53,8,531,0
91.75,41,1155,288,77,50,51,56,53,8,530,0
91.96,41,1154,286,76,50,51,55,53,8,529,0
92.18,41,1151,284,75,50,51,55,53,8,528,0
92.4,41,1149,283,74,49,51,55,53,8,527,0
92.63,41,1148,281,73,49,51,55,53,8,526,0
92.85,41,1147,280,72,49,51,55,53,8,524,0
93.09,41,1146,278,71,48,51,55,53,8,524,0
93.29,41,1144,276,71,48,51,55,53,8,523,0
93.48,40,1143,275,70,48,50,55,53,8,523,0
93.67,40,1142,274,69,47,50,55,53,8,521,0
93.86,40,1140,272,68,47,50,54,52,8,520,0
94.06,40,1137,271,68,47,50,54,52,8,519,0
94.28,40,1136,269,67,47,50,54,52,8,518,0
94.51,40,1134,268,66,46,50,54,52,8,518,0
