Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
55.21,47,1046,750,360,149,85,76,67,19,817,0
55.2,46,1020,713,339,143,83,74,66,18,792,0
55.16,46,1005,720,341,144,83,74,66,18,787,0
55.2,47,1000,719,340,144,83,74,66,18,783,0
55.16,47,999,714,336,142,82,74,66,18,779,0
55.17,47,998,715,335,142,82,74,66,18,778,0
55.16,47,997,713,333,141,82,73,66,18,777,0
55.14,47,1008,714,333,141,82,74,67,18,777,0
55.16,47,1007,713,331,140,82,74,67,18,773,0
55.15,47,1010,710,329,140,82,74,67,18,773,0
55.15,47,1012,707,327,139,82,74,67,18,778,0
55.13,47,1010,705,325,138,81,74,67,18,770,0
55.15,47,1009,702,323,137,81,73,67,18,767,0
55.15,47,1008,699,321,137,81,73,67,18,765,0
55.15,47,1010,698,320,136,81,73,67,18,764,0
55.18,48,1023,695,316,135,81,73,67,18,765,0
55.14,47,1009,693,317,135,81,73,66,18,763,0
55.14,47,1010,689,314,134,80,73,66,17,761,0
55.16,48,1023,688,311,134,80,73,67,17,764,0
55.14,47,1011,686,311,133,80,73,66,17,758,0
55.16,48,1011,686,311,134,80,73,66,17,758,0
55.15,48,1024,678,305,131,80,73,66,17,757,0
55.14,48,1014,682,308,133,80,73,66,17,755,0
55.14,48,1042,677,305,131,80,74,67,17,757,0
55.13,48,1032,679,306,132,80,74,66,17,754,0
55.13,48,1049,675,302,131,79,74,67,17,756,0
55.13,48,1037,676,304,131,80,74,66,17,752,0
55.13,48,1053,674,302,131,79,74,67,17,752,0
55.15,48,1041,675,304,131,79,74,67,17,750,0
55.14,48,1058,675,302,131,79,74,67,17,755,0
55.15,48,1050,683,307,133,80,74,67,17,754,0
55.17,49,1067,687,307,132,80,75,68,17,760,0
55.14,49,1071,698,312,134,81,75,68,18,766,0
55.14,49,1063,721,325,138,82,76,69,18,774,0
55.19,50,1079,752,339,143,84,77,70,18,792,0
55.12,51,1079,794,361,150,86,79,72,19,811,0
55.14,52,1084,844,387,159,90,81,73,20,839,0
55.11,54,1096,907,419,169,94,84,76,21,873,0
55.12,55,1104,984,458,182,98,87,79,23,912,0
55.14,57,1115,1058,497,195,103,91,82,24,954,0
55.13,58,1106,1138,540,208,107,94,84,26,991,0
55.11,60,1122,1220,581,222,112,97,87,27,1037,0
55.11,62,1134,1305,624,236,117,101,90,29,1081,0
55.11,63,1140,1383,664,249,122,104,93,30,1123,0
55.12,65,1132,1474,713,264,127,108,96,32,1166,0
