Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
55.27,23,261,648,345,143,73,64,47,17,554,0
55.29,22,254,604,315,133,69,61,45,16,517,0
55.28,22,254,605,317,133,69,61,45,16,510,0
55.3,22,253,603,312,132,69,61,45,16,508,0
55.28,22,251,599,309,131,68,61,45,15,499,0
55.32,22,252,599,309,131,68,61,45,15,494,0
55.3,22,252,599,308,131,68,61,45,15,489,0
55.28,22,254,593,309,131,68,61,44,15,504,0
55.3,22,254,594,306,130,68,61,44,15,491,0
55.29,22,254,590,302,129,67,60,44,15,484,0
55.32,22,254,586,300,128,67,60,44,15,483,0
55.32,22,255,588,300,128,67,60,44,15,480,0
55.24,22,255,586,299,127,67,60,44,15,476,0
55.26,22,256,584,296,126,66,60,44,15,475,0
55.31,22,255,586,299,127,67,60,44,15,476,0
55.28,22,255,579,294,126,66,60,44,14,468,0
55.3,22,255,576,291,125,66,59,44,14,465,0
55.26,22,255,577,292,125,66,60,44,14,470,0
55.27,22,254,571,288,123,65,59,43,14,464,0
55.27,22,255,570,286,123,65,59,43,14,462,0
55.28,22,254,570,287,123,65,59,43,14,461,0
55.32,22,255,570,288,123,65,60,43,14,463,0
55.29,22,256,569,287,122,65,60,43,14,458,0
55.26,22,256,568,286,122,65,59,43,14,457,0
55.28,21,256,564,283,121,64,59,43,14,453,0
55.3,21,256,563,282,121,64,59,43,14,450,0
55.29,21,256,565,286,123,65,59,43,14,463,0
55.31,22,255,566,285,122,65,59,43,14,457,0
55.3,22,256,570,287,123,65,59,43,14,458,0
55.3,22,256,580,293,125,65,60,44,14,461,0
55.29,22,257,595,301,128,66,60,44,15,467,0
55.29,23,257,619,317,132,68,61,45,15,479,0
55.32,23,259,652,336,140,71,63,46,16,497,0
55.22,24,261,692,359,147,73,65,48,16,516,0
55.29,25,264,742,389,157,77,67,49,17,543,0
55.33,27,268,803,426,170,81,70,52,19,574,0
55.3,28,271,864,462,182,85,72,54,20,605,0
55.34,30,278,935,504,196,90,76,56,21,649,0
55.35,31,278,995,540,208,94,78,58,22,679,0
55.3,33,281,1061,578,221,99,81,61,24,713,0
55.34,34,286,1129,618,234,103,84,63,25,751,0
55.34,36,290,1196,658,247,108,87,65,26,785,0
55.32,37,293,1264,698,261,112,90,67,28,820,0
55.28,38,297,1328,737,274,117,93,70,29,857,0
55.33,39,301,1406,781,288,122,96,72,29,899,0
