Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
55.07,28,282,604,324,132,75,67,50,22,943,0
55.37,27,287,566,302,125,73,65,49,21,909,0
55.31,27,288,574,306,127,74,65,50,21,899,0
55.32,27,288,576,307,127,74,65,50,21,893,0
55.32,27,290,576,307,127,74,65,50,21,892,0
55.28,27,292,578,307,127,74,65,50,21,889,0
55.31,28,294,577,307,127,74,65,50,20,886,0
55.29,27,295,571,303,125,74,64,50,20,882,0
55.32,27,295,572,303,125,74,64,50,20,879,0
55.33,27,297,569,302,125,74,64,50,20,876,0
55.31,27,298,566,299,124,73,64,50,20,874,0
55.31,27,299,567,299,124,73,64,50,20,872,0
55.31,27,299,565,297,123,73,64,50,20,871,0
55.3,27,300,562,296,123,73,64,50,20,868,0
55.31,27,300,563,296,123,73,64,50,20,868,0
55.31,27,300,560,294,122,73,64,50,20,865,0
55.34,27,300,559,293,122,73,63,49,19,858,0
55.32,27,300,558,292,122,73,63,49,19,857,0
55.34,27,301,554,290,121,73,63,49,19,854,0
55.32,27,301,551,288,120,73,63,49,19,851,0
55.32,27,302,551,287,120,72,63,49,19,850,0
55.3,27,302,547,285,119,73,63,49,19,847,0
55.34,27,302,545,285,119,73,63,49,19,846,0
55.33,27,304,544,284,120,72,63,49,19,845,0
55.34,27,303,544,284,119,72,63,49,19,844,0
55.33,27,303,541,282,118,72,62,49,19,842,0
55.29,27,304,538,280,117,71,62,49,19,841,0
55.34,27,304,535,277,117,71,62,49,19,839,0
55.3,27,304,539,280,117,71,62,49,19,840,0
55.34,27,301,546,282,119,72,62,49,19,844,0
55.33,27,302,552,286,120,73,63,49,19,847,0
55.34,27,305,560,290,121,73,63,50,19,852,0
55.32,27,304,572,297,123,73,63,50,20,857,0
55.34,28,307,591,309,126,75,64,51,20,873,0
55.37,29,309,624,327,133,77,66,52,21,894,0
55.31,29,312,658,348,139,79,67,54,22,919,0
55.31,31,319,706,374,148,83,69,56,23,954,0
55.3,32,319,769,410,160,87,72,58,24,992,0
55.28,33,324,836,448,172,91,74,61,26,1037,0
55.28,35,328,899,484,184,95,77,64,27,1080,0
55.25,36,333,969,522,197,100,80,67,29,1124,0
55.24,37,337,1039,561,209,104,83,70,31,1170,0
55.3,39,342,1110,600,223,109,86,73,32,1217,0
55.34,40,346,1188,644,237,114,89,76,34,1266,0
55.35,42,351,1264,686,251,119,92,79,36,1316,0
