Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
55.09,32,358,617,304,127,74,71,47,17,657,0
55.31,30,344,574,283,120,71,69,45,16,616,0
55.3,31,341,581,285,120,72,69,45,15,612,0
55.28,30,364,589,289,122,73,69,46,16,607,0
55.27,31,361,586,286,121,73,69,46,16,605,0
55.24,31,356,587,286,120,73,69,45,15,600,0
55.25,31,343,590,290,121,73,69,46,16,605,0
55.29,31,348,584,286,120,73,69,46,15,600,0
55.23,31,344,580,285,119,73,68,46,15,591,0
55.26,31,346,583,286,119,73,68,46,15,594,0
55.28,31,363,587,288,120,73,69,46,15,602,0
55.28,31,366,583,285,119,73,69,46,15,600,0
55.21,31,374,580,282,118,73,68,46,15,594,0
55.29,31,367,581,282,119,73,68,46,15,587,0
55.26,31,361,578,281,118,72,68,46,15,590,0
55.27,31,362,578,280,118,72,68,46,15,587,0
55.27,31,363,575,279,118,72,68,46,15,585,0
55.26,31,366,580,282,119,72,68,46,15,586,0
55.23,31,366,581,281,118,72,68,47,15,569,0
55.27,31,371,579,278,117,72,68,47,15,570,0
55.27,31,375,576,276,116,72,68,47,15,570,0
55.27,31,379,574,275,116,71,68,47,15,569,0
55.26,31,380,571,274,116,71,67,46,15,566,0
55.27,31,371,567,273,115,71,67,46,15,568,0
55.26,31,374,565,272,115,71,67,46,15,565,0
55.26,31,373,563,270,114,71,67,46,15,562,0
55.28,31,387,578,278,118,72,68,47,15,581,0
55.27,31,384,577,277,117,72,68,47,15,562,0
55.26,31,388,578,275,117,72,68,47,15,562,0
55.27,31,389,578,275,116,72,68,47,15,562,0
55.27,31,392,584,278,117,72,68,47,15,565,0
55.24,32,394,598,285,120,73,69,48,15,571,0
55.25,32,398,614,294,122,74,69,48,16,582,0
55.26,33,401,641,309,127,76,70,49,16,601,0
55.25,33,402,675,328,133,78,72,51,17,622,0
55.25,35,411,744,373,147,83,75,54,18,655,0
55.25,36,416,795,400,156,86,77,55,19,686,0
55.26,37,422,860,435,167,90,80,58,21,725,0
55.24,39,426,928,473,178,95,83,60,22,764,0
55.26,41,432,1014,520,194,100,86,63,24,807,0
55.26,42,438,1072,551,203,104,89,65,25,849,0
55.22,43,440,1141,590,216,108,92,67,26,890,0
55.19,45,439,1214,630,228,113,94,70,28,934,0
55.23,46,447,1292,674,243,118,98,72,30,981,0
55.24,48,453,1364,712,255,123,101,75,31,1029,0
