Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
76.86,62,749,1514,511,197,103,144,94,28,1464,0
77.05,62,749,1507,507,196,103,143,94,28,1461,0
77.26,62,747,1499,503,195,102,143,93,28,1457,0
77.47,62,746,1491,498,193,102,143,93,28,1454,0
77.67,61,746,1484,494,192,101,142,93,27,1451,0
77.88,61,745,1477,490,191,101,142,93,27,1448,0
78.08,61,745,1468,485,189,100,142,92,27,1444,0
78.29,61,744,1460,481,188,100,141,92,27,1440,0
78.5,61,743,1452,476,186,99,141,92,27,1437,0
78.71,61,741,1444,471,185,98,141,91,27,1433,0
78.92,60,743,1436,466,183,98,140,91,26,1429,0
79.14,60,742,1427,461,181,97,140,91,26,1425,0
79.36,60,740,1418,456,180,97,139,90,26,1421,0
79.58,60,740,1409,451,178,96,139,90,26,1417,0
79.8,60,739,1400,446,177,95,138,90,26,1413,0
79.99,59,738,1390,440,175,95,138,89,26,1408,0
80.19,59,737,1380,434,173,94,138,89,25,1403,0
80.38,59,736,1368,426,170,93,137,88,25,1398,0
80.58,59,736,1354,418,168,92,136,88,25,1391,0
80.8,58,735,1336,407,164,91,136,87,24,1382,0
81.02,58,734,1317,395,161,89,135,86,24,1374,0
81.21,57,733,1296,382,156,87,134,86,24,1362,0
81.41,57,731,1273,369,152,86,133,85,23,1350,0
81.6,56,730,1249,354,147,84,132,84,23,1337,0
81.81,56,729,1223,338,142,82,130,83,22,1323,0
82.02,55,727,1194,321,137,80,129,82,22,1309,0
82.26,54,725,1165,304,131,78,128,81,21,1294,0
82.5,54,724,1135,286,125,76,126,79,21,1279,0
82.72,53,722,1105,268,119,73,125,78,20,1265,0
82.91,53,720,1076,252,114,71,124,77,19,1251,0
83.09,52,719,1049,236,109,69,122,76,19,1240,0
83.28,51,718,1024,221,104,67,121,75,18,1228,0
83.47,51,717,1001,207,99,66,120,75,18,1217,0
83.68,50,716,980,196,95,64,119,74,18,1207,0
83.9,50,715,963,185,92,63,118,73,17,1198,0
84.12,50,713,947,176,89,62,118,73,17,1190,0
84.33,49,712,934,169,87,61,117,72,17,1184,0
84.54,49,712,923,161,84,60,116,72,17,1178,0
84.76,49,711,912,155,82,59,116,71,16,1173,0
84.96,49,711,903,150,80,59,116,71,16,1168,0
85.17,48,711,895,144,79,58,115,71,16,1163,0
85.4,48,711,887,139,77,57,115,70,16,1159,0
85.63,48,710,878,134,75,57,115,70,16,1156,0
85.85,48,709,869,129,74,56,114,70,15,1151,0
86.05,48,709,860,124,72,55,114,69,15,1147,0
86.22,47,708,851,119,70,55,113,69,15,1144,0
86.42,47,707,842,114,68,54,113,69,15,1139,0
86.63,47,706,832,108,67,53,112,68,15,1135,0
86.86,47,705,824,103,65,52,112,68,15,1131,0
87.08,47,704,814,97,63,52,112,67,14,1126,0
87.3,46,705,806,92,61,51,111,67,14,1122,0
87.51,46,704,799,87,59,50,111,67,14,1118,0
87.7,46,704,791,82,58,50,111,67,14,1113,0
87.9,46,703,783,78,56,49,110,66,14,1110,0
88.11,46,702,776,74,55,49,110,66,14,1107,0
88.32,45,702,769,70,54,48,110,66,14,1105,0
88.54,45,702,764,67,53,48,109,66,14,1103,0
88.75,45,701,760,65,52,47,109,65,13,1101,0
88.96,45,700,756,63,51,47,109,65,13,1099,0
89.19,45,700,754,62,51,47,109,65,13,1098,0
89.42,45,700,752,61,51,47,109,65,13,1099,0
89.61,45,699,751,60,50,47,109,65,13,1098,0
89.81,45,699,750,60,50,47,109,65,13,1098,0
90.0,45,699,750,59,50,47,109,65,13,1098,0
90.21,45,699,749,59,50,46,109,65,13,1099,0
90.43,45,698,748,59,50,46,109,65,13,1099,0
90.67,45,698,748,59,50,46,109,65,13,1098,0
90.89,45,698,748,58,50,46,109,65,13,1099,0
91.09,45,697,747,58,49,46,109,65,13,1099,0
91.28,45,697,747,58,49,46,109,65,13,1099,0
91.48,45,698,747,58,49,46,109,65,13,1100,0
91.69,45,697,746,58,49,46,109,65,13,1099,0
91.9,45,697,745,58,49,46,109,65,13,1100,0
92.12,44,696,744,57,49,46,109,65,13,1100,0
92.32,44,696,744,57,49,46,109,65,13,1100,0
92.53,44,696,744,57,49,46,109,65,13,1101,0
92.77,44,695,743,57,49,46,109,64,13,1100,0
93.0,44,695,743,57,49,46,109,64,13,1101,0
93.21,44,693,742,57,49,46,109,64,13,1101,0
93.41,44,694,742,56,49,46,109,64,13,1102,0
93.59,44,695,741,56,49,46,109,64,13,1103,0
93.78,44,695,741,56,48,46,109,64,13,1104,0
93.98,44,698,742,56,48,46,109,65,13,1105,0
94.18,44,697,742,56,48,46,109,65,13,1105,0
94.43,44,697,741,56,48,46,109,65,13,1106,0
