Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
76.86,60,611,1134,389,155,89,121,78,35,2851,0
77.08,59,611,1128,386,154,88,121,77,34,2846,0
77.29,59,611,1121,382,153,88,121,77,34,2842,0
77.49,59,611,1115,379,151,87,120,77,34,2840,0
77.7,59,610,1109,375,150,87,120,77,34,2835,0
77.9,59,610,1103,372,149,87,120,76,34,2829,0
78.11,59,610,1097,369,148,86,119,76,34,2830,0
78.31,59,610,1091,366,147,87,119,76,34,2827,0
78.5,58,610,1085,362,146,85,119,76,34,2823,0
78.71,58,609,1079,359,145,85,119,75,34,2821,0
78.93,58,609,1073,355,144,86,118,75,33,2824,0
79.14,58,608,1067,351,142,85,118,75,33,2819,0
79.37,58,609,1061,348,141,85,118,75,33,2819,0
79.59,58,609,1053,344,140,84,117,74,33,2816,0
79.81,58,608,1045,339,138,84,117,74,33,2812,0
80.02,57,608,1036,334,137,83,116,74,33,2809,0
80.21,57,607,1026,328,135,82,116,73,33,2806,0
80.41,57,607,1014,322,133,82,115,73,32,2802,0
80.61,57,606,1000,313,130,81,115,72,32,2798,0
80.82,56,605,984,304,127,80,114,72,32,2790,0
81.04,56,603,957,292,123,78,112,71,32,2778,0
81.24,56,607,940,283,120,77,112,70,32,2794,0
81.46,55,607,925,273,117,76,112,70,31,2784,0
81.67,55,608,907,262,113,74,111,69,31,2792,0
81.88,54,612,888,251,109,73,110,68,31,2774,0
82.08,54,611,868,240,106,72,109,67,30,2757,0
82.29,54,605,848,229,102,71,108,67,30,2743,0
82.5,53,602,830,220,99,70,107,66,29,2736,0
82.7,53,601,814,211,96,68,106,65,29,2718,0
82.91,53,600,801,203,94,68,106,65,29,2710,0
83.12,52,598,788,197,92,67,105,64,29,2704,0
83.33,52,597,778,191,90,66,105,64,29,2700,0
83.52,52,597,769,186,88,66,104,64,28,2698,0
83.75,52,595,761,181,87,65,104,63,28,2691,0
83.97,52,596,753,177,85,65,103,63,28,2689,0
84.2,52,596,745,172,84,64,103,63,28,2684,0
84.4,51,595,738,168,82,64,103,62,28,2680,0
84.59,51,594,730,163,81,63,102,62,28,2679,0
84.78,51,594,722,159,79,62,102,62,27,2671,0
84.98,51,593,713,153,77,62,101,61,27,2676,0
85.21,51,594,702,147,75,61,101,61,27,2673,0
85.45,50,593,692,141,73,60,100,60,27,2670,0
85.69,50,592,680,134,71,59,100,60,27,2665,0
85.89,50,592,669,128,69,59,99,59,27,2662,0
86.08,50,592,658,122,67,58,99,59,26,2659,0
86.27,50,591,648,116,65,57,99,59,26,2655,0
86.47,49,590,638,110,63,57,98,58,26,2653,0
86.68,49,590,628,104,61,56,98,58,26,2649,0
86.89,49,590,618,98,59,55,97,57,26,2648,0
87.11,49,590,609,93,57,55,97,57,26,2640,0
87.32,49,590,601,88,55,54,97,57,25,2636,0
87.52,48,589,593,83,54,54,96,57,25,2635,0
87.75,48,589,586,80,52,53,96,56,25,2628,0
87.95,48,588,581,76,51,53,95,56,25,2622,0
88.15,48,589,577,74,51,53,95,56,25,2624,0
88.39,48,589,574,72,50,52,95,56,25,2622,0
88.6,48,589,573,71,49,52,95,56,25,2624,0
88.82,48,590,572,70,49,52,95,56,25,2628,0
89.03,48,590,571,70,49,52,95,56,25,2628,0
89.23,48,591,571,70,49,52,95,56,25,2632,0
89.44,48,592,571,69,49,52,95,56,25,2636,0
89.64,48,593,571,69,49,52,95,56,25,2639,0
89.85,48,594,570,69,49,52,95,56,25,2645,0
90.08,48,594,572,69,48,52,95,56,25,2645,0
90.32,48,595,572,69,49,52,95,56,25,2649,0
90.54,48,597,572,69,49,52,95,56,25,2656,0
90.75,48,598,573,69,48,52,95,56,25,2664,0
90.93,48,599,574,68,48,52,95,56,25,2665,0
91.12,48,597,573,68,48,52,95,56,25,2662,0
91.31,48,598,574,68,48,52,95,56,25,2670,0
91.53,48,599,575,68,48,52,95,56,25,2672,0
91.76,48,599,575,68,48,52,95,56,25,2675,0
91.95,48,601,576,68,48,52,95,56,26,2678,0
92.16,48,601,576,68,48,52,95,56,26,2683,0
92.41,48,603,576,68,48,52,95,56,26,2686,0
92.65,48,604,577,68,48,52,95,57,26,2692,0
92.9,48,605,578,67,48,52,95,57,26,2698,0
93.09,48,606,579,67,48,52,95,57,26,2702,0
93.27,48,606,579,67,48,52,95,57,26,2709,0
93.46,48,607,580,67,48,52,95,57,26,2709,0
93.65,48,608,580,67,48,52,95,57,26,2714,0
93.84,48,609,580,67,48,52,95,57,26,2717,0
94.03,48,610,581,67,48,52,95,57,26,2721,0
94.27,48,610,581,67,48,52,95,57,26,2729,0
94.51,48,610,581,67,48,52,95,57,26,2739,0
