Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
76.88,23,116,790,386,146,59,45,41,17,487,0
77.07,23,116,785,383,145,58,45,41,17,484,0
77.24,23,116,779,380,144,58,44,41,16,482,0
77.43,23,115,774,377,142,57,44,40,16,479,0
77.63,23,115,769,374,141,57,44,40,16,477,0
77.83,23,115,763,371,140,57,44,40,16,474,0
78.04,23,114,757,367,139,56,43,40,16,471,0
78.25,22,114,751,364,138,56,43,39,16,468,0
78.46,22,114,746,361,137,55,43,39,16,466,0
78.66,22,113,740,357,136,55,43,39,16,463,0
78.87,22,113,735,355,134,55,42,39,16,461,0
79.07,22,112,729,352,133,54,42,38,15,458,0
79.29,22,112,723,348,132,54,42,38,15,455,0
79.51,22,112,717,345,131,53,41,38,15,453,0
79.72,22,111,711,341,130,53,41,38,15,450,0
79.93,21,111,705,337,128,53,41,37,15,447,0
80.13,21,110,698,333,127,52,41,37,15,444,0
80.34,21,110,691,329,126,51,40,37,15,441,0
80.55,21,109,683,324,125,51,40,36,15,437,0
80.75,21,109,674,319,123,50,39,36,14,433,0
80.95,20,108,663,312,121,49,39,36,14,429,0
81.18,20,107,651,305,118,49,38,35,14,424,0
81.37,20,106,638,297,116,48,38,35,14,418,0
81.57,20,106,625,289,113,47,37,34,14,412,0
81.77,19,105,611,281,110,46,36,33,13,406,0
81.99,19,104,597,272,107,45,36,33,13,400,0
82.19,19,103,583,263,104,43,35,32,13,393,0
82.41,18,102,568,254,101,42,34,32,12,387,0
82.62,18,101,553,246,98,41,34,31,12,380,0
82.84,18,100,539,237,94,40,33,30,12,373,0
83.05,17,99,526,229,92,39,32,30,12,367,0
83.24,17,99,513,222,89,38,32,29,11,361,0
83.44,17,98,501,215,86,38,31,29,11,355,0
83.65,17,97,491,209,84,37,31,28,11,349,0
83.9,16,97,481,204,82,36,30,28,11,345,0
84.09,16,96,473,199,80,36,30,28,11,341,0
84.27,16,96,466,195,79,35,29,27,10,337,0
84.46,16,95,459,190,77,35,29,27,10,334,0
84.66,16,95,452,186,76,34,29,27,10,330,0
84.88,16,94,444,182,74,34,28,26,10,327,0
85.1,15,94,436,177,72,33,28,26,10,323,0
85.35,15,93,427,171,70,32,27,26,10,319,0
85.58,15,93,417,165,68,32,27,25,10,316,0
85.79,15,92,407,159,66,31,26,25,9,312,0
85.98,14,92,396,152,64,30,26,24,9,307,0
86.17,14,91,384,145,61,29,25,24,9,302,0
86.35,14,90,371,137,58,28,25,23,9,297,0
86.55,14,89,358,129,56,27,24,23,9,291,0
86.76,13,88,345,120,52,26,23,22,8,286,0
86.99,13,87,329,111,49,25,23,21,8,279,0
87.21,13,87,315,102,46,24,22,21,8,272,0
87.42,12,86,300,93,43,23,21,20,7,265,0
87.64,12,85,286,85,40,22,20,20,7,258,0
87.84,12,84,273,77,37,21,20,19,7,252,0
88.04,11,83,261,70,34,20,19,19,7,246,0
88.26,11,83,250,63,32,19,19,18,6,240,0
88.48,11,83,240,58,29,18,18,18,6,235,0
88.69,11,82,232,53,28,18,18,17,6,230,0
88.9,11,81,225,49,26,17,17,17,6,226,0
89.11,11,81,220,46,25,17,17,17,6,223,0
89.31,10,81,216,44,24,17,17,17,6,220,0
89.51,10,81,213,42,23,16,17,17,6,219,0
89.71,10,81,212,41,23,16,17,17,6,217,0
89.95,10,81,210,40,23,16,17,17,5,216,0
90.16,10,81,210,40,22,16,16,16,5,216,0
90.37,10,80,209,39,22,16,16,16,5,215,0
90.59,10,81,208,39,22,16,16,16,5,215,0
90.79,10,81,208,39,22,16,16,16,5,214,0
90.99,10,81,208,39,22,16,16,16,5,214,0
91.2,10,81,207,38,22,16,16,16,5,214,0
91.43,10,81,207,38,22,16,16,16,5,213,0
91.63,10,80,207,38,22,16,16,16,5,213,0
91.85,10,81,206,38,22,16,16,16,5,213,0
92.07,10,81,206,38,22,16,16,16,5,213,0
92.27,10,81,206,37,22,16,16,16,5,213,0
92.47,10,81,206,37,21,16,16,16,5,212,0
92.68,10,81,206,37,21,16,16,16,5,212,0
92.9,10,81,206,37,21,16,16,16,5,212,0
93.12,10,80,205,37,21,15,16,16,5,212,0
93.33,10,81,205,37,21,15,16,16,5,211,0
93.55,10,81,205,37,21,15,16,16,5,211,0
93.74,10,81,205,36,21,15,16,16,5,211,0
93.94,10,81,205,36,21,15,16,16,5,211,0
94.15,10,81,204,36,21,15,16,16,5,211,0
94.37,10,80,204,36,21,15,16,16,5,211,0
94.58,10,81,204,36,21,15,16,16,5,211,0
