Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
76.86,84,1433,1810,659,262,154,219,135,41,2880,0
77.06,84,1432,1802,655,261,154,219,134,41,2877,0
77.25,84,1432,1792,649,259,153,218,134,41,2872,0
77.45,84,1431,1783,644,257,152,218,134,41,2867,0
77.66,83,1431,1774,638,255,152,218,133,41,2862,0
77.87,83,1430,1765,632,253,151,217,133,40,2857,0
78.08,83,1428,1755,627,251,150,217,132,40,2851,0
78.29,83,1428,1745,621,250,150,216,132,40,2844,0
78.5,83,1426,1736,616,248,149,216,132,40,2840,0
78.73,82,1424,1726,610,246,148,215,131,40,2834,0
78.93,82,1423,1717,604,244,147,215,131,40,2829,0
79.14,82,1422,1707,598,242,147,214,130,39,2823,0
79.34,82,1421,1698,593,240,146,214,130,39,2818,0
79.54,81,1420,1688,587,238,145,213,130,39,2814,0
79.75,81,1420,1679,581,236,145,213,129,39,2809,0
79.97,81,1419,1669,575,234,144,212,129,39,2805,0
80.17,81,1418,1658,569,232,143,212,128,38,2798,0
80.36,80,1417,1646,562,230,142,211,128,38,2793,0
80.56,80,1415,1633,553,227,141,211,128,38,2780,0
80.77,80,1415,1617,544,224,140,210,127,38,2777,0
80.99,79,1413,1599,533,220,139,209,126,37,2771,0
81.19,79,1409,1578,520,216,137,208,125,37,2760,0
81.41,78,1409,1553,505,211,135,207,124,36,2749,0
81.62,78,1408,1526,488,205,133,206,123,36,2737,0
81.82,77,1406,1498,470,200,131,205,122,35,2724,0
82.02,77,1405,1469,452,194,129,203,121,35,2709,0
82.22,76,1403,1438,433,187,126,202,120,34,2695,0
82.44,75,1401,1406,413,181,124,200,119,34,2679,0
82.66,74,1400,1374,393,174,121,199,117,33,2664,0
82.87,74,1396,1342,373,168,119,197,116,32,2649,0
83.08,73,1395,1313,354,162,117,196,115,32,2636,0
83.28,72,1392,1282,336,156,115,195,114,31,2619,0
83.48,72,1391,1255,320,150,113,193,113,31,2605,0
83.69,71,1389,1230,305,145,111,192,112,30,2593,0
83.92,71,1389,1208,292,140,109,191,111,30,2581,0
84.13,70,1388,1189,281,136,108,190,111,29,2571,0
84.34,70,1387,1173,271,133,107,189,110,29,2560,0
84.53,70,1386,1158,262,130,105,189,109,29,2553,0
84.74,69,1385,1144,254,127,104,188,109,28,2545,0
84.94,69,1385,1131,245,124,103,187,108,28,2538,0
85.16,69,1384,1118,237,121,102,187,108,28,2532,0
85.4,68,1383,1105,229,119,101,186,107,28,2527,0
85.63,68,1383,1093,221,116,100,186,107,27,2520,0
85.83,68,1382,1081,214,113,99,185,106,27,2513,0
86.03,67,1382,1068,205,111,98,184,106,27,2508,0
86.21,67,1381,1054,197,108,97,184,105,27,2501,0
86.41,67,1379,1039,187,105,96,183,105,26,2494,0
86.62,66,1378,1024,177,101,95,182,104,26,2487,0
86.85,66,1377,1007,167,98,94,181,103,26,2480,0
87.07,66,1376,991,157,95,92,181,103,25,2473,0
87.29,65,1361,970,147,92,90,179,101,25,2455,0
87.49,65,1361,950,135,88,89,178,101,24,2434,0
87.68,64,1361,940,129,86,89,178,100,24,2428,0
87.89,64,1361,929,121,83,88,177,100,24,2423,0
88.1,64,1359,918,114,81,87,177,100,24,2419,0
88.31,64,1359,908,108,79,86,176,99,23,2417,0
88.54,63,1359,898,103,77,85,175,99,23,2412,0
88.76,63,1358,890,97,75,85,175,99,23,2410,0
88.98,63,1359,884,94,74,84,175,98,23,2408,0
89.2,63,1360,880,91,73,84,174,98,23,2406,0
89.41,63,1360,877,89,72,84,174,98,23,2407,0
89.61,63,1360,874,88,71,84,174,98,23,2408,0
89.81,63,1360,872,87,71,83,174,98,23,2410,0
90.01,63,1359,871,86,71,83,174,98,23,2411,0
90.22,63,1359,870,86,71,83,174,98,22,2411,0
90.45,63,1359,869,85,70,83,174,98,22,2413,0
90.65,63,1359,869,85,70,83,174,98,22,2414,0
90.86,63,1358,869,85,70,83,174,98,22,2417,0
91.06,63,1359,869,85,70,83,174,98,22,2418,0
91.27,63,1359,869,84,70,83,174,98,22,2420,0
91.48,63,1358,869,84,70,83,174,98,23,2424,0
91.69,63,1358,869,84,70,83,174,98,23,2424,0
91.91,63,1358,868,84,70,83,174,98,23,2422,0
92.12,62,1357,867,83,70,83,174,98,23,2422,0
92.32,62,1357,867,83,70,83,174,98,23,2422,0
92.53,62,1358,868,83,69,83,174,98,23,2420,0
92.78,62,1357,867,83,69,83,174,98,23,2417,0
92.99,62,1357,868,83,69,83,174,98,23,2418,0
93.19,62,1357,868,83,69,83,174,98,23,2415,0
93.38,62,1357,868,82,69,83,174,98,23,2413,0
93.58,62,1356,867,82,69,83,174,97,23,2413,0
93.79,62,1356,867,82,69,83,174,97,23,2412,0
94.0,62,1356,867,82,69,82,174,97,23,2409,0
94.22,62,1355,867,82,69,82,174,97,23,2410,0
94.42,62,1358,867,82,69,83,174,98,23,2408,0
