Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
55.26,89,1963,1333,230,116,117,163,97,22,1849,0
55.39,88,1904,1299,213,112,115,159,95,21,1852,0
55.37,86,1830,1280,205,109,112,156,93,22,1775,0
55.38,87,1826,1283,207,110,113,156,93,22,1783,0
55.4,87,1815,1285,208,110,113,155,93,22,1773,0
55.39,87,1800,1277,204,109,112,154,93,20,1767,0
55.38,87,1796,1273,202,108,112,154,93,21,1753,0
55.42,86,1786,1267,200,107,111,152,92,21,1733,0
55.43,87,1781,1268,202,107,111,152,92,20,1729,0
55.36,86,1774,1263,199,106,110,152,92,21,1721,0
55.36,86,1770,1262,199,106,110,151,92,20,1719,0
55.36,86,1765,1258,198,106,110,151,91,21,1707,0
55.37,86,1763,1260,198,106,110,151,91,21,1705,0
55.39,86,1763,1260,197,105,110,151,91,21,1713,0
55.34,86,1754,1256,196,105,109,150,91,20,1690,0
55.37,86,1755,1256,196,105,109,150,91,21,1690,0
55.39,86,1749,1254,195,104,109,149,91,20,1683,0
55.38,86,1744,1254,195,104,109,148,91,20,1669,0
55.36,86,1743,1251,193,103,108,148,91,20,1665,0
55.37,86,1742,1251,193,103,108,147,90,20,1662,0
55.39,86,1741,1253,194,104,108,147,91,20,1664,0
55.38,86,1736,1248,192,103,108,147,90,20,1667,0
55.38,86,1733,1248,193,103,108,146,90,20,1656,0
55.41,86,1735,1249,193,103,108,147,90,20,1653,0
55.37,86,1732,1249,193,103,108,146,90,20,1652,0
55.38,86,1730,1250,194,103,108,146,90,20,1648,0
55.41,86,1731,1259,199,105,108,147,91,19,1651,0
55.37,86,1732,1271,205,107,109,147,91,20,1658,0
55.42,86,1729,1286,214,110,110,148,92,21,1663,0
55.38,87,1733,1316,231,115,112,149,93,21,1682,0
55.43,88,1737,1361,256,123,115,151,95,22,1695,0
55.42,89,1734,1414,286,132,118,153,97,23,1718,0
55.43,90,1738,1480,323,145,122,156,99,24,1736,0
55.41,92,1743,1562,368,160,128,160,103,24,1773,0
55.4,94,1744,1650,418,177,133,163,106,26,1805,0
55.38,95,1752,1745,469,194,139,167,110,27,1841,0
55.4,97,1757,1840,523,212,145,172,114,28,1881,0
55.42,99,1762,1937,576,229,151,176,118,30,1917,0
55.4,101,1764,2037,632,248,158,180,121,32,1958,0
55.39,103,1770,2131,684,265,164,184,125,33,1994,0
55.43,105,1776,2239,743,285,170,189,129,35,2032,0
55.43,107,1781,2342,799,304,177,193,133,37,2073,0
55.39,109,1789,2447,855,322,183,197,137,38,2111,0
55.42,111,1794,2555,915,342,190,202,142,40,2160,0
55.41,112,1796,2652,970,360,196,206,145,41,2189,0
