Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
55.23,75,1539,1293,366,169,117,142,88,26,1084,0
55.38,74,1517,1225,331,158,113,138,85,24,1029,0
55.32,74,1517,1231,337,160,113,138,86,24,1024,0
55.29,74,1518,1224,332,158,113,138,85,24,1013,0
55.3,74,1526,1228,329,157,112,138,85,24,1012,0
55.33,74,1516,1230,335,159,112,138,85,24,1009,0
55.33,74,1523,1233,337,159,112,138,85,24,1010,0
55.3,74,1526,1231,335,158,113,138,85,24,1008,0
55.26,74,1530,1226,330,156,112,138,85,24,1003,0
55.28,74,1530,1225,329,156,112,138,85,24,1001,0
55.28,74,1534,1225,329,156,111,138,85,23,1001,0
55.31,74,1535,1223,328,155,112,138,85,23,999,0
55.24,74,1523,1221,330,156,112,138,85,23,996,0
55.27,74,1539,1222,326,154,112,138,85,23,998,0
55.31,75,1537,1223,327,155,112,138,85,23,996,0
55.27,75,1538,1221,326,154,112,138,85,23,994,0
55.27,75,1536,1221,328,154,112,138,85,23,994,0
55.25,75,1544,1222,325,153,112,138,85,23,994,0
55.28,75,1545,1225,324,154,112,138,85,23,994,0
55.29,75,1545,1222,324,153,112,138,85,23,992,0
55.3,75,1545,1225,327,154,112,138,85,23,994,0
55.3,75,1551,1224,325,153,112,139,85,23,992,0
55.28,75,1547,1224,326,153,111,139,85,23,991,0
55.3,75,1551,1223,325,153,112,139,85,23,990,0
55.28,75,1554,1227,326,153,112,139,86,23,991,0
55.28,75,1557,1229,327,153,113,140,86,23,993,0
55.33,75,1572,1238,330,155,113,141,86,23,998,0
55.29,76,1578,1243,332,155,114,141,87,23,997,0
55.29,76,1590,1257,340,158,114,142,87,24,1003,0
55.32,76,1587,1279,354,163,115,143,88,24,1010,0
55.26,77,1599,1308,370,168,117,145,89,25,1024,0
55.32,78,1600,1362,409,180,121,147,92,26,1051,0
55.28,80,1609,1430,455,194,126,151,94,27,1083,0
55.31,82,1617,1531,522,215,134,156,98,29,1129,0
55.31,84,1630,1651,600,240,143,161,103,32,1186,0
55.3,87,1646,1789,691,268,153,168,109,34,1249,0
55.33,91,1655,1970,812,307,166,177,117,38,1329,0
55.3,95,1669,2166,940,347,180,186,125,42,1419,0
55.3,99,1688,2365,1068,387,194,195,133,46,1508,0
55.31,104,1703,2586,1213,433,210,205,142,51,1608,0
55.31,109,1720,2809,1357,479,226,216,152,55,1708,0
55.32,112,1736,3028,1499,524,241,226,161,59,1805,0
55.3,117,1753,3253,1644,570,258,236,170,64,1906,0
55.33,121,1760,3484,1797,618,274,247,180,69,2012,0
55.33,126,1778,3710,1943,664,290,257,190,73,2111,0
