Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
55.17,27,285,630,194,90,53,75,45,19,1253,1
55.32,26,282,601,172,84,50,73,44,18,1225,1
55.31,26,282,603,172,85,50,73,44,18,1216,1
55.32,26,278,599,170,82,50,72,44,18,1211,1
55.31,26,278,600,170,82,49,72,44,18,1213,1
55.29,26,278,601,169,82,49,72,44,18,1211,1
55.28,26,277,598,167,82,49,71,44,17,1202,1
55.29,26,278,599,166,81,49,71,44,17,1197,1
55.29,26,278,600,166,82,49,71,44,17,1195,1
55.31,26,278,599,164,81,48,71,44,17,1191,1
55.29,26,277,598,164,80,48,71,44,17,1185,1
55.3,26,276,597,163,80,48,71,44,17,1186,1
55.33,26,276,598,163,80,48,71,44,17,1182,1
55.31,26,276,600,164,80,48,71,44,17,1177,1
55.28,26,277,600,163,80,48,71,44,17,1181,1
55.31,26,278,603,164,81,48,71,44,17,1173,1
55.32,27,280,605,163,80,48,71,44,17,1181,1
55.3,27,280,605,162,80,48,71,44,17,1187,1
55.27,27,280,605,162,80,48,71,44,17,1176,1
55.31,27,280,607,162,80,48,71,44,17,1181,1
55.29,27,280,608,162,80,48,71,44,17,1179,1
55.29,27,280,608,161,79,48,71,44,17,1176,1
55.3,27,281,610,161,80,48,71,44,17,1180,1
55.29,27,280,609,161,79,48,71,45,17,1183,1
55.3,27,281,609,160,79,48,71,44,17,1183,1
55.31,27,281,609,160,79,48,71,44,17,1178,1
55.31,27,282,610,160,79,48,71,44,17,1175,1
55.31,27,282,612,161,79,48,71,45,17,1176,1
55.31,27,282,613,162,80,48,71,45,17,1173,1
55.31,27,283,619,164,81,48,72,45,17,1176,1
55.3,27,283,626,168,82,49,72,45,17,1187,1
55.31,28,284,638,175,84,50,72,45,17,1198,1
55.32,28,285,657,186,87,51,73,46,18,1199,1
55.3,29,287,689,204,93,53,75,47,18,1218,1
55.28,29,290,727,227,100,56,76,48,19,1232,1
55.31,31,294,784,260,111,59,79,50,20,1260,1
55.3,32,298,861,306,126,65,82,53,21,1288,1
55.29,34,303,949,357,143,71,86,56,23,1327,1
55.28,36,309,1050,415,162,78,90,59,25,1378,1
55.26,39,316,1168,484,185,86,95,63,27,1424,1
55.33,41,322,1283,551,207,94,98,67,29,1464,1
55.3,44,329,1402,620,229,102,103,71,31,1517,1
55.31,46,336,1525,691,253,110,108,76,33,1571,1
55.27,49,342,1649,764,277,118,114,80,35,1627,1
55.26,52,350,1772,835,300,126,119,84,37,1684,1
