Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
55.24,49,524,732,206,98,70,100,61,26,2200,0
55.23,49,515,708,194,94,68,99,60,25,2172,0
55.27,49,518,714,195,95,68,99,60,25,2150,0
55.23,49,520,712,195,94,68,99,60,25,2151,0
55.24,49,515,709,193,94,68,98,60,25,2122,0
55.24,49,514,707,192,93,68,98,60,25,2121,0
55.21,49,523,709,192,93,68,99,60,25,2126,0
55.2,49,521,705,190,93,67,98,60,25,2115,0
55.21,49,522,704,189,93,67,98,60,25,2111,0
55.23,49,521,703,189,92,67,98,60,25,2101,0
55.19,48,521,702,187,92,67,98,60,25,2099,0
55.23,48,511,699,187,92,67,97,60,25,2084,0
55.18,48,513,700,188,92,67,97,60,25,2092,0
55.21,48,513,698,185,91,66,97,60,24,2072,0
55.2,48,515,701,187,92,67,97,60,24,2085,0
55.19,48,515,697,185,91,66,97,60,24,2070,0
55.23,48,517,698,185,91,67,97,60,24,2077,0
55.21,48,517,697,184,91,66,97,60,24,2070,0
55.21,48,517,696,184,90,66,97,60,24,2064,0
55.22,48,522,698,183,90,66,97,60,24,2072,0
55.18,48,524,699,184,90,66,97,60,24,2078,0
55.25,48,517,697,185,90,66,97,60,24,2064,0
55.25,48,523,696,183,90,66,97,60,24,2056,0
55.25,48,522,697,183,90,66,97,60,24,2066,0
55.29,48,518,696,183,90,66,97,60,24,2056,0
55.27,48,522,698,184,90,66,97,60,24,2066,0
55.25,48,523,698,183,90,66,97,60,24,2056,0
55.25,48,524,700,183,90,66,97,60,24,2063,0
55.24,48,523,701,185,90,66,97,60,24,2050,0
55.28,48,524,709,188,92,66,98,60,24,2067,0
55.26,49,525,717,192,93,67,98,61,24,2059,0
55.26,49,528,735,201,95,68,99,61,25,2070,0
55.27,49,529,759,214,100,69,100,62,25,2071,0
55.27,50,531,803,239,107,72,102,64,26,2097,0
55.24,51,537,856,267,116,75,104,66,27,2111,0
55.25,53,545,930,305,128,80,107,69,28,2148,0
55.26,55,551,1020,354,144,86,111,72,29,2177,0
55.28,57,561,1128,412,163,91,116,76,31,2230,0
55.23,59,568,1249,477,184,99,121,81,33,2279,0
55.27,62,573,1378,546,206,106,126,86,35,2328,0
55.26,65,581,1514,619,229,115,132,91,38,2386,0
55.23,67,588,1637,685,250,122,137,95,40,2435,0
55.21,69,592,1760,752,271,130,143,100,42,2482,0
55.23,72,602,1897,824,294,138,149,105,44,2541,0
55.16,75,610,2022,892,316,146,154,110,46,2593,0
