cons,inst,lot
3d60e99b-9213-472a-a855-29a1b0d6adb9,InjMold5,TKM-3386
a647050f-fb07-4384-b735-4e71d6cff9f0,InjMold5,TKM-3386
da3bbbf1-9e30-4c15-b374-54b78855d9c1,InjMold5,TKM-3386
8ffda590-63eb-4523-8525-4253d61ac8c3,InjMold5,TKM-3386
6d10e62f-4a91-4824-a47f-2ab63db06729,InjMold5,TKM-3386
0acb66d1-40e8-4c39-9e45-7ad656529d9e,Injmold1,TKM-3386
1497dca5-33de-4a34-be5a-091bd4d65422,Injmold1,TKM-3386
a82b8a44-a8be-4cdc-ad33-d4b6354dadca,Injmold1,TKM-3386
7c1ea47c-2970-4f14-85f1-6c26d90f2dcf,Injmold1,TKM-3386
a23e333e-e27e-486f-8180-9e27c9149afe,Injmold1,TKM-3386
c386ccc2-5357-49b1-ae98-bc7d6382f037,Injmold4,TKM-3386
04112c17-5d30-472d-9817-066f872fa7fd,Injmold4,TKM-3386
74b09b9a-ed0a-4fe0-8a9c-6a2bb980b523,Injmold4,TKM-3386
c129e3f7-93c2-4791-b4b6-a6229d7e8524,Injmold4,TKM-3386
7f016dde-389d-46c8-b40b-dd156bf5fe8c,Injmold4,TKM-3386
