Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
76.85,58,460,1096,501,214,129,160,94,32,1196,0
77.04,58,458,1090,498,213,129,160,94,32,1191,0
77.24,58,458,1084,495,212,128,159,94,32,1187,0
77.45,57,457,1077,491,211,128,159,93,32,1183,0
77.65,57,457,1070,486,209,127,159,93,31,1179,0
77.84,57,457,1062,482,208,127,158,93,31,1175,0
78.06,57,456,1056,478,207,126,158,93,31,1171,0
78.28,57,456,1048,474,205,126,158,93,31,1166,0
78.5,57,455,1042,469,204,126,158,92,31,1161,0
78.72,57,454,1034,464,202,125,157,92,31,1154,0
78.91,56,454,1027,459,201,124,156,92,30,1150,0
79.1,56,453,1019,456,200,124,156,92,30,1147,0
79.31,56,453,1012,451,198,123,156,91,30,1143,0
79.53,56,453,1004,447,197,123,155,91,30,1138,0
79.74,56,452,997,442,195,122,155,91,30,1133,0
79.96,55,452,989,437,194,122,155,91,29,1129,0
80.16,55,451,980,432,192,121,154,90,29,1124,0
80.36,55,451,970,426,190,121,154,90,29,1119,0
80.55,55,450,959,419,188,120,153,90,29,1113,0
80.76,55,450,947,412,185,119,153,89,29,1105,0
80.98,54,450,931,403,183,118,152,89,28,1097,0
81.19,54,448,914,392,179,116,151,88,28,1087,0
81.39,53,448,896,381,176,115,150,87,27,1076,0
81.59,53,447,877,370,172,114,150,87,27,1065,0
81.8,53,446,857,359,168,112,149,86,26,1053,0
82.0,52,444,836,346,164,111,148,85,26,1041,0
82.21,52,443,814,333,160,109,147,84,25,1027,0
82.43,51,442,793,319,155,108,146,84,25,1015,0
82.66,51,442,770,305,151,106,144,83,24,1001,0
82.88,50,440,747,292,147,104,143,82,24,987,0
83.08,49,439,725,278,142,103,142,81,23,973,0
83.27,49,438,704,266,138,101,141,81,23,959,0
83.47,49,437,684,254,134,100,140,80,22,946,0
83.67,48,436,666,243,131,98,140,79,22,934,0
83.89,48,436,650,234,128,97,139,79,22,924,0
84.1,48,435,637,225,125,96,138,78,21,914,0
84.3,47,434,625,218,123,95,138,78,21,906,0
84.5,47,433,614,211,120,95,137,78,21,899,0
84.71,47,433,603,205,118,94,137,77,20,892,0
84.92,47,432,593,199,116,93,136,77,20,886,0
85.13,46,432,583,193,114,92,136,77,20,880,0
85.36,46,431,573,187,112,92,135,76,20,874,0
85.59,46,430,562,180,110,91,135,76,19,868,0
85.82,46,430,552,173,108,90,134,76,19,861,0
86.02,45,429,541,166,106,89,134,75,19,854,0
86.2,45,428,529,159,103,88,133,75,19,848,0
86.39,45,428,517,151,101,88,133,74,18,840,0
86.59,44,427,504,144,98,87,132,74,18,832,0
86.81,44,426,491,135,95,86,131,73,18,824,0
87.04,44,426,477,127,93,85,131,73,17,816,0
87.26,44,425,464,119,90,84,130,73,17,807,0
87.47,43,424,451,111,87,83,130,72,17,798,0
87.68,43,423,438,103,85,82,129,72,16,791,0
87.89,43,422,425,96,82,81,128,71,16,783,0
88.1,42,422,414,89,80,80,128,71,16,775,0
88.31,42,421,403,82,77,79,127,71,16,767,0
88.52,42,421,393,76,75,78,127,70,15,760,0
88.74,42,420,384,71,74,78,126,70,15,754,0
88.95,42,420,378,67,72,77,126,70,15,748,0
89.15,41,419,373,64,71,77,126,70,15,744,0
89.38,41,419,369,61,70,77,126,70,15,740,0
89.6,41,419,367,60,70,77,126,69,15,738,0
89.81,41,418,365,59,70,77,126,69,14,736,0
90.01,41,417,364,58,69,77,125,69,14,734,0
90.21,41,418,363,57,69,77,125,70,14,734,0
90.42,42,418,363,57,69,77,125,70,14,733,0
90.63,41,417,362,57,69,77,125,70,14,733,0
90.86,41,417,362,56,69,77,125,70,14,733,0
91.06,41,417,361,56,68,77,125,70,14,732,0
91.26,41,417,361,56,68,77,125,70,14,732,0
91.47,41,416,360,56,68,77,125,70,14,733,0
91.68,41,416,360,55,68,77,125,70,14,732,0
91.89,42,416,360,55,68,77,126,70,14,733,0
92.12,42,416,360,55,68,77,125,70,14,732,0
92.32,42,415,359,55,68,77,125,70,14,733,0
92.53,42,415,359,55,68,77,126,70,14,732,0
92.76,41,415,359,55,67,77,126,70,14,732,0
92.97,41,415,359,54,67,77,126,70,14,732,0
93.17,41,415,359,54,67,77,126,70,14,734,0
93.36,41,414,359,54,67,77,126,70,14,735,0
93.56,42,413,358,54,67,77,126,70,14,735,0
93.75,41,414,358,54,67,77,126,70,14,735,0
93.96,41,413,357,54,67,77,126,70,14,734,0
94.17,42,413,357,53,67,77,126,71,14,733,0
94.41,41,413,357,53,66,78,126,71,14,731,0
