Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
76.91,42,351,1000,430,170,123,127,92,28,1140,1
77.07,42,349,1003,436,170,123,127,91,28,1131,1
77.27,42,349,997,432,169,122,126,91,28,1128,1
77.48,42,348,992,429,168,122,126,91,28,1125,1
77.68,42,348,986,426,167,121,126,90,28,1121,1
77.88,41,348,979,422,165,121,126,90,28,1117,1
78.08,41,347,973,418,164,121,125,90,28,1114,1
78.29,41,347,967,414,163,120,125,90,28,1110,1
78.5,41,347,961,411,162,120,125,90,28,1105,1
78.71,41,346,954,407,161,119,124,89,27,1102,1
78.93,41,346,947,403,160,119,124,89,27,1098,1
79.14,40,345,940,399,158,118,124,89,27,1094,1
79.36,40,345,934,395,157,118,123,89,27,1090,1
79.57,40,345,927,391,156,117,123,88,27,1086,1
79.78,40,344,919,386,154,117,123,88,27,1082,1
79.98,40,344,911,382,153,116,122,88,27,1078,1
80.18,40,344,902,376,151,116,122,88,26,1072,1
80.38,39,343,892,370,149,115,121,87,26,1067,1
80.57,39,343,880,363,147,114,121,87,26,1061,1
80.76,39,342,865,355,144,113,120,86,26,1053,1
80.99,38,341,849,345,141,112,119,86,25,1044,1
81.19,38,341,830,333,138,111,118,85,25,1036,1
81.39,38,340,813,323,134,110,118,84,25,1025,1
81.61,37,339,794,311,130,108,117,84,24,1014,1
81.83,37,338,773,298,126,107,116,83,24,1003,1
82.04,36,337,752,285,123,105,115,82,23,991,1
82.25,36,336,731,273,119,104,114,82,23,980,1
82.48,35,335,711,261,115,102,113,81,23,969,1
82.68,35,335,692,250,111,101,112,80,22,959,1
82.87,35,334,675,240,108,100,111,80,22,949,1
83.05,34,333,661,231,105,99,110,79,22,940,1
83.24,34,333,648,224,103,98,110,79,21,933,1
83.45,34,332,637,217,102,97,109,78,21,927,1
83.68,33,331,627,211,100,97,109,78,21,921,1
83.9,33,331,618,205,98,96,108,78,21,915,1
84.13,33,331,608,199,96,95,108,77,20,909,1
84.33,33,330,599,195,95,95,107,77,20,904,1
84.53,33,330,590,189,93,94,107,77,20,899,1
84.73,32,329,580,183,91,93,106,76,20,894,1
84.95,32,328,571,177,89,93,106,76,20,887,1
85.17,32,328,559,170,87,92,105,76,19,881,1
85.38,32,327,547,163,85,91,105,75,19,875,1
85.6,31,326,535,155,82,90,104,75,19,867,1
85.81,31,326,521,147,80,89,103,74,19,860,1
86.0,31,325,508,139,77,88,103,74,18,852,1
86.2,30,325,494,130,74,87,102,73,18,845,1
86.4,30,324,480,122,71,86,101,73,18,836,1
86.6,30,324,466,113,69,85,101,72,18,828,1
86.82,29,323,452,105,66,84,100,72,17,820,1
87.05,29,322,439,96,63,83,99,71,17,812,1
87.28,29,322,426,88,61,82,99,71,17,806,1
87.48,29,322,414,81,59,81,98,70,17,798,1
87.67,28,320,403,75,57,81,98,70,16,791,1
87.86,28,320,394,69,55,80,97,70,16,786,1
88.07,28,319,386,65,53,79,97,70,16,781,1
88.29,28,320,380,61,52,79,96,69,16,778,1
88.53,28,319,376,58,51,79,96,69,16,775,1
88.77,28,319,373,57,51,78,96,69,16,773,1
88.97,28,319,371,56,51,78,96,69,16,773,1
89.17,27,320,370,55,50,78,96,69,16,771,1
89.35,27,319,369,54,50,78,96,69,16,771,1
89.56,27,319,368,54,50,78,96,69,16,770,1
89.76,27,318,367,54,50,78,96,69,16,769,1
89.97,27,319,367,53,50,78,96,69,16,770,1
90.18,27,319,366,53,50,78,95,69,15,768,1
90.4,27,318,365,53,50,78,95,69,15,768,1
90.63,27,318,365,53,49,78,95,69,15,767,1
90.85,27,318,364,52,49,78,95,69,15,766,1
91.07,27,318,364,52,49,78,95,69,15,766,1
91.27,27,318,364,52,49,78,95,69,15,765,1
91.45,27,318,363,52,49,78,95,69,15,765,1
91.67,27,318,363,51,49,78,95,69,15,765,1
91.87,27,317,362,51,49,78,95,68,15,762,1
92.06,27,317,362,51,49,78,95,68,15,761,1
92.28,27,317,361,51,49,77,95,68,15,761,1
92.5,27,317,361,51,49,77,95,68,15,759,1
92.73,27,316,361,51,49,77,95,68,15,760,1
92.96,27,316,360,51,49,77,94,68,15,758,1
93.16,27,316,360,50,49,77,94,68,15,759,1
93.35,27,316,359,50,48,77,94,68,15,758,1
93.55,27,315,358,50,48,77,94,68,15,757,1
93.76,27,315,358,50,48,77,94,68,15,757,1
93.98,27,315,358,50,48,77,94,68,15,756,1
94.19,27,315,357,50,48,77,94,68,15,755,1
94.39,27,314,357,49,48,77,94,68,15,755,1
