Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
76.86,46,384,899,442,173,130,112,92,30,1530,0
77.03,46,384,891,437,172,129,112,92,30,1528,0
77.23,45,384,884,433,171,129,111,92,30,1525,0
77.44,45,384,877,429,169,128,111,91,30,1523,0
77.64,45,383,870,425,168,128,111,91,30,1519,0
77.86,45,383,863,421,167,128,110,91,30,1515,0
78.07,45,382,856,417,166,127,110,91,29,1511,0
78.3,45,382,848,414,164,127,110,90,29,1509,0
78.51,45,382,842,410,163,126,109,90,29,1505,0
78.71,44,381,835,406,162,126,109,90,29,1502,0
78.9,44,381,827,402,161,125,109,89,29,1499,0
79.1,44,381,821,398,159,125,109,89,29,1494,0
79.31,44,380,813,393,158,124,108,89,28,1488,0
79.54,44,380,805,388,156,124,108,88,28,1485,0
79.77,44,379,796,384,155,123,107,88,28,1481,0
79.98,43,379,786,378,153,123,107,88,28,1475,0
80.18,43,378,775,372,151,122,107,87,28,1470,0
80.39,43,377,762,365,149,121,106,87,27,1462,0
80.58,43,376,747,356,146,120,105,86,27,1455,0
80.79,42,375,730,346,143,119,104,85,27,1447,0
81.0,42,374,711,336,139,117,103,85,26,1437,0
81.2,41,373,691,324,136,116,102,84,26,1426,0
81.4,41,372,669,312,132,115,102,83,26,1415,0
81.61,40,370,647,299,128,113,100,82,25,1403,0
81.81,40,369,624,287,123,112,99,81,25,1390,0
82.02,39,367,600,273,119,110,98,80,24,1378,0
82.24,39,366,576,260,115,108,97,79,24,1365,0
82.46,38,364,553,246,110,107,96,78,23,1352,0
82.67,38,363,531,233,106,105,95,77,23,1340,0
82.88,38,361,509,222,102,104,94,77,22,1328,0
83.09,37,360,490,211,99,102,93,76,22,1318,0
83.29,37,359,475,202,97,101,92,75,22,1310,0
83.48,36,358,461,194,94,101,92,75,21,1302,0
83.69,36,357,450,188,92,100,91,74,21,1295,0
83.9,36,356,439,182,90,99,91,74,21,1288,0
84.11,36,356,430,176,89,98,90,73,21,1283,0
84.31,36,355,421,171,87,98,90,73,20,1277,0
84.52,35,354,412,166,85,97,89,73,20,1271,0
84.73,35,354,403,161,84,96,89,72,20,1266,0
84.94,35,353,394,156,82,96,89,72,20,1260,0
85.15,35,352,384,150,80,95,88,71,20,1255,0
85.37,35,351,374,144,78,94,88,71,19,1248,0
85.6,34,350,363,138,76,94,87,71,19,1242,0
85.83,34,349,351,131,74,93,86,70,19,1236,0
86.04,34,348,340,125,72,92,86,70,19,1229,0
86.22,34,348,329,118,70,91,85,69,18,1223,0
86.4,33,347,319,112,68,90,85,69,18,1216,0
86.6,33,346,309,106,66,90,84,68,18,1209,0
86.82,33,345,298,99,63,89,84,68,18,1203,0
87.05,33,344,287,93,62,89,84,67,18,1196,0
87.26,32,343,277,87,60,89,83,67,17,1189,0
87.47,32,342,268,82,58,88,82,67,17,1184,0
87.69,32,342,259,77,56,86,82,66,17,1178,0
87.89,32,342,251,72,55,87,82,66,17,1173,0
88.1,32,342,245,68,53,86,81,66,17,1169,0
88.32,32,341,239,65,52,85,82,65,16,1165,0
88.54,32,341,235,63,52,85,82,65,16,1161,0
88.75,31,340,232,61,51,85,82,65,16,1160,0
88.95,31,340,230,60,51,85,82,65,16,1156,0
89.16,31,339,228,59,51,84,80,65,16,1157,0
89.36,31,340,228,59,50,85,80,65,16,1156,0
89.6,31,340,227,58,50,85,81,65,16,1156,0
89.8,31,339,226,58,50,85,81,65,16,1155,0
89.99,31,339,226,58,50,85,81,65,16,1155,0
90.19,31,339,225,57,50,85,81,65,16,1155,0
90.4,31,339,225,57,50,85,81,64,16,1155,0
90.62,31,339,225,57,50,85,81,64,16,1154,0
90.85,31,339,224,57,50,85,81,64,16,1155,0
91.06,31,339,224,57,50,84,81,64,16,1154,0
91.26,31,338,223,57,50,84,80,64,16,1153,0
91.48,31,338,223,56,50,84,81,64,16,1153,0
91.69,31,338,223,56,49,84,80,64,16,1152,0
91.9,31,338,223,56,49,84,81,64,16,1151,0
92.11,31,338,222,56,49,84,80,64,16,1151,0
92.32,31,338,222,56,49,84,81,64,16,1150,0
92.54,31,338,222,55,49,84,81,64,16,1149,0
92.75,31,338,221,55,49,84,81,64,16,1148,0
92.95,31,338,221,55,49,84,81,64,16,1148,0
93.16,31,339,221,55,49,84,81,64,16,1148,0
93.35,31,337,221,55,49,84,81,64,16,1147,0
93.55,31,337,220,55,49,84,81,64,16,1147,0
93.77,31,337,220,55,49,84,81,64,16,1146,0
93.98,31,338,220,54,49,84,80,64,16,1146,0
94.2,31,338,219,54,49,84,81,64,16,1147,0
94.42,31,338,219,54,49,84,81,63,16,1147,0
