Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
76.87,40,327,1104,451,172,81,93,61,26,1400,1
77.07,39,327,1098,447,171,81,93,61,26,1396,1
77.27,39,326,1092,444,170,80,92,60,25,1394,1
77.48,39,326,1085,440,169,80,92,60,25,1391,1
77.68,39,325,1080,436,167,79,92,60,25,1387,1
77.88,39,325,1073,432,166,79,92,60,25,1383,1
78.08,39,324,1066,428,165,78,92,59,25,1379,1
78.29,39,324,1060,424,163,78,91,59,25,1376,1
78.5,38,323,1053,420,162,77,91,59,25,1372,1
78.7,38,323,1046,416,161,77,91,59,25,1368,1
78.91,38,323,1039,412,159,76,90,58,24,1364,1
79.11,38,322,1033,408,158,76,90,58,24,1361,1
79.33,38,321,1025,404,157,75,90,58,24,1357,1
79.57,38,321,1019,399,155,75,89,58,24,1353,1
79.8,37,321,1011,395,154,74,89,57,24,1350,1
80.01,37,320,1004,391,152,74,89,57,24,1345,1
80.21,37,320,996,387,151,73,88,57,24,1342,1
80.39,37,319,988,382,149,72,88,57,23,1339,1
80.59,37,319,978,376,147,72,87,56,23,1334,1
80.79,36,318,966,368,144,71,87,56,23,1328,1
81.0,36,317,951,359,141,70,86,55,23,1321,1
81.21,36,316,933,348,138,68,85,55,22,1314,1
81.41,35,316,914,336,134,67,84,54,22,1305,1
81.61,35,314,892,323,129,65,83,53,22,1295,1
81.81,34,313,871,309,125,64,82,52,21,1285,1
82.04,34,312,848,295,120,62,81,51,21,1277,1
82.26,33,310,825,280,115,60,80,51,21,1264,1
82.47,33,309,800,265,110,58,79,50,20,1254,1
82.7,32,308,777,250,105,56,78,49,20,1242,1
82.9,32,307,754,236,101,55,77,48,19,1231,1
83.09,31,306,732,223,96,53,76,47,19,1220,1
83.29,31,305,712,211,92,51,75,46,18,1209,1
83.5,30,304,693,200,88,50,74,46,18,1199,1
83.7,30,303,677,191,86,49,73,45,18,1189,1
83.92,30,302,663,182,83,48,73,45,17,1180,1
84.14,29,302,651,175,80,47,72,44,17,1173,1
84.36,29,301,641,169,78,46,72,44,17,1168,1
84.55,29,301,632,164,76,46,71,44,17,1162,1
84.75,29,300,624,159,75,45,71,43,17,1157,1
84.95,29,300,616,154,73,44,70,43,16,1153,1
85.17,28,299,608,150,71,44,70,43,16,1149,1
85.41,28,299,600,145,69,43,70,42,16,1145,1
85.65,28,298,591,139,68,42,69,42,16,1141,1
85.86,28,298,584,134,66,42,69,42,16,1136,1
86.04,28,297,575,128,64,41,68,41,16,1132,1
86.22,27,297,568,123,62,40,67,41,15,1118,1
86.42,27,296,554,115,60,39,67,41,15,1108,1
86.64,27,295,542,108,57,38,66,40,15,1103,1
86.86,27,294,532,102,55,38,66,40,15,1097,1
87.09,26,294,523,96,53,37,65,40,15,1093,1
87.3,26,294,514,91,51,36,65,39,14,1089,1
87.5,26,293,505,85,49,36,65,39,14,1084,1
87.7,26,293,497,80,48,35,64,39,14,1079,1
87.92,26,292,489,76,46,34,64,38,14,1075,1
88.12,26,292,482,71,44,34,63,38,14,1071,1
88.33,25,292,477,68,43,33,63,38,14,1067,1
88.55,25,291,472,65,42,33,63,38,14,1063,1
88.77,25,291,467,62,41,33,63,38,13,1060,1
88.99,25,291,464,60,40,32,63,37,13,1057,1
89.19,25,291,462,59,40,32,62,37,13,1055,1
89.39,25,291,460,58,39,32,62,37,13,1053,1
89.63,25,291,459,57,39,32,62,37,13,1053,1
89.82,25,290,458,57,39,32,62,37,13,1051,1
90.02,25,290,458,56,39,32,62,37,13,1051,1
90.24,25,291,458,56,39,32,62,37,13,1052,1
90.47,25,290,458,56,39,32,62,37,13,1054,1
90.68,25,290,457,55,39,32,62,37,13,1054,1
90.88,25,291,457,55,38,32,62,37,13,1058,1
91.08,25,291,457,55,38,32,62,37,13,1059,1
91.28,25,290,456,55,38,32,62,37,13,1059,1
91.5,25,291,456,55,38,32,62,37,13,1060,1
91.7,25,291,456,55,38,32,62,37,13,1061,1
91.92,25,290,456,55,38,32,62,37,13,1062,1
92.13,25,290,456,54,38,31,62,37,13,1061,1
92.35,25,290,456,54,38,31,62,37,13,1058,1
92.57,25,290,456,54,38,31,62,37,13,1057,1
92.81,25,290,456,54,38,31,62,37,13,1056,1
93.04,25,290,456,54,38,31,62,37,13,1055,1
93.23,25,290,456,54,38,31,62,37,13,1054,1
93.42,25,290,456,54,38,31,62,37,13,1053,1
93.62,25,290,456,53,37,31,61,37,13,1053,1
93.8,25,290,456,53,37,31,61,37,13,1051,1
94.01,25,290,456,53,37,31,61,37,13,1051,1
94.23,25,290,456,53,37,31,61,37,13,1050,1
94.47,25,290,456,53,37,31,61,37,13,1050,1
