Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
76.84,69,842,1492,424,175,101,153,99,29,1784,0
77.04,69,841,1487,421,174,101,152,98,29,1782,0
77.25,69,841,1481,418,172,101,152,98,29,1779,0
77.46,69,840,1475,414,171,100,152,98,29,1776,0
77.67,69,840,1469,411,170,100,152,98,29,1774,0
77.86,69,840,1463,407,169,99,151,97,29,1774,0
78.06,68,839,1456,404,168,99,151,97,29,1771,0
78.27,68,838,1449,400,167,98,151,97,29,1768,0
78.48,68,836,1442,397,165,98,151,96,28,1764,0
78.68,68,836,1436,393,164,97,150,96,28,1762,0
78.88,68,835,1429,389,163,97,150,96,28,1760,0
79.09,68,836,1423,385,162,96,150,96,28,1757,0
79.33,68,836,1416,381,160,96,149,95,28,1754,0
79.55,67,835,1409,377,159,95,149,95,28,1748,0
79.77,67,835,1402,373,158,95,149,95,28,1748,0
79.97,67,835,1395,369,156,94,149,95,28,1746,0
80.16,67,834,1387,364,155,94,148,94,27,1740,0
80.35,67,834,1379,360,153,93,148,94,27,1736,0
80.54,67,834,1369,355,151,92,148,94,27,1731,0
80.75,66,833,1355,348,149,91,147,93,27,1723,0
80.97,66,834,1342,339,147,90,147,93,26,1717,0
81.19,66,833,1325,330,144,89,146,92,26,1708,0
81.4,65,832,1308,321,140,88,145,92,26,1698,0
81.61,65,831,1290,310,137,86,144,91,25,1690,0
81.82,64,830,1271,300,133,85,144,90,25,1679,0
82.01,64,830,1251,288,130,83,143,90,24,1662,0
82.23,63,828,1229,276,126,82,142,89,24,1653,0
82.45,63,826,1205,263,121,80,141,88,24,1642,0
82.67,62,827,1182,249,117,78,140,87,23,1629,0
82.88,62,825,1159,236,113,77,139,86,23,1618,0
83.07,61,824,1135,222,108,75,138,85,22,1608,0
83.26,61,825,1113,209,104,73,137,85,22,1601,0
83.46,60,822,1090,197,100,72,136,84,21,1592,0
83.66,60,822,1071,185,96,70,135,83,21,1581,0
83.88,60,822,1055,175,93,69,134,83,21,1575,0
84.09,59,821,1041,167,90,68,134,82,21,1568,0
84.31,59,820,1029,160,88,67,133,82,20,1563,0
84.52,59,820,1020,154,86,66,133,81,20,1563,0
84.72,59,820,1011,149,84,66,132,81,20,1558,0
84.93,58,821,1002,144,82,65,132,81,20,1556,0
85.15,58,816,993,139,81,64,132,80,20,1554,0
85.38,58,818,986,135,79,64,131,80,20,1549,0
85.6,58,818,980,131,78,63,131,80,20,1548,0
85.81,58,817,973,127,77,63,131,79,19,1546,0
86.01,58,815,964,123,75,62,130,79,19,1540,0
86.2,58,819,959,120,74,62,130,79,19,1534,0
86.4,58,820,952,116,72,61,130,79,19,1532,0
86.6,57,819,945,111,71,60,129,79,19,1530,0
86.82,57,820,938,107,69,60,129,78,19,1528,0
87.05,57,819,930,102,68,59,129,78,18,1526,0
87.26,57,819,923,98,66,59,128,78,18,1522,0
87.47,57,819,915,93,65,58,128,78,18,1519,0
87.65,57,818,907,89,63,57,128,77,18,1515,0
87.85,56,818,900,84,62,57,127,77,18,1511,0
88.06,56,817,893,80,61,56,127,77,18,1508,0
88.28,56,817,887,76,59,56,127,77,18,1507,0
88.53,56,818,881,72,58,55,127,76,17,1507,0
88.75,56,816,875,69,57,55,126,76,17,1499,0
88.97,56,816,871,66,56,55,126,76,17,1497,0
89.17,56,818,869,64,55,55,126,76,17,1496,0
89.45,56,818,867,63,55,54,126,76,17,1489,0
89.65,56,818,866,62,55,54,126,76,17,1487,0
89.86,56,818,866,61,54,54,126,76,17,1488,0
90.07,56,819,866,61,54,54,126,76,17,1490,0
90.27,56,820,867,61,54,54,126,76,17,1490,0
90.48,56,820,866,60,54,54,126,76,17,1488,0
90.71,56,820,866,60,54,54,126,76,17,1487,0
90.94,56,821,866,60,54,54,126,76,17,1487,0
91.17,56,822,866,60,54,54,126,76,17,1488,0
91.36,56,822,867,60,54,54,126,76,17,1491,0
91.54,56,823,867,60,54,54,126,76,17,1490,0
91.74,56,822,866,59,54,54,126,76,17,1489,0
91.95,56,823,866,59,54,54,126,76,17,1491,0
92.16,56,825,867,59,54,54,127,76,17,1492,0
92.36,56,825,867,59,53,54,126,76,17,1492,0
92.58,56,825,867,59,53,54,126,76,17,1492,0
92.81,56,825,867,59,53,54,126,76,17,1494,0
93.04,56,825,867,59,53,54,126,76,17,1494,0
93.26,56,826,867,58,53,54,127,76,17,1496,0
93.46,56,825,866,58,53,54,127,76,17,1497,0
93.66,56,825,867,58,53,54,127,76,17,1501,0
93.84,56,826,866,58,53,54,127,76,17,1502,0
94.05,56,826,866,58,53,54,127,76,17,1505,0
94.26,56,827,867,58,53,54,127,76,17,1506,0
94.48,56,829,867,58,53,54,127,76,17,1511,0
