Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
76.85,56,615,1182,417,167,90,120,78,33,2329,0
77.04,56,615,1177,415,166,90,120,78,33,2330,0
77.24,56,614,1170,411,165,90,119,77,33,2328,0
77.44,56,614,1164,408,164,89,119,77,33,2325,0
77.64,56,614,1157,404,163,89,119,77,33,2321,0
77.84,55,615,1151,401,162,89,119,77,32,2320,0
78.04,55,610,1140,397,160,88,118,76,32,2307,0
78.26,55,609,1134,393,159,87,117,76,32,2303,0
78.49,55,608,1127,389,157,87,117,75,32,2299,0
78.71,55,608,1119,385,156,86,117,75,32,2297,0
78.92,54,608,1112,381,155,87,116,75,32,2296,0
79.12,54,608,1104,377,154,85,116,75,32,2295,0
79.34,54,608,1096,373,152,86,116,74,31,2291,0
79.58,54,607,1088,369,150,84,115,74,31,2289,0
79.79,54,606,1078,364,149,85,115,74,31,2284,0
79.99,54,606,1069,359,147,83,114,73,31,2281,0
80.19,53,605,1060,353,145,83,114,73,31,2279,0
80.37,53,608,1049,347,143,83,114,73,31,2279,0
80.55,53,608,1035,340,141,82,113,72,30,2272,0
80.74,53,607,1019,331,138,81,112,71,30,2268,0
80.96,52,606,1001,321,134,79,111,71,30,2261,0
81.18,52,612,985,311,131,79,111,70,30,2266,0
81.42,52,609,963,299,127,77,110,69,29,2255,0
81.64,51,607,942,288,123,76,109,69,29,2245,0
81.85,51,605,920,277,119,74,108,68,29,2235,0
82.06,50,605,898,265,115,73,107,67,28,2228,0
82.24,50,603,876,254,111,72,106,66,28,2218,0
82.47,49,601,854,242,107,70,105,65,28,2209,0
82.69,49,600,832,231,103,69,104,64,27,2200,0
82.9,49,599,813,221,99,67,103,64,27,2189,0
83.09,48,597,794,211,96,66,102,63,27,2181,0
83.28,48,596,778,202,94,65,102,62,26,2175,0
83.49,48,596,764,195,92,64,101,62,26,2169,0
83.7,47,595,752,189,89,64,100,61,26,2161,0
83.9,47,594,741,183,87,63,100,61,26,2156,0
84.09,47,592,731,178,85,62,99,60,25,2147,0
84.28,47,590,721,172,83,62,99,60,25,2138,0
84.51,46,590,712,167,82,61,99,60,25,2135,0
84.75,46,589,702,162,80,60,98,59,25,2129,0
84.99,46,589,693,157,78,60,98,59,25,2127,0
85.22,46,588,683,151,76,59,97,58,25,2123,0
85.42,46,587,672,146,74,58,97,58,24,2120,0
85.59,45,587,662,140,72,58,96,58,24,2116,0
85.79,45,586,651,134,70,57,96,57,24,2111,0
86.01,45,586,640,128,68,56,95,57,24,2108,0
86.24,45,585,628,122,66,55,95,56,24,2103,0
86.46,44,584,617,116,64,55,94,56,23,2100,0
86.64,44,584,606,110,62,54,94,55,23,2096,0
86.83,44,585,596,104,60,53,93,55,23,2092,0
87.04,44,583,586,99,58,52,93,55,23,2086,0
87.3,43,583,577,93,56,52,92,54,23,2082,0
87.53,43,584,567,88,54,51,92,54,23,2078,0
87.74,43,583,558,83,52,51,92,54,22,2076,0
87.94,43,584,551,79,51,50,91,53,22,2074,0
88.15,43,584,544,76,50,50,91,53,22,2068,0
88.35,43,584,538,73,49,49,91,53,22,2065,0
88.55,43,584,534,70,48,49,90,53,22,2064,0
88.75,43,584,531,69,47,49,90,52,22,2063,0
88.95,42,585,529,68,47,49,90,52,22,2061,0
89.17,42,583,528,67,46,48,90,52,22,2061,0
89.39,42,584,527,66,46,48,90,52,22,2060,0
89.63,42,584,527,66,46,48,90,52,22,2060,0
89.84,42,584,526,66,46,48,90,52,22,2061,0
90.03,42,584,526,65,46,48,90,52,22,2061,0
90.22,42,585,526,65,46,48,90,52,22,2060,0
90.43,42,585,526,65,46,48,90,52,22,2060,0
90.67,42,584,525,65,46,48,90,52,22,2060,0
90.89,42,583,525,65,45,48,89,52,22,2058,0
91.09,42,584,525,65,45,48,89,52,22,2059,0
91.28,42,584,525,64,45,48,89,52,22,2058,0
91.49,42,584,524,64,45,48,89,52,22,2058,0
91.71,42,583,524,64,45,48,89,52,22,2057,0
91.89,42,584,524,64,45,48,89,52,22,2056,0
92.1,42,584,524,64,45,47,89,52,22,2057,0
92.32,42,584,523,64,45,47,89,52,22,2056,0
92.58,42,586,524,64,45,47,89,52,22,2059,0
92.83,42,586,524,63,45,47,89,52,22,2060,0
93.06,42,586,524,63,45,47,89,52,22,2060,0
93.24,42,587,524,63,45,47,89,52,22,2063,0
93.42,42,587,524,63,45,47,89,52,22,2062,0
93.61,42,588,524,63,45,47,89,52,22,2062,0
93.81,42,588,523,63,44,47,89,52,22,2060,0
94.03,42,589,523,63,44,47,89,52,22,2063,0
94.24,42,590,524,63,44,47,89,52,22,2065,0
94.44,42,591,524,63,44,47,89,52,22,2066,0
